	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.013	0.331	0.002	0.171***	0.252***	0.172***	0.085	0.281	0.113	0.016
	[0.148]	[1.042]	[0.286]	[0.054]	[0.059]	[0.055]	[0.077]	[0.204]	[0.083]	[0.222]
asilo_Municipal								-0.063		0.223*
								[0.121]		[0.130]
nido	0.038	-0.262	-0.022	-0.087**	-0.091*	-0.084*	-0.048	0.015	-0.066	-0.299***
	[0.150]	[0.968]	[0.170]	[0.044]	[0.054]	[0.047]	[0.054]	[0.125]	[0.064]	[0.115]
unobsA			0.168							
			[0.367]							
unobsA2			0.392**							
			[0.179]							
unobsA3			-0.223							
			[0.519]							
Age	-0.217**	-0.201*	-0.203**	-0.003	0.014	0.021	-0.056	-0.081	-0.121*	-0.089
	[0.089]	[0.107]	[0.089]	[0.056]	[0.070]	[0.060]	[0.062]	[0.065]	[0.062]	[0.074]
Male	0.025	0.045	0.046	0.039	0.022	0.064	0.112***	0.120**	-0.017	-0.025
	[0.061]	[0.063]	[0.062]	[0.038]	[0.048]	[0.040]	[0.043]	[0.049]	[0.042]	[0.052]
poorBHealth	0.020	0.026	0.050	0.057	-0.062	0.082	0.091	0.051	-0.037	-0.092
	[0.106]	[0.112]	[0.108]	[0.064]	[0.074]	[0.075]	[0.070]	[0.068]	[0.075]	[0.092]
oldsibs	0.067	0.085	0.086	0.050	-0.012	0.034	0.059	0.003	0.032	-0.023
	[0.064]	[0.072]	[0.066]	[0.040]	[0.049]	[0.042]	[0.045]	[0.049]	[0.044]	[0.049]
momMaxEdu_Uni_F	-0.070	-0.053	-0.066	-0.038	-0.029	-0.016	0.008	0.049	-0.080	-0.103*
	[0.077]	[0.088]	[0.079]	[0.045]	[0.054]	[0.048]	[0.053]	[0.058]	[0.053]	[0.060]
dadMaxEdu_Uni_F	0.018	0.002	-0.006	0.014	0.025	0.003	-0.007	-0.004	0.064	0.085
	[0.086]	[0.097]	[0.092]	[0.049]	[0.057]	[0.052]	[0.059]	[0.063]	[0.058]	[0.066]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.077	-0.149	-0.122	-0.099*	-0.175***	-0.097	-0.078	-0.085*	-0.098	-0.159*
	[0.085]	[0.111]	[0.087]	[0.056]	[0.059]	[0.060]	[0.059]	[0.051]	[0.066]	[0.082]
HighInc_F	0.091	0.041	0.086	0.067	0.036	0.062	0.089	0.082	0.030	-0.054
	[0.075]	[0.107]	[0.081]	[0.052]	[0.064]	[0.056]	[0.054]	[0.059]	[0.060]	[0.070]
HighInc_Miss	0.066	0.052	0.074	0.148***	0.166**	0.151***	0.096*	0.125*	0.094*	0.035
	[0.078]	[0.081]	[0.082]	[0.047]	[0.068]	[0.048]	[0.054]	[0.065]	[0.052]	[0.065]
houseOwn_F	0.060	0.111	0.084	0.051	0.046	0.040	0.050	0.059	0.043	0.112*
	[0.082]	[0.092]	[0.086]	[0.049]	[0.056]	[0.053]	[0.055]	[0.061]	[0.055]	[0.064]
distCenter	-0.005	-0.001	0.000	-0.001	0.008	-0.004	-0.007	-0.000	-0.005	-0.006
	[0.013]	[0.014]	[0.014]	[0.010]	[0.011]	[0.011]	[0.010]	[0.011]	[0.011]	[0.012]
cgRelig_F	-0.073	-0.031	-0.058	-0.017	-0.029	-0.017	-0.080	-0.166**	-0.009	0.058
	[0.073]	[0.096]	[0.077]	[0.054]	[0.069]	[0.058]	[0.056]	[0.075]	[0.057]	[0.069]
cgRelig_Miss	0.004	0.015	0.014	0.187*	0.398***	0.218**	-0.128	-0.325	0.200**	0.460***
	[0.265]	[0.269]	[0.251]	[0.096]	[0.112]	[0.098]	[0.254]	[0.227]	[0.098]	[0.097]
CAPI	-0.092	-0.102	-0.118**	0.073*	0.095*	0.071*	-0.019	0.018	0.028	0.031
	[0.059]	[0.062]	[0.060]	[0.038]	[0.049]	[0.040]	[0.042]	[0.050]	[0.043]	[0.051]
momMaxEdu_Uni_Miss	-0.294**			0.047		0.048	-0.156		-0.099	
	[0.145]			[0.146]		[0.152]	[0.157]		[0.138]	
Parma							-0.094*			
							[0.056]			
Reggio								0.200***		0.026
								[0.071]		[0.072]
nidoXreggio								-0.197		0.095
								[0.210]		[0.213]
Padova									0.006	
									[0.054]	
Constant	4.488***	4.093**	4.116**	0.307	-0.046	-0.134	1.407	1.740	2.643**	2.008
	[1.677]	[2.054]	[1.693]	[1.055]	[1.297]	[1.126]	[1.159]	[1.235]	[1.166]	[1.363]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.068	0.060	0.089	0.069	0.315	0.072	0.068	0.178	0.055	0.241
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.44	.44	.44	.44	.44	.44	.44	.44	.44	.44
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
