	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.026	0.190	-0.354	0.076*	0.068	0.078*	-0.022	-0.124	-0.030	-0.120
	[0.061]	[0.301]	[0.380]	[0.046]	[0.048]	[0.046]	[0.059]	[0.086]	[0.060]	[0.098]
unobsM			0.781							
			[0.547]							
unobsM2			-0.162							
			[0.226]							
unobsM3			-1.482**							
			[0.671]							
Age	-0.218**	-0.200**	-0.198**	-0.025	-0.016	-0.013	-0.066	-0.040	-0.123**	-0.110
	[0.089]	[0.096]	[0.094]	[0.055]	[0.065]	[0.055]	[0.061]	[0.066]	[0.062]	[0.074]
Male	0.026	0.031	0.029	0.024	0.066	0.027	0.109**	0.159***	-0.018	0.021
	[0.061]	[0.064]	[0.062]	[0.037]	[0.044]	[0.037]	[0.043]	[0.046]	[0.042]	[0.049]
poorBHealth	0.017	0.040	0.024	0.032	0.024	0.030	0.089	0.088	-0.040	-0.059
	[0.108]	[0.114]	[0.112]	[0.065]	[0.069]	[0.064]	[0.070]	[0.073]	[0.075]	[0.079]
oldsibs	0.066	0.067	0.055	0.050	0.049	0.052	0.058	0.069	0.033	0.030
	[0.064]	[0.065]	[0.064]	[0.040]	[0.045]	[0.040]	[0.045]	[0.047]	[0.044]	[0.050]
momMaxEdu_Uni_F	-0.071	-0.049	-0.065	-0.057	-0.022	-0.053	0.003	0.028	-0.088*	-0.104*
	[0.078]	[0.084]	[0.084]	[0.045]	[0.056]	[0.045]	[0.053]	[0.058]	[0.052]	[0.061]
dadMaxEdu_Uni_F	0.024	0.012	0.008	0.059	0.063	0.055	-0.005	-0.039	0.066	0.081
	[0.086]	[0.087]	[0.089]	[0.050]	[0.062]	[0.050]	[0.059]	[0.063]	[0.058]	[0.068]
momMaxEdu_Uni_Miss	-0.288**	-0.283*	-0.285*	0.038	0.112	0.066	-0.155	-0.206	-0.100	-0.115
	[0.145]	[0.152]	[0.159]	[0.144]	[0.173]	[0.147]	[0.155]	[0.132]	[0.138]	[0.164]
dadMaxEdu_Uni_Miss	-0.068	-0.092	-0.090	-0.088	-0.063	-0.090	-0.070	-0.073	-0.090	-0.035
	[0.085]	[0.093]	[0.090]	[0.055]	[0.072]	[0.055]	[0.059]	[0.067]	[0.065]	[0.083]
HighInc_F	0.098	0.083	0.099	0.077	0.043	0.069	0.094*	0.077	0.037	-0.014
	[0.075]	[0.080]	[0.078]	[0.053]	[0.059]	[0.053]	[0.054]	[0.057]	[0.059]	[0.066]
HighInc_Miss	0.062	0.050	0.071	0.140***	0.189***	0.146***	0.099*	0.116*	0.094*	0.126**
	[0.077]	[0.082]	[0.079]	[0.046]	[0.053]	[0.046]	[0.054]	[0.059]	[0.052]	[0.058]
houseOwn_F	0.068	0.065	0.082	0.060	0.045	0.053	0.055	0.081	0.044	0.017
	[0.081]	[0.084]	[0.084]	[0.048]	[0.058]	[0.048]	[0.054]	[0.056]	[0.055]	[0.065]
distCenter	-0.006	-0.006	-0.011	-0.006	0.008	-0.006	-0.008	-0.002	-0.006	0.001
	[0.013]	[0.013]	[0.013]	[0.010]	[0.012]	[0.010]	[0.010]	[0.011]	[0.011]	[0.012]
cgRelig_F	-0.082	-0.025	-0.042	-0.022	-0.059	-0.017	-0.086	-0.112*	-0.014	-0.084
	[0.073]	[0.107]	[0.103]	[0.052]	[0.061]	[0.052]	[0.056]	[0.061]	[0.058]	[0.065]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.087	-0.110	-0.113*	0.061	0.084*	0.067*	-0.018	0.005	0.031	0.076
	[0.059]	[0.067]	[0.066]	[0.037]	[0.043]	[0.037]	[0.042]	[0.045]	[0.043]	[0.049]
cgRelig_Miss	0.019	-0.037		0.208**		0.213**	-0.117		0.202**	
	[0.258]	[0.271]		[0.093]		[0.093]	[0.251]		[0.098]	
Parma							-0.145***			
							[0.053]			
Reggio								0.205***		0.078
								[0.063]		[0.066]
materna_Municipal								0.065		0.060
								[0.061]		[0.076]
Padova									-0.047	
									[0.056]	
Constant	4.538***	4.069**	4.345**	0.703	0.499	0.478	1.625	0.908	2.727**	2.450*
	[1.669]	[1.880]	[1.855]	[1.035]	[1.215]	[1.038]	[1.158]	[1.245]	[1.169]	[1.394]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.066	0.023	0.079	0.062	0.054	0.064	0.066	0.092	0.052	0.048
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.44	.44	.44	.44	.44	.44	.44	.44	.44	.44
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
