	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.074	-0.699	0.334	0.012	-0.018	0.019	0.089	0.418**	0.000	0.313
	[0.145]	[1.052]	[0.284]	[0.052]	[0.059]	[0.053]	[0.072]	[0.185]	[0.079]	[0.221]
asilo_Municipal								-0.117		-0.082
								[0.129]		[0.182]
nido	0.022	0.737	-0.031	0.062	0.137**	0.070	0.005	0.187	0.096	0.322*
	[0.145]	[0.973]	[0.146]	[0.045]	[0.063]	[0.046]	[0.052]	[0.134]	[0.063]	[0.172]
unobsA			-0.443							
			[0.397]							
unobsA2			0.147							
			[0.162]							
unobsA3			0.721							
			[0.499]							
Age	-0.093	-0.156	-0.109	0.094*	0.142**	0.078	0.001	0.063	0.013	0.075
	[0.083]	[0.097]	[0.083]	[0.054]	[0.059]	[0.057]	[0.056]	[0.064]	[0.060]	[0.066]
Male	-0.352***	-0.389***	-0.376***	-0.324***	-0.307***	-0.338***	-0.375***	-0.373***	-0.321***	-0.352***
	[0.056]	[0.061]	[0.056]	[0.038]	[0.052]	[0.040]	[0.041]	[0.059]	[0.042]	[0.045]
poorBHealth	-0.050	-0.064	-0.062	-0.016	0.081	0.041	0.017	0.101	-0.016	0.028
	[0.098]	[0.106]	[0.101]	[0.061]	[0.057]	[0.065]	[0.063]	[0.062]	[0.071]	[0.074]
oldsibs	0.013	-0.030	-0.003	0.027	0.017	0.037	0.036	0.035	0.015	-0.025
	[0.058]	[0.070]	[0.059]	[0.041]	[0.063]	[0.041]	[0.043]	[0.069]	[0.043]	[0.048]
momMaxEdu_Uni_F	0.107	0.091	0.126*	0.074	-0.011	0.078	0.058	-0.037	0.129**	0.101
	[0.070]	[0.086]	[0.073]	[0.046]	[0.073]	[0.050]	[0.049]	[0.083]	[0.053]	[0.062]
dadMaxEdu_Uni_F	-0.134*	-0.165*	-0.132	-0.054	0.017	-0.045	-0.028	0.069	-0.140**	-0.125*
	[0.077]	[0.089]	[0.084]	[0.050]	[0.069]	[0.054]	[0.053]	[0.077]	[0.056]	[0.067]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.078	-0.007	-0.052	0.030	0.104*	0.071	-0.028	0.127*	-0.019	-0.012
	[0.088]	[0.114]	[0.090]	[0.057]	[0.058]	[0.057]	[0.059]	[0.072]	[0.069]	[0.071]
HighInc_F	0.109*	0.153	0.095	0.000	0.001	-0.007	0.043	0.076	0.060	0.051
	[0.063]	[0.099]	[0.070]	[0.047]	[0.071]	[0.050]	[0.048]	[0.077]	[0.052]	[0.060]
HighInc_Miss	-0.008	-0.043	-0.019	-0.068	-0.025	-0.068	0.042	0.110	-0.158***	-0.180***
	[0.072]	[0.085]	[0.077]	[0.047]	[0.067]	[0.049]	[0.048]	[0.068]	[0.052]	[0.056]
houseOwn_F	0.023	0.001	0.027	-0.005	0.009	-0.004	0.016	-0.038	-0.004	0.015
	[0.080]	[0.086]	[0.083]	[0.052]	[0.062]	[0.051]	[0.054]	[0.062]	[0.059]	[0.066]
distCenter	0.007	0.004	0.009	0.009	0.015	0.007	0.000	0.011	0.016	0.022**
	[0.011]	[0.012]	[0.012]	[0.009]	[0.013]	[0.009]	[0.008]	[0.011]	[0.010]	[0.011]
cgRelig_F	-0.077	-0.128	-0.077	-0.057	-0.111*	-0.035	-0.048	-0.075	-0.088	-0.060
	[0.064]	[0.085]	[0.065]	[0.051]	[0.058]	[0.057]	[0.053]	[0.061]	[0.054]	[0.065]
cgRelig_Miss	-0.551***	-0.491***	-0.532***	-0.499***	-0.605***	-0.489***	-0.572***	-0.545***	-0.420***	-0.427***
	[0.108]	[0.129]	[0.127]	[0.116]	[0.112]	[0.118]	[0.070]	[0.104]	[0.126]	[0.121]
CAPI	-0.038	-0.060	-0.050	-0.020	0.027	-0.016	0.019	0.038	-0.077*	-0.073
	[0.054]	[0.058]	[0.055]	[0.037]	[0.050]	[0.040]	[0.039]	[0.054]	[0.042]	[0.047]
momMaxEdu_Uni_Miss	0.075			0.082		0.103	0.124		0.086	
	[0.105]			[0.125]		[0.132]	[0.102]		[0.127]	
Parma							0.064			
							[0.051]			
Reggio								-0.010		0.019
								[0.087]		[0.060]
nidoXreggio								-0.380**		-0.452**
								[0.182]		[0.213]
Padova									0.009	
									[0.052]	
Constant	2.532	3.819**	2.729*	-0.942	-1.889*	-0.676	0.748	-0.400	0.588	-0.593
	[1.555]	[1.854]	[1.564]	[1.022]	[1.129]	[1.058]	[1.050]	[1.218]	[1.126]	[1.254]
										
Observations	267	250	250	576	542	576	502	472	467	439
R-squared	0.200	0.108	0.239	0.172	0.243	0.181	0.186	0.253	0.213	0.284
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.6800000000000001	.6800000000000001	.6800000000000001	.6800000000000001	.6800000000000001	.6800000000000001	.6800000000000001	.6800000000000001	.6800000000000001	.6800000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
