	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.129***	-0.411**	-0.490	-0.015	-0.011	-0.014	-0.134***	-0.067	-0.121**	-0.261***
	[0.048]	[0.206]	[0.348]	[0.034]	[0.036]	[0.034]	[0.047]	[0.063]	[0.047]	[0.091]
unobsM			0.394							
			[0.507]							
unobsM2			-0.083							
			[0.191]							
unobsM3			-0.071							
			[0.609]							
Age	-0.006	-0.028	-0.035	-0.032	-0.018	-0.036	-0.036	-0.037	-0.010	0.013
	[0.074]	[0.081]	[0.077]	[0.044]	[0.047]	[0.044]	[0.049]	[0.052]	[0.052]	[0.054]
Male	0.028	0.013	0.024	0.038	0.061*	0.039	0.017	0.017	0.042	0.093**
	[0.048]	[0.052]	[0.048]	[0.030]	[0.035]	[0.030]	[0.032]	[0.035]	[0.036]	[0.042]
poorBHealth	0.063	0.037	0.029	0.057	0.054	0.054	0.057	0.063	0.053	0.049
	[0.089]	[0.095]	[0.094]	[0.057]	[0.061]	[0.057]	[0.061]	[0.060]	[0.069]	[0.076]
oldsibs	0.279***	0.280***	0.277***	0.195***	0.155***	0.189***	0.241***	0.238***	0.208***	0.198***
	[0.055]	[0.059]	[0.055]	[0.036]	[0.038]	[0.036]	[0.040]	[0.043]	[0.041]	[0.044]
momMaxEdu_Uni_F	-0.012	-0.047	-0.049	-0.056*	-0.063	-0.053	-0.047	-0.048	0.012	0.018
	[0.062]	[0.066]	[0.063]	[0.033]	[0.045]	[0.033]	[0.039]	[0.038]	[0.044]	[0.054]
dadMaxEdu_Uni_F	-0.028	-0.022	-0.012	0.065*	0.104**	0.065*	0.002	0.005	0.033	0.077
	[0.063]	[0.067]	[0.065]	[0.039]	[0.051]	[0.039]	[0.040]	[0.039]	[0.049]	[0.060]
momMaxEdu_Uni_Miss	0.256	0.251	0.258	0.195	0.142	0.197	0.276	0.252	0.169	0.133
	[0.181]	[0.181]	[0.182]	[0.141]	[0.144]	[0.142]	[0.172]	[0.184]	[0.133]	[0.138]
dadMaxEdu_Uni_Miss	0.065	0.104	0.099	0.038	0.060	0.034	0.040	0.057	0.045	0.034
	[0.080]	[0.091]	[0.083]	[0.048]	[0.059]	[0.048]	[0.053]	[0.063]	[0.060]	[0.066]
HighInc_F	0.027	0.047	0.055	-0.032	-0.029	-0.043	-0.014	-0.027	-0.010	-0.013
	[0.057]	[0.061]	[0.060]	[0.039]	[0.043]	[0.039]	[0.040]	[0.039]	[0.049]	[0.054]
HighInc_Miss	-0.037	-0.043	-0.018	-0.032	-0.052	-0.040	-0.052	-0.042	-0.044	-0.052
	[0.066]	[0.076]	[0.070]	[0.037]	[0.039]	[0.037]	[0.040]	[0.039]	[0.044]	[0.046]
houseOwn_F	-0.055	-0.050	-0.051	0.029	0.056	0.029	-0.025	-0.006	-0.012	-0.019
	[0.068]	[0.071]	[0.068]	[0.036]	[0.041]	[0.036]	[0.045]	[0.048]	[0.046]	[0.051]
distCenter	0.010	0.010	0.007	-0.008	-0.007	-0.010	-0.003	-0.006	0.011	0.010
	[0.012]	[0.012]	[0.011]	[0.008]	[0.007]	[0.008]	[0.008]	[0.007]	[0.010]	[0.010]
cgRelig_F	-0.082	-0.154*	-0.166**	-0.043	-0.052	-0.036	-0.044	-0.029	-0.075	-0.079
	[0.058]	[0.079]	[0.084]	[0.041]	[0.051]	[0.041]	[0.042]	[0.048]	[0.050]	[0.056]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.109**	-0.077	-0.069	-0.035	-0.043	-0.039	-0.049	-0.060*	-0.101***	-0.113***
	[0.047]	[0.058]	[0.059]	[0.029]	[0.034]	[0.029]	[0.031]	[0.032]	[0.036]	[0.042]
cgRelig_Miss	-0.103	0.004		-0.085		-0.079	0.322		-0.164**	
	[0.083]	[0.124]		[0.088]		[0.087]	[0.285]		[0.066]	
Parma							-0.124***			
							[0.043]			
Reggio								0.092*		0.111**
								[0.049]		[0.051]
materna_Municipal								-0.047		0.157**
								[0.044]		[0.079]
Padova									-0.073	
									[0.047]	
Constant	0.397	0.988	1.192	0.732	0.438	0.803	0.940	0.839	0.430	-0.128
	[1.397]	[1.548]	[1.530]	[0.824]	[0.893]	[0.824]	[0.921]	[1.014]	[0.992]	[1.038]
										
Observations	267	267	266	578	566	578	502	500	467	456
R-squared	0.159	0.047	0.165	0.094	0.082	0.093	0.143	0.148	0.114	0.131
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.2	.2	.2	.2	.2	.2	.2	.2	.2	.2
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
