	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.041	0.006	0.093	0.076*	0.079*	0.076*	0.056	0.070	0.050	-0.081
	[0.061]	[0.283]	[0.403]	[0.046]	[0.048]	[0.046]	[0.060]	[0.093]	[0.059]	[0.095]
unobsM			-0.135							
			[0.593]							
unobsM2			0.066							
			[0.234]							
unobsM3			0.280							
			[0.726]							
Age	-0.175**	-0.178**	-0.178**	-0.042	0.028	-0.027	-0.104	-0.062	-0.087	-0.017
	[0.087]	[0.088]	[0.089]	[0.056]	[0.061]	[0.056]	[0.065]	[0.070]	[0.060]	[0.067]
Male	-0.000	-0.001	-0.001	-0.076**	-0.093**	-0.077**	0.005	0.053	-0.084**	-0.104**
	[0.060]	[0.060]	[0.061]	[0.038]	[0.044]	[0.039]	[0.044]	[0.049]	[0.042]	[0.049]
poorBHealth	-0.013	-0.017	-0.014	-0.012	-0.036	-0.015	-0.043	-0.036	0.014	-0.023
	[0.105]	[0.109]	[0.111]	[0.065]	[0.069]	[0.065]	[0.071]	[0.077]	[0.071]	[0.080]
oldsibs	0.047	0.047	0.049	-0.003	-0.036	-0.008	-0.001	-0.020	-0.004	-0.031
	[0.062]	[0.062]	[0.063]	[0.040]	[0.044]	[0.041]	[0.047]	[0.050]	[0.044]	[0.049]
momMaxEdu_Uni_F	-0.068	-0.072	-0.069	0.024	0.042	0.030	0.038	0.037	-0.039	-0.001
	[0.075]	[0.081]	[0.083]	[0.049]	[0.058]	[0.049]	[0.055]	[0.061]	[0.052]	[0.064]
dadMaxEdu_Uni_F	0.034	0.036	0.037	0.074	0.060	0.069	0.025	0.060	0.070	-0.002
	[0.086]	[0.088]	[0.089]	[0.053]	[0.063]	[0.053]	[0.062]	[0.068]	[0.057]	[0.069]
momMaxEdu_Uni_Miss	-0.282	-0.283	-0.284	0.052	0.148	0.076	-0.202	-0.219	-0.087	-0.081
	[0.194]	[0.199]	[0.195]	[0.134]	[0.137]	[0.133]	[0.160]	[0.159]	[0.138]	[0.147]
dadMaxEdu_Uni_Miss	-0.180**	-0.177*	-0.175*	-0.162***	-0.225***	-0.155***	-0.111*	-0.128*	-0.203***	-0.262***
	[0.088]	[0.093]	[0.094]	[0.060]	[0.065]	[0.060]	[0.065]	[0.075]	[0.068]	[0.083]
HighInc_F	-0.064	-0.061	-0.063	-0.023	-0.005	-0.021	-0.017	-0.014	-0.058	-0.083
	[0.074]	[0.076]	[0.077]	[0.054]	[0.060]	[0.055]	[0.056]	[0.061]	[0.057]	[0.065]
HighInc_Miss	-0.107	-0.105	-0.108	0.029	0.052	0.036	-0.044	-0.013	-0.018	-0.035
	[0.079]	[0.081]	[0.083]	[0.046]	[0.049]	[0.046]	[0.056]	[0.061]	[0.052]	[0.055]
houseOwn_F	-0.111	-0.111	-0.113	-0.044	-0.074	-0.042	-0.046	-0.015	-0.105**	-0.120**
	[0.080]	[0.080]	[0.081]	[0.050]	[0.054]	[0.050]	[0.058]	[0.062]	[0.053]	[0.058]
distCenter	0.013	0.013	0.014	0.006	0.014	0.007	0.013	0.015	0.009	0.017
	[0.012]	[0.012]	[0.013]	[0.010]	[0.012]	[0.011]	[0.010]	[0.012]	[0.010]	[0.011]
cgRelig_F	-0.023	-0.032	-0.035	0.063	0.105*	0.065	0.029	0.053	0.011	0.007
	[0.074]	[0.101]	[0.101]	[0.052]	[0.056]	[0.052]	[0.058]	[0.064]	[0.057]	[0.062]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.011	-0.007	-0.005	-0.016	-0.000	-0.016	-0.029	0.004	-0.002	0.010
	[0.060]	[0.065]	[0.065]	[0.038]	[0.043]	[0.039]	[0.045]	[0.048]	[0.042]	[0.049]
cgRelig_Miss	0.403***	0.412***		0.207**		0.206**	0.179		0.142	
	[0.106]	[0.128]		[0.090]		[0.091]	[0.217]		[0.096]	
Parma							-0.070			
							[0.055]			
Reggio								0.089		0.014
								[0.070]		[0.069]
materna_Municipal								-0.033		0.118*
								[0.069]		[0.070]
Padova									0.043	
									[0.056]	
Constant	3.968**	4.044**	3.993**	1.313	-0.028	1.019	2.506**	1.542	2.310**	1.020
	[1.626]	[1.688]	[1.737]	[1.052]	[1.150]	[1.062]	[1.210]	[1.308]	[1.137]	[1.269]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.077	0.076	0.070	0.042	0.070	0.041	0.039	0.049	0.051	0.075
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
