	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.166	-2.093	0.075	-0.021	-0.064	-0.014	0.152**	-0.122	0.041	-0.619***
	[0.151]	[1.447]	[0.256]	[0.050]	[0.053]	[0.052]	[0.072]	[0.177]	[0.077]	[0.226]
asilo_Municipal								0.042		0.584***
								[0.133]		[0.195]
nido	-0.096	1.999	-0.025	0.003	0.054	0.000	-0.079	-0.107	0.026	-0.351*
	[0.153]	[1.370]	[0.169]	[0.042]	[0.055]	[0.045]	[0.051]	[0.134]	[0.060]	[0.193]
unobsA			-0.085							
			[0.344]							
unobsA2			-0.087							
			[0.168]							
unobsA3			0.336							
			[0.508]							
Age	0.139*	0.005	0.117	0.004	0.137**	-0.013	0.030	0.061	0.089	0.162**
	[0.081]	[0.115]	[0.083]	[0.050]	[0.064]	[0.056]	[0.055]	[0.065]	[0.057]	[0.069]
Male	-0.047	-0.046	-0.039	-0.047	-0.055	-0.057	-0.049	-0.055	-0.040	-0.011
	[0.056]	[0.080]	[0.058]	[0.035]	[0.043]	[0.038]	[0.039]	[0.046]	[0.040]	[0.047]
poorBHealth	0.096	0.101	0.117	0.067	-0.013	0.047	0.078	0.026	0.053	0.011
	[0.081]	[0.143]	[0.084]	[0.053]	[0.069]	[0.061]	[0.055]	[0.080]	[0.063]	[0.070]
oldsibs	0.018	-0.053	0.004	-0.003	-0.128**	0.001	0.025	0.028	0.019	-0.107**
	[0.060]	[0.090]	[0.061]	[0.037]	[0.057]	[0.039]	[0.040]	[0.046]	[0.041]	[0.052]
momMaxEdu_Uni_F	0.039	-0.036	0.043	0.062	0.090*	0.085*	0.021	-0.032	0.076	0.059
	[0.073]	[0.123]	[0.075]	[0.043]	[0.054]	[0.047]	[0.049]	[0.057]	[0.052]	[0.060]
dadMaxEdu_Uni_F	0.062	0.024	0.079	0.020	0.081	-0.006	0.052	0.050	0.010	0.081
	[0.079]	[0.126]	[0.084]	[0.045]	[0.063]	[0.050]	[0.050]	[0.060]	[0.054]	[0.069]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.255***	-0.084	-0.218**	0.012	0.079	0.005	-0.115*	0.005	-0.133**	-0.081
	[0.087]	[0.137]	[0.097]	[0.056]	[0.052]	[0.060]	[0.061]	[0.056]	[0.067]	[0.077]
HighInc_F	-0.096	0.099	-0.055	-0.017	-0.073	-0.018	-0.058	-0.045	-0.056	-0.044
	[0.066]	[0.120]	[0.072]	[0.045]	[0.056]	[0.050]	[0.047]	[0.056]	[0.054]	[0.064]
HighInc_Miss	-0.078	-0.043	-0.069	-0.078*	-0.045	-0.069	-0.061	0.019	-0.095**	-0.071
	[0.070]	[0.111]	[0.074]	[0.044]	[0.050]	[0.046]	[0.049]	[0.053]	[0.047]	[0.053]
houseOwn_F	0.083	0.025	0.120	0.047	0.118*	0.039	0.016	0.126	0.075	0.038
	[0.082]	[0.098]	[0.090]	[0.048]	[0.068]	[0.050]	[0.053]	[0.078]	[0.054]	[0.071]
distCenter	0.013	0.008	0.012	0.016*	-0.006	0.015	0.015*	0.018**	0.005	-0.021
	[0.012]	[0.015]	[0.013]	[0.009]	[0.013]	[0.010]	[0.008]	[0.009]	[0.010]	[0.014]
cgRelig_F	0.043	-0.054	0.065	-0.030	0.110	-0.023	-0.007	0.069	0.014	0.107
	[0.070]	[0.102]	[0.076]	[0.049]	[0.068]	[0.053]	[0.051]	[0.075]	[0.054]	[0.071]
cgRelig_Miss	0.336***	0.449***	0.381***	-0.008	-0.133	0.020	-0.237	-0.542**	0.098	-0.095
	[0.099]	[0.134]	[0.109]	[0.098]	[0.142]	[0.101]	[0.402]	[0.212]	[0.104]	[0.120]
CAPI	0.002	-0.015	0.025	-0.082**	-0.114***	-0.088**	-0.068*	-0.085*	-0.028	-0.005
	[0.055]	[0.078]	[0.058]	[0.035]	[0.043]	[0.037]	[0.038]	[0.045]	[0.040]	[0.047]
momMaxEdu_Uni_Miss	0.007			-0.144		-0.188	0.073		-0.166	
	[0.166]			[0.141]		[0.157]	[0.128]		[0.130]	
Parma							0.186***			
							[0.050]			
Reggio								-0.262***		-0.031
								[0.067]		[0.067]
nidoXreggio								0.306*		0.492**
								[0.184]		[0.228]
Padova									0.003	
									[0.051]	
Constant	-2.015	0.598	-1.657	0.662	-1.894	0.986	0.100	-0.429	-1.035	-2.370*
	[1.504]	[2.216]	[1.548]	[0.943]	[1.198]	[1.048]	[1.028]	[1.237]	[1.076]	[1.278]
										
Observations	291	272	272	670	634	670	537	504	564	533
R-squared	0.068	-0.730	0.073	0.036	0.218	0.036	0.055	0.122	0.043	0.222
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
