	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.063	-1.199*	-0.248	-0.048	-0.049	-0.064	0.034	-0.029	0.047	0.255***
	[0.058]	[0.675]	[0.158]	[0.035]	[0.043]	[0.049]	[0.048]	[0.085]	[0.048]	[0.098]
asilo_Municipal								0.143**		-0.165*
								[0.064]		[0.089]
nido	-0.028	1.015*	-0.017	-0.014	0.008	0.032	0.005	-0.027	-0.037	0.053
	[0.061]	[0.567]	[0.061]	[0.036]	[0.046]	[0.051]	[0.039]	[0.069]	[0.041]	[0.086]
unobs			0.328							
			[0.235]							
unobs2			-0.076							
			[0.111]							
unobs3			0.011							
			[0.325]							
Age	0.034	0.007	0.016	-0.076*	-0.100*	-0.101*	-0.019	-0.040	-0.004	-0.021
	[0.048]	[0.081]	[0.047]	[0.040]	[0.055]	[0.056]	[0.040]	[0.054]	[0.040]	[0.053]
Male	-0.016	-0.008	0.012	-0.026	-0.063	-0.023	-0.020	-0.017	-0.024	-0.050
	[0.039]	[0.060]	[0.040]	[0.029]	[0.040]	[0.042]	[0.030]	[0.039]	[0.031]	[0.040]
poorBHealth	-0.093**	-0.051	-0.030	-0.067*	-0.009	-0.068	-0.114***	-0.095	-0.038	0.026
	[0.041]	[0.086]	[0.045]	[0.040]	[0.068]	[0.059]	[0.033]	[0.068]	[0.044]	[0.065]
oldsibs	0.041	-0.103	-0.022	-0.051	-0.071	-0.098**	-0.022	-0.068*	-0.003	-0.037
	[0.051]	[0.117]	[0.048]	[0.049]	[0.047]	[0.046]	[0.041]	[0.040]	[0.045]	[0.042]
momMaxEdu_Uni_F	-0.025	-0.011	0.008	-0.035	-0.006	-0.036	-0.011	0.012	-0.036	-0.046
	[0.043]	[0.077]	[0.046]	[0.032]	[0.047]	[0.051]	[0.035]	[0.046]	[0.036]	[0.048]
dadMaxEdu_Uni_F	0.115**	-0.034	0.091*	0.062*	0.038	0.057	0.109***	0.089*	0.053	0.052
	[0.051]	[0.120]	[0.052]	[0.037]	[0.049]	[0.057]	[0.040]	[0.052]	[0.040]	[0.045]
momMaxEdu_Uni_Miss	-0.142***	-0.126*	-0.188***	-0.217***	-0.203***	-0.223***	-0.157***	-0.124*	-0.153***	-0.156***
	[0.047]	[0.075]	[0.050]	[0.044]	[0.075]	[0.065]	[0.048]	[0.064]	[0.039]	[0.051]
dadMaxEdu_Uni_Miss	-0.014	0.068	0.007	0.062	0.030	0.025	0.045	-0.013	0.014	0.075
	[0.057]	[0.082]	[0.057]	[0.055]	[0.082]	[0.072]	[0.054]	[0.068]	[0.055]	[0.089]
HighInc_F	0.076	0.034	0.074	-0.026	-0.052	-0.074	-0.041	-0.070	0.046	0.013
	[0.056]	[0.091]	[0.056]	[0.040]	[0.055]	[0.052]	[0.040]	[0.055]	[0.046]	[0.049]
HighInc_Miss	0.117**	0.056	0.045	0.023	0.067	0.012	0.036	0.019	0.083**	0.068
	[0.048]	[0.081]	[0.056]	[0.037]	[0.049]	[0.047]	[0.038]	[0.046]	[0.038]	[0.044]
houseOwn_F	-0.053	-0.111	-0.076*	0.039	0.078**	0.106***	0.036	0.064*	-0.030	0.015
	[0.039]	[0.069]	[0.041]	[0.030]	[0.039]	[0.041]	[0.030]	[0.036]	[0.032]	[0.040]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.004	-0.004	-0.003	0.006	0.018	0.007	0.006	0.015	-0.003	-0.006
	[0.006]	[0.010]	[0.007]	[0.008]	[0.012]	[0.012]	[0.006]	[0.010]	[0.006]	[0.008]
cgRelig_F	0.024	0.047	0.009	0.069*	0.097*	0.079	0.082**	0.163***	0.042	0.030
	[0.046]	[0.082]	[0.047]	[0.036]	[0.051]	[0.055]	[0.038]	[0.055]	[0.038]	[0.056]
cgRelig_Miss	0.020	-0.194	-0.070	0.401***	0.127	0.229	0.187	-0.055	0.372***	0.257*
	[0.142]	[0.334]	[0.091]	[0.116]	[0.138]	[0.148]	[0.154]	[0.117]	[0.126]	[0.155]
CAPI	0.006	0.023	0.013	-0.031	-0.077*	-0.073	-0.095***	-0.171***	0.060*	0.062*
	[0.041]	[0.062]	[0.040]	[0.029]	[0.043]	[0.046]	[0.030]	[0.040]	[0.031]	[0.038]
houseOwn_Miss	0.289	0.012		0.110		-0.035	0.268		0.026	
	[0.360]	[0.303]		[0.282]		[0.210]	[0.261]		[0.235]	
Parma							0.068*			
							[0.037]			
Reggio								-0.037		-0.146***
								[0.057]		[0.051]
nidoXreggio								-0.025		-0.085
								[0.087]		[0.095]
Padova									0.109***	
									[0.039]	
Constant	-0.157	0.086	0.149	0.634**	0.755*	0.776**	0.167	0.285	0.080	0.331
	[0.332]	[0.579]	[0.338]	[0.278]	[0.387]	[0.378]	[0.283]	[0.368]	[0.282]	[0.387]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.086	-1.137	0.103	0.062	0.064	0.058	0.078	0.149	0.083	0.103
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.12	.12	.12	.12	.12	.12	.12	.12	.12	.12
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
