	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.008	-0.188	-0.021	0.140***	0.143***	0.112**	0.013	0.034	0.004	0.038
	[0.057]	[0.249]	[0.341]	[0.046]	[0.047]	[0.048]	[0.057]	[0.087]	[0.057]	[0.092]
unobs			-0.073							
			[0.508]							
unobs2			0.002							
			[0.203]							
unobs3			0.349							
			[0.626]							
Age	0.081	0.084	0.078	-0.027	-0.046	-0.013	0.065	0.084	-0.004	-0.072
	[0.076]	[0.078]	[0.076]	[0.053]	[0.065]	[0.062]	[0.058]	[0.064]	[0.056]	[0.064]
Male	-0.003	0.001	-0.000	0.001	0.010	-0.002	0.004	0.016	0.007	0.016
	[0.057]	[0.059]	[0.058]	[0.035]	[0.040]	[0.041]	[0.040]	[0.043]	[0.040]	[0.043]
poorBHealth	-0.138	-0.126	-0.129	-0.002	-0.050	-0.036	-0.100	-0.149**	-0.087	-0.124**
	[0.091]	[0.098]	[0.091]	[0.058]	[0.058]	[0.060]	[0.065]	[0.068]	[0.066]	[0.063]
oldsibs	0.083	0.051	0.004	0.016	-0.019	0.018	0.065	-0.002	0.030	-0.019
	[0.107]	[0.110]	[0.111]	[0.089]	[0.111]	[0.093]	[0.094]	[0.111]	[0.075]	[0.091]
momMaxEdu_Uni_F	0.088	0.090	0.094	0.005	0.053	-0.029	0.001	0.022	0.030	0.078
	[0.071]	[0.073]	[0.072]	[0.042]	[0.049]	[0.048]	[0.048]	[0.053]	[0.049]	[0.053]
dadMaxEdu_Uni_F	0.019	0.012	0.010	0.062	0.015	0.088*	0.063	0.035	0.015	-0.033
	[0.077]	[0.081]	[0.078]	[0.045]	[0.050]	[0.048]	[0.052]	[0.056]	[0.053]	[0.058]
momMaxEdu_Uni_Miss	0.022	-0.004	-0.011	-0.079	0.044	-0.156	0.019	0.060	-0.018	0.097
	[0.197]	[0.198]	[0.199]	[0.195]	[0.197]	[0.185]	[0.178]	[0.182]	[0.173]	[0.158]
dadMaxEdu_Uni_Miss	-0.011	0.017	0.015	0.013	-0.017	0.099	0.066	0.126	-0.026	-0.051
	[0.111]	[0.112]	[0.116]	[0.065]	[0.078]	[0.084]	[0.079]	[0.080]	[0.072]	[0.085]
HighInc_F	-0.034	-0.019	-0.022	-0.069	-0.048	-0.057	-0.043	-0.013	-0.083	-0.129**
	[0.081]	[0.085]	[0.083]	[0.049]	[0.057]	[0.053]	[0.055]	[0.061]	[0.058]	[0.058]
HighInc_Miss	0.224***	0.228***	0.232***	0.032	0.105**	0.064	0.091*	0.152***	0.141***	0.150***
	[0.071]	[0.073]	[0.071]	[0.044]	[0.052]	[0.058]	[0.051]	[0.057]	[0.048]	[0.053]
houseOwn_F	0.045	0.027	0.034	-0.014	0.017	-0.003	0.029	0.039	0.006	0.035
	[0.058]	[0.063]	[0.061]	[0.039]	[0.047]	[0.044]	[0.043]	[0.047]	[0.042]	[0.050]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.022**	-0.024**	-0.023**	0.025**	0.039***	0.030***	0.006	0.020*	-0.009	0.001
	[0.010]	[0.011]	[0.011]	[0.010]	[0.011]	[0.011]	[0.009]	[0.010]	[0.009]	[0.011]
cgRelig_F	-0.051	-0.086	-0.068	0.073	0.034	0.033	0.032	0.001	0.020	0.014
	[0.088]	[0.100]	[0.101]	[0.049]	[0.057]	[0.072]	[0.060]	[0.068]	[0.056]	[0.059]
cgRelig_Miss	-0.473**	-0.465**	-0.683***	0.288**	0.193	0.120	-0.067	-0.130	0.213	0.217
	[0.204]	[0.207]	[0.129]	[0.125]	[0.138]	[0.166]	[0.175]	[0.185]	[0.148]	[0.155]
CAPI	-0.090	-0.070	-0.074	-0.057	-0.075*	-0.079*	-0.106**	-0.080*	-0.053	-0.089**
	[0.060]	[0.067]	[0.065]	[0.036]	[0.040]	[0.042]	[0.041]	[0.044]	[0.041]	[0.044]
houseOwn_Miss	0.058	-0.028		-0.386***		-0.410***	-0.281		-0.250	
	[0.474]	[0.492]		[0.044]		[0.047]	[0.187]		[0.194]	
Parma							-0.088*			
							[0.051]			
Reggio								0.049		0.181***
								[0.064]		[0.059]
materna_Municipal								-0.004		-0.010
								[0.064]		[0.070]
Padova									-0.188***	
									[0.051]	
Constant	-0.036	0.078	0.018	0.387	0.477	0.321	-0.035	-0.286	0.485	0.737*
	[0.528]	[0.555]	[0.570]	[0.362]	[0.442]	[0.399]	[0.407]	[0.444]	[0.392]	[0.442]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.095	0.059	0.104	0.042	0.073	0.043	0.042	0.064	0.066	0.102
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.45	.45	.45	.45	.45	.45	.45	.45	.45	.45
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
