	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.032	-0.110	-0.127	-0.029	-0.098	-0.043	0.029	0.329**	0.024	-0.136
	[0.037]	[0.126]	[0.144]	[0.025]	[0.062]	[0.026]	[0.036]	[0.144]	[0.036]	[0.089]
unobs			0.234							
			[0.237]							
unobs2			0.106							
			[0.113]							
unobs3			-0.195							
			[0.344]							
Age	-0.062	-0.060	-0.061	-0.023	-0.318**	-0.000	-0.045	-0.245***	-0.005	-0.074
	[0.058]	[0.059]	[0.058]	[0.030]	[0.137]	[0.026]	[0.038]	[0.056]	[0.036]	[0.111]
Male	-0.052	-0.049	-0.053	-0.034*	-0.557***	-0.018	-0.032	-0.287**	-0.029	-0.213**
	[0.035]	[0.036]	[0.035]	[0.018]	[0.097]	[0.014]	[0.023]	[0.118]	[0.022]	[0.094]
poorBHealth	-0.044	-0.036	-0.037	0.021	-0.044	0.028*	-0.014	-0.091	-0.019	-0.037
	[0.066]	[0.069]	[0.065]	[0.027]	[0.172]	[0.016]	[0.039]	[0.092]	[0.041]	[0.134]
oldsibs	-0.189	-0.222	-0.214	-0.055	-0.054	-0.443*	-0.146	-0.081	-0.143*	-0.103
	[0.138]	[0.150]	[0.145]	[0.067]	[0.186]	[0.249]	[0.097]	[0.115]	[0.079]	[0.129]
momMaxEdu_Uni_F	-0.019	-0.018	-0.012	-0.018	-0.313**	0.009	-0.013	-0.125**	-0.018	0.092*
	[0.042]	[0.043]	[0.043]	[0.022]	[0.123]	[0.018]	[0.026]	[0.057]	[0.027]	[0.053]
dadMaxEdu_Uni_F	0.029	0.025	0.025	0.039**	0.581***	0.008	0.025	0.144***	0.037	0.223***
	[0.038]	[0.040]	[0.038]	[0.019]	[0.080]	[0.007]	[0.024]	[0.046]	[0.025]	[0.080]
momMaxEdu_Uni_Miss	0.006	-0.013	0.001	-0.252	-0.111	-0.325	-0.114	0.043	-0.036	0.099
	[0.141]	[0.132]	[0.147]	[0.195]	[0.457]	[0.226]	[0.164]	[0.162]	[0.126]	[0.298]
dadMaxEdu_Uni_Miss	-0.097	-0.077	-0.085	-0.027	0.359***	0.004	-0.079	-0.081	-0.021	0.014
	[0.084]	[0.086]	[0.087]	[0.040]	[0.092]	[0.014]	[0.057]	[0.136]	[0.044]	[0.123]
HighInc_F	-0.012	-0.002	-0.003	0.022	0.442***	-0.002	0.006	-0.012	-0.004	-0.188**
	[0.043]	[0.048]	[0.045]	[0.021]	[0.164]	[0.013]	[0.025]	[0.059]	[0.031]	[0.077]
HighInc_Miss	0.041	0.044	0.044	-0.013	-0.139	-0.033**	-0.012	-0.228***	0.002	-0.025
	[0.043]	[0.044]	[0.043]	[0.026]	[0.104]	[0.017]	[0.034]	[0.080]	[0.027]	[0.062]
houseOwn_F	0.046	0.032	0.035	0.012	-0.363**	-0.030*	0.038	0.131***	0.035	-0.453***
	[0.040]	[0.042]	[0.041]	[0.021]	[0.181]	[0.016]	[0.027]	[0.046]	[0.025]	[0.112]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.001	-0.000	0.001	-0.007	-0.084***	-0.002	-0.004	-0.004	0.003	-0.146***
	[0.007]	[0.007]	[0.007]	[0.005]	[0.019]	[0.003]	[0.005]	[0.010]	[0.006]	[0.020]
cgRelig_F	0.012	-0.013	-0.020	0.052	-0.210**	-0.006	0.056	0.122*	0.005	-0.030
	[0.052]	[0.054]	[0.054]	[0.033]	[0.096]	[0.015]	[0.040]	[0.065]	[0.033]	[0.079]
cgRelig_Miss	0.059	0.063	0.056	0.013	-0.397***	0.037**	-0.005	0.092	0.014	-0.198*
	[0.067]	[0.072]	[0.069]	[0.080]	[0.105]	[0.017]	[0.125]	[0.118]	[0.069]	[0.109]
CAPI	-0.027	-0.012	-0.013	-0.025	0.007	0.017	-0.040*	-0.049	-0.034	0.086
	[0.038]	[0.042]	[0.040]	[0.019]	[0.066]	[0.016]	[0.023]	[0.063]	[0.023]	[0.065]
houseOwn_Miss	0.205**	0.138		0.050**		0.029	0.158**		0.149**	
	[0.098]	[0.113]		[0.023]		[0.021]	[0.077]		[0.065]	
Parma							0.040			
							[0.031]			
Reggio								-0.183**		-0.024
								[0.092]		[0.069]
materna_Municipal								-0.289**		0.157***
								[0.137]		[0.052]
Padova									0.058*	
									[0.030]	
Constant	1.308***	1.386***	1.384***	1.089***	3.987***	1.004***	1.179***	2.821***	0.919***	2.199***
	[0.385]	[0.399]	[0.382]	[0.202]	[1.103]	[0.153]	[0.250]	[0.458]	[0.249]	[0.798]
										
Observations	309	309	307	731	728	728	597	593	586	583
R-squared	0.065	0.017	0.071	0.043	0.997	0.130	0.056	0.999	0.039	0.881
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.89	.89	.89	.89	.89	.89	.89	.89	.89	.89
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
