	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.000	0.099	0.257*	0.010	0.008	0.011	0.003	0.003	-0.009	-0.094*
	[0.030]	[0.117]	[0.155]	[0.024]	[0.023]	[0.021]	[0.029]	[0.035]	[0.030]	[0.055]
unobs			-0.413*							
			[0.215]							
unobs2			-0.123							
			[0.075]							
unobs3			0.455**							
			[0.212]							
Age	0.028	0.026	0.030	-0.006	0.003	-0.005	0.017	0.014	0.005	0.011
	[0.045]	[0.046]	[0.045]	[0.027]	[0.027]	[0.027]	[0.033]	[0.030]	[0.030]	[0.033]
Male	0.010	0.008	0.014	0.016	0.030	0.021	0.021	0.015	0.001	0.018
	[0.031]	[0.031]	[0.031]	[0.018]	[0.020]	[0.016]	[0.020]	[0.018]	[0.021]	[0.024]
poorBHealth	0.044	0.038	0.037	0.039	0.083	0.045	0.009	0.004	0.065	0.124*
	[0.053]	[0.055]	[0.055]	[0.036]	[0.059]	[0.038]	[0.034]	[0.031]	[0.043]	[0.069]
oldsibs	-0.038**	-0.023	-0.015	-0.022	-0.020	-0.024	-0.011	-0.012	-0.051***	-0.057**
	[0.016]	[0.026]	[0.026]	[0.034]	[0.030]	[0.029]	[0.033]	[0.031]	[0.014]	[0.023]
momMaxEdu_Uni_F	0.044	0.043	0.040	0.008	0.014	0.007	0.004	0.003	0.062**	0.048
	[0.044]	[0.046]	[0.043]	[0.023]	[0.025]	[0.020]	[0.027]	[0.023]	[0.031]	[0.037]
dadMaxEdu_Uni_F	-0.036	-0.032	-0.029	-0.018	-0.008	-0.011	-0.034	-0.039	-0.017	0.003
	[0.050]	[0.052]	[0.050]	[0.024]	[0.025]	[0.021]	[0.029]	[0.026]	[0.032]	[0.034]
momMaxEdu_Uni_Miss	-0.009	0.004	-0.008	-0.040**	-0.042*	-0.037**	-0.025	-0.026	-0.038	-0.043
	[0.028]	[0.034]	[0.032]	[0.017]	[0.025]	[0.017]	[0.019]	[0.016]	[0.026]	[0.031]
dadMaxEdu_Uni_Miss	-0.013	-0.027	-0.028	0.004	0.044	0.014	-0.042	-0.047**	0.038	0.066
	[0.040]	[0.046]	[0.043]	[0.032]	[0.046]	[0.030]	[0.026]	[0.021]	[0.040]	[0.049]
HighInc_F	0.135**	0.127**	0.131**	0.055*	0.030	0.046	0.086**	0.066**	0.074*	0.044
	[0.061]	[0.061]	[0.060]	[0.031]	[0.029]	[0.029]	[0.036]	[0.031]	[0.040]	[0.039]
HighInc_Miss	-0.051*	-0.053*	-0.051*	-0.032*	-0.044**	-0.030**	-0.027	-0.024	-0.053***	-0.067***
	[0.030]	[0.031]	[0.030]	[0.017]	[0.019]	[0.015]	[0.020]	[0.018]	[0.018]	[0.022]
houseOwn_F	0.025	0.035	0.037	-0.002	-0.022	-0.012	0.010	0.006	0.005	-0.010
	[0.030]	[0.035]	[0.035]	[0.019]	[0.021]	[0.018]	[0.021]	[0.018]	[0.021]	[0.022]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.003	-0.002	-0.002	-0.004	-0.002	-0.003	-0.009**	-0.009***	-0.000	0.002
	[0.005]	[0.005]	[0.005]	[0.004]	[0.004]	[0.004]	[0.004]	[0.003]	[0.004]	[0.005]
cgRelig_F	0.033	0.050	0.067	-0.001	-0.007	0.002	0.034	0.030	0.001	-0.001
	[0.039]	[0.043]	[0.043]	[0.026]	[0.029]	[0.022]	[0.025]	[0.020]	[0.030]	[0.034]
cgRelig_Miss	0.245	0.241	0.256	0.017	-0.033	-0.013	0.118	0.033	0.048	-0.003
	[0.202]	[0.196]	[0.218]	[0.057]	[0.033]	[0.033]	[0.112]	[0.042]	[0.061]	[0.039]
CAPI	-0.047	-0.057*	-0.060*	0.009	0.016	0.008	-0.035*	-0.033*	0.002	0.012
	[0.033]	[0.032]	[0.032]	[0.018]	[0.021]	[0.017]	[0.020]	[0.018]	[0.021]	[0.024]
houseOwn_Miss	-0.089	-0.046		-0.028		-0.032	-0.058*		0.029	
	[0.109]	[0.119]		[0.024]		[0.023]	[0.035]		[0.030]	
Parma							-0.023			
							[0.028]			
Reggio								0.019		0.020
								[0.028]		[0.025]
materna_Municipal								-0.001		0.096**
								[0.023]		[0.047]
Padova									-0.013	
									[0.026]	
Constant	-0.154	-0.211	-0.303	0.093	0.027	0.081	-0.046	-0.034	0.016	-0.069
	[0.303]	[0.332]	[0.351]	[0.182]	[0.181]	[0.181]	[0.223]	[0.209]	[0.199]	[0.219]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.102	0.068	0.116	0.022	0.044	0.022	0.052	0.045	0.059	0.102
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.07	.07	.07	.07	.07	.07	.07	.07	.07	.07
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
