	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.095	-0.178	-0.180	-0.023	-0.018	-0.028	-0.039	0.210	-0.011	0.230*
	[0.081]	[0.397]	[0.146]	[0.035]	[0.039]	[0.101]	[0.055]	[0.151]	[0.051]	[0.130]
asilo_Municipal								0.013		-0.024
								[0.087]		[0.070]
nido	-0.184**	0.043	-0.158**	0.016	0.004	0.058	-0.018	-0.008	-0.054	0.046
	[0.077]	[0.331]	[0.073]	[0.030]	[0.038]	[0.108]	[0.039]	[0.087]	[0.035]	[0.057]
unobs			0.316							
			[0.243]							
unobs2			-0.213*							
			[0.113]							
unobs3			-0.100							
			[0.395]							
Age	-0.055	-0.060	-0.066	-0.138***	-0.064	-0.436**	-0.122***	-0.097	-0.050	-0.004
	[0.056]	[0.058]	[0.058]	[0.042]	[0.052]	[0.196]	[0.043]	[0.062]	[0.040]	[0.048]
Male	-0.027	-0.026	-0.003	-0.086***	-0.091***	-0.176	-0.038	-0.047	-0.056**	-0.048
	[0.036]	[0.037]	[0.037]	[0.025]	[0.027]	[0.217]	[0.027]	[0.033]	[0.026]	[0.031]
poorBHealth	-0.086	-0.076	-0.042	-0.054	0.071	-0.157	-0.103*	0.048	-0.042	-0.012
	[0.077]	[0.085]	[0.075]	[0.046]	[0.048]	[0.108]	[0.057]	[0.058]	[0.053]	[0.055]
oldsibs	0.007	-0.054	-0.034	0.016	-0.130	-0.207	-0.010	-0.077	0.011	-0.126
	[0.114]	[0.146]	[0.118]	[0.069]	[0.101]	[0.287]	[0.088]	[0.097]	[0.064]	[0.128]
momMaxEdu_Uni_F	-0.018	-0.014	-0.004	-0.033	-0.065*	-0.498***	-0.033	-0.085**	-0.009	-0.053
	[0.052]	[0.051]	[0.052]	[0.031]	[0.037]	[0.132]	[0.035]	[0.043]	[0.035]	[0.045]
dadMaxEdu_Uni_F	-0.088	-0.121	-0.098*	-0.018	0.026	0.322***	-0.049	-0.000	-0.050	-0.016
	[0.054]	[0.075]	[0.054]	[0.033]	[0.048]	[0.099]	[0.038]	[0.054]	[0.037]	[0.050]
momMaxEdu_Uni_Miss	-0.023	-0.021	-0.034	-0.094	-0.293	-0.433	0.021	-0.102	0.015	-0.194
	[0.186]	[0.178]	[0.172]	[0.172]	[0.241]	[0.302]	[0.132]	[0.219]	[0.147]	[0.228]
dadMaxEdu_Uni_Miss	-0.064	-0.045	-0.046	-0.005	0.035	0.444**	-0.026	-0.048	-0.036	0.009
	[0.090]	[0.093]	[0.091]	[0.048]	[0.051]	[0.223]	[0.060]	[0.069]	[0.056]	[0.057]
HighInc_F	0.085	0.075	0.091*	-0.009	-0.119*	0.255***	0.023	-0.080	0.041	0.012
	[0.052]	[0.056]	[0.051]	[0.035]	[0.066]	[0.060]	[0.039]	[0.068]	[0.040]	[0.063]
HighInc_Miss	0.034	0.020	-0.019	-0.037	-0.064*	-0.196	-0.011	-0.061	0.009	0.001
	[0.056]	[0.057]	[0.059]	[0.033]	[0.034]	[0.160]	[0.039]	[0.044]	[0.033]	[0.040]
houseOwn_F	0.026	0.014	0.010	0.012	-0.038	0.066	0.020	-0.007	0.009	0.012
	[0.042]	[0.047]	[0.043]	[0.027]	[0.030]	[0.089]	[0.031]	[0.035]	[0.028]	[0.034]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.000	-0.000	-0.002	-0.005	-0.009	0.095***	-0.004	-0.012	0.001	0.003
	[0.006]	[0.006]	[0.006]	[0.007]	[0.014]	[0.023]	[0.005]	[0.013]	[0.006]	[0.007]
cgRelig_F	0.025	0.030	0.017	0.067	0.122	0.138	0.080	0.158	0.022	0.009
	[0.058]	[0.062]	[0.059]	[0.042]	[0.074]	[0.216]	[0.049]	[0.103]	[0.042]	[0.051]
cgRelig_Miss	0.165**	0.119	0.222**	0.138**	0.224***	0.211	0.214***	0.280***	0.041	0.090
	[0.084]	[0.121]	[0.101]	[0.067]	[0.071]	[0.224]	[0.066]	[0.104]	[0.072]	[0.075]
CAPI	0.019	0.022	0.024	-0.004	-0.032	0.238***	-0.008	-0.074	0.014	0.058*
	[0.042]	[0.044]	[0.041]	[0.026]	[0.038]	[0.085]	[0.029]	[0.048]	[0.028]	[0.035]
houseOwn_Miss	0.100	0.038		-0.179		-0.055	-0.121		0.137***	
	[0.081]	[0.128]		[0.290]		[0.268]	[0.238]		[0.047]	
Parma							-0.045			
							[0.043]			
Reggio								0.096*		0.040
								[0.055]		[0.045]
nidoXreggio								-0.303**		-0.339***
								[0.150]		[0.130]
Padova									0.009	
									[0.035]	
Constant	1.288***	1.333***	1.542***	1.819***	1.351***	3.358***	1.720***	1.516***	1.254***	0.906***
	[0.383]	[0.400]	[0.418]	[0.291]	[0.359]	[1.229]	[0.299]	[0.422]	[0.290]	[0.348]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.073	0.021	0.095	0.049	0.115	0.787	0.050	0.130	0.034	0.080
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.87	.87	.87	.87	.87	.87	.87	.87	.87	.87
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
