	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.077	-0.280	-0.567*	-0.024	-0.017	-0.025	-0.069	-0.078	-0.069	-0.028
	[0.051]	[0.213]	[0.292]	[0.039]	[0.042]	[0.040]	[0.051]	[0.081]	[0.050]	[0.075]
unobsM			0.760*							
			[0.424]							
unobsM2			-0.061							
			[0.198]							
unobsM3			-0.833							
			[0.515]							
Age	-0.127	-0.143*	-0.148*	-0.013	-0.009	-0.011	-0.116**	-0.056	-0.004	-0.021
	[0.077]	[0.081]	[0.081]	[0.046]	[0.056]	[0.047]	[0.053]	[0.067]	[0.052]	[0.053]
Male	-0.033	-0.037	-0.044	-0.099***	-0.116***	-0.100***	-0.097**	-0.115***	-0.035	-0.039
	[0.053]	[0.055]	[0.054]	[0.033]	[0.039]	[0.033]	[0.038]	[0.044]	[0.036]	[0.039]
poorBHealth	0.089	0.068	0.062	-0.022	0.026	-0.026	0.008	0.035	0.028	0.041
	[0.083]	[0.088]	[0.088]	[0.059]	[0.059]	[0.060]	[0.061]	[0.064]	[0.062]	[0.063]
oldsibs	-0.011	-0.012	-0.013	0.009	0.002	0.009	0.003	-0.000	0.016	-0.003
	[0.055]	[0.056]	[0.055]	[0.034]	[0.041]	[0.034]	[0.039]	[0.045]	[0.036]	[0.040]
momMaxEdu_Uni_F	-0.064	-0.085	-0.089	0.010	0.029	0.014	-0.006	0.023	-0.026	-0.053
	[0.068]	[0.075]	[0.075]	[0.041]	[0.046]	[0.040]	[0.048]	[0.055]	[0.044]	[0.046]
dadMaxEdu_Uni_F	0.083	0.094	0.096	0.027	0.029	0.021	0.009	-0.028	0.064	0.109**
	[0.076]	[0.082]	[0.079]	[0.043]	[0.048]	[0.043]	[0.053]	[0.060]	[0.046]	[0.048]
momMaxEdu_Uni_Miss	0.195***	0.190**	0.189***	0.159**	0.174***	0.160**	0.226***	0.234***	0.143*	0.140**
	[0.071]	[0.088]	[0.072]	[0.067]	[0.066]	[0.067]	[0.050]	[0.066]	[0.075]	[0.071]
dadMaxEdu_Uni_Miss	0.033	0.055	0.055	-0.024	-0.059	-0.025	-0.032	-0.069	0.038	0.051
	[0.080]	[0.084]	[0.082]	[0.054]	[0.068]	[0.053]	[0.060]	[0.072]	[0.056]	[0.056]
HighInc_F	0.051	0.064	0.071	0.008	0.020	0.013	0.033	0.013	0.031	0.025
	[0.066]	[0.068]	[0.068]	[0.046]	[0.050]	[0.046]	[0.048]	[0.051]	[0.051]	[0.051]
HighInc_Miss	0.176***	0.187***	0.200***	0.085**	0.110**	0.081**	0.098**	0.072	0.104**	0.106**
	[0.061]	[0.066]	[0.064]	[0.038]	[0.044]	[0.038]	[0.044]	[0.053]	[0.043]	[0.045]
houseOwn_F	-0.091	-0.088	-0.076	0.022	0.041	0.025	0.007	0.045	-0.035	-0.032
	[0.064]	[0.069]	[0.064]	[0.042]	[0.051]	[0.042]	[0.050]	[0.062]	[0.043]	[0.051]
distCenter	0.009	0.009	0.006	-0.000	-0.003	-0.000	0.014*	0.010	0.004	0.003
	[0.010]	[0.010]	[0.011]	[0.009]	[0.010]	[0.009]	[0.008]	[0.009]	[0.008]	[0.009]
cgRelig_F	-0.049	-0.102	-0.108	-0.029	-0.043	-0.027	-0.044	-0.038	-0.039	-0.056
	[0.061]	[0.082]	[0.082]	[0.044]	[0.049]	[0.044]	[0.049]	[0.058]	[0.047]	[0.044]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.062	0.084	0.080	0.005	0.030	0.002	-0.003	-0.004	0.052	0.074*
	[0.052]	[0.056]	[0.053]	[0.033]	[0.038]	[0.033]	[0.037]	[0.042]	[0.036]	[0.038]
cgRelig_Miss	0.151*	0.203**		0.122**		0.127**	0.186***		0.086	
	[0.082]	[0.100]		[0.052]		[0.052]	[0.068]		[0.057]	
Parma							-0.029			
							[0.045]			
Reggio								0.068		0.042
								[0.056]		[0.052]
materna_Municipal								-0.008		-0.057
								[0.063]		[0.056]
Padova									-0.046	
									[0.046]	
Constant	3.194**	3.634**	3.890**	1.024	0.919	0.987	2.973***	1.791	0.865	1.167
	[1.442]	[1.549]	[1.591]	[0.876]	[1.066]	[0.876]	[0.986]	[1.271]	[0.965]	[0.997]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.071	0.019	0.077	0.043	0.044	0.043	0.049	0.046	0.046	0.051
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.77	.77	.77	.77	.77	.77	.77	.77	.77	.77
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
