	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.016	-0.048	0.153	0.001	0.003	0.000	-0.016	0.011	-0.020	-0.010
	[0.023]	[0.150]	[0.223]	[0.019]	[0.018]	[0.020]	[0.023]	[0.040]	[0.023]	[0.037]
unobsM			-0.312							
			[0.301]							
unobsM2			0.203**							
			[0.099]							
unobsM3			0.501							
			[0.316]							
Age	-0.026	-0.028	-0.019	-0.015	0.002	-0.014	-0.028	-0.012	0.002	-0.002
	[0.048]	[0.053]	[0.055]	[0.028]	[0.024]	[0.027]	[0.031]	[0.031]	[0.031]	[0.026]
Male	-0.004	-0.004	-0.004	-0.014	-0.021	-0.015	-0.014	-0.037*	-0.006	-0.007
	[0.023]	[0.024]	[0.024]	[0.017]	[0.018]	[0.017]	[0.017]	[0.022]	[0.019]	[0.019]
poorBHealth	0.003	-0.001	0.011	-0.014	-0.002	-0.014	0.004	0.008	-0.035	-0.015
	[0.041]	[0.043]	[0.042]	[0.034]	[0.026]	[0.034]	[0.028]	[0.027]	[0.039]	[0.032]
oldsibs	-0.012	-0.012	-0.011	0.009	0.012	0.009	0.008	0.017	-0.005	-0.004
	[0.026]	[0.026]	[0.026]	[0.016]	[0.016]	[0.016]	[0.017]	[0.015]	[0.018]	[0.017]
momMaxEdu_Uni_F	0.023	0.020	0.033	0.017	0.005	0.015	0.009	0.011	0.025	0.012
	[0.026]	[0.032]	[0.033]	[0.019]	[0.019]	[0.019]	[0.019]	[0.021]	[0.022]	[0.021]
dadMaxEdu_Uni_F	0.004	0.006	0.003	-0.009	0.007	-0.011	0.032	0.036*	-0.042	-0.029
	[0.040]	[0.042]	[0.043]	[0.022]	[0.023]	[0.023]	[0.023]	[0.022]	[0.028]	[0.025]
momMaxEdu_Uni_Miss	0.059	0.058	0.055	-0.013	-0.019	-0.015	0.056**	0.053*	-0.011	-0.011
	[0.037]	[0.036]	[0.036]	[0.068]	[0.063]	[0.069]	[0.024]	[0.028]	[0.070]	[0.061]
dadMaxEdu_Uni_Miss	0.026	0.030	0.026	0.034	0.048***	0.033	0.045**	0.057***	0.014	0.034**
	[0.029]	[0.033]	[0.033]	[0.022]	[0.015]	[0.022]	[0.020]	[0.019]	[0.025]	[0.017]
HighInc_F	0.004	0.006	-0.000	0.001	-0.009	-0.000	0.002	-0.002	-0.002	0.013
	[0.039]	[0.041]	[0.041]	[0.025]	[0.027]	[0.025]	[0.026]	[0.028]	[0.029]	[0.026]
HighInc_Miss	0.059***	0.061***	0.053**	0.021	0.017	0.019	0.034*	0.024	0.033	0.035*
	[0.021]	[0.023]	[0.023]	[0.019]	[0.017]	[0.019]	[0.017]	[0.022]	[0.022]	[0.020]
houseOwn_F	-0.019	-0.019	-0.021	0.011	0.006	0.013	-0.004	-0.014	0.016	0.000
	[0.025]	[0.024]	[0.023]	[0.021]	[0.019]	[0.022]	[0.024]	[0.022]	[0.022]	[0.018]
distCenter	0.000	0.000	0.003	-0.000	-0.002	-0.001	0.001	-0.001	-0.001	0.000
	[0.006]	[0.006]	[0.006]	[0.004]	[0.005]	[0.004]	[0.004]	[0.005]	[0.005]	[0.004]
cgRelig_F	0.028	0.019	0.020	0.016	0.008	0.016	0.042	0.051	0.000	-0.003
	[0.035]	[0.048]	[0.050]	[0.025]	[0.022]	[0.025]	[0.030]	[0.033]	[0.026]	[0.024]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.009	-0.006	-0.007	0.009	0.003	0.011	0.005	-0.002	0.002	-0.011
	[0.024]	[0.023]	[0.022]	[0.018]	[0.018]	[0.018]	[0.017]	[0.019]	[0.020]	[0.019]
cgRelig_Miss	0.026	0.034		-0.009		-0.007	0.054		-0.011	
	[0.041]	[0.055]		[0.045]		[0.045]	[0.037]		[0.045]	
Parma							-0.010			
							[0.020]			
Reggio								0.003		0.016
								[0.028]		[0.025]
materna_Municipal								-0.023		-0.001
								[0.032]		[0.027]
Padova									-0.032	
									[0.021]	
Constant	1.430	1.501	1.175	1.206**	0.902**	1.185**	1.440**	1.159**	0.923	0.984**
	[0.908]	[1.050]	[1.098]	[0.518]	[0.453]	[0.493]	[0.574]	[0.585]	[0.574]	[0.480]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.027	0.021	0.043	0.009	0.013	0.009	0.027	0.043	0.016	0.015
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.96	.96	.96	.96	.96	.96	.96	.96	.96	.96
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
