	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.008	-0.396	0.061	-0.005	0.017	0.021	0.024	0.168*	0.019	0.035
	[0.051]	[0.409]	[0.158]	[0.026]	[0.031]	[0.030]	[0.036]	[0.094]	[0.038]	[0.067]
asilo_Municipal								-0.104		0.019
								[0.072]		[0.043]
nido	0.026	0.359	0.024	-0.016	-0.038	-0.048	0.000	0.041	-0.002	-0.059
	[0.057]	[0.344]	[0.059]	[0.026]	[0.034]	[0.031]	[0.029]	[0.075]	[0.034]	[0.047]
unobs			-0.141							
			[0.224]							
unobs2			0.050							
			[0.086]							
unobs3			0.264							
			[0.286]							
Age	0.005	-0.003	0.005	0.053*	0.031	0.048	0.032	0.010	0.029	0.028
	[0.041]	[0.049]	[0.042]	[0.029]	[0.029]	[0.030]	[0.032]	[0.031]	[0.031]	[0.036]
Male	0.044	0.047	0.045	0.007	0.005	-0.007	0.014	0.006	0.023	0.030
	[0.027]	[0.031]	[0.031]	[0.020]	[0.023]	[0.023]	[0.021]	[0.023]	[0.022]	[0.027]
poorBHealth	0.015	0.029	0.019	0.014	-0.008	0.057	-0.012	-0.038	0.036	0.037
	[0.051]	[0.055]	[0.055]	[0.034]	[0.032]	[0.058]	[0.032]	[0.025]	[0.043]	[0.054]
oldsibs	0.041	-0.005	0.033	0.044	0.167	0.035	0.066	0.192*	0.026	0.106
	[0.072]	[0.080]	[0.064]	[0.066]	[0.105]	[0.058]	[0.063]	[0.106]	[0.053]	[0.109]
momMaxEdu_Uni_F	-0.008	-0.003	-0.002	0.005	0.020	0.019	-0.004	0.011	0.003	0.001
	[0.032]	[0.040]	[0.038]	[0.021]	[0.025]	[0.021]	[0.021]	[0.026]	[0.025]	[0.028]
dadMaxEdu_Uni_F	-0.043	-0.091	-0.043	-0.014	0.017	0.008	-0.027	0.005	-0.028	-0.005
	[0.029]	[0.057]	[0.029]	[0.021]	[0.028]	[0.021]	[0.022]	[0.026]	[0.023]	[0.030]
momMaxEdu_Uni_Miss	-0.059	-0.054	-0.073	-0.066***	-0.071**	-0.059**	-0.066***	-0.052	-0.064**	-0.076**
	[0.037]	[0.036]	[0.046]	[0.022]	[0.031]	[0.027]	[0.022]	[0.033]	[0.025]	[0.034]
dadMaxEdu_Uni_Miss	-0.035	-0.009	-0.035	-0.006	-0.038	0.012	-0.043	-0.099*	-0.007	0.006
	[0.047]	[0.055]	[0.049]	[0.037]	[0.044]	[0.038]	[0.036]	[0.051]	[0.040]	[0.047]
HighInc_F	-0.001	-0.015	-0.003	0.006	-0.002	0.038	0.011	0.010	0.014	0.016
	[0.036]	[0.046]	[0.037]	[0.029]	[0.034]	[0.035]	[0.029]	[0.031]	[0.032]	[0.036]
HighInc_Miss	0.028	0.009	0.023	-0.006	-0.017	0.008	0.021	0.021	-0.003	0.002
	[0.036]	[0.039]	[0.043]	[0.026]	[0.039]	[0.031]	[0.028]	[0.031]	[0.027]	[0.031]
houseOwn_F	0.031	0.012	0.027	-0.032	-0.059*	-0.037	-0.019	-0.046	0.007	0.018
	[0.027]	[0.031]	[0.028]	[0.024]	[0.035]	[0.023]	[0.024]	[0.033]	[0.023]	[0.027]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.001	-0.001	0.000	0.001	-0.003	-0.000	0.001	-0.006	0.005	0.006
	[0.006]	[0.006]	[0.006]	[0.005]	[0.004]	[0.004]	[0.004]	[0.004]	[0.006]	[0.007]
cgRelig_F	-0.006	0.001	-0.007	0.018	0.038*	0.026	0.011	0.017	-0.003	0.017
	[0.045]	[0.050]	[0.048]	[0.026]	[0.022]	[0.020]	[0.029]	[0.023]	[0.032]	[0.032]
cgRelig_Miss	-0.085	-0.154	-0.079	0.111	0.197	0.176	0.150	0.240	0.073	0.098
	[0.062]	[0.170]	[0.060]	[0.090]	[0.133]	[0.135]	[0.132]	[0.165]	[0.089]	[0.124]
CAPI	0.027	0.033	0.027	0.006	0.048*	0.014	0.028	0.064**	-0.012	-0.008
	[0.031]	[0.037]	[0.032]	[0.020]	[0.027]	[0.021]	[0.021]	[0.026]	[0.022]	[0.027]
houseOwn_Miss	0.923***	0.834***		-0.091***		-0.082***	0.349		0.545**	
	[0.072]	[0.161]		[0.028]		[0.031]	[0.232]		[0.261]	
Parma							0.031			
							[0.029]			
Reggio								-0.067		-0.057
								[0.045]		[0.039]
nidoXreggio								-0.072		0.040
								[0.099]		[0.057]
Padova									0.026	
									[0.028]	
Constant	-0.038	0.040	-0.068	-0.273	-0.134	-0.252	-0.185	0.029	-0.168	-0.150
	[0.304]	[0.365]	[0.336]	[0.197]	[0.199]	[0.208]	[0.227]	[0.223]	[0.227]	[0.249]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.122	-0.086	0.041	0.015	0.069	0.037	0.042	0.120	0.042	0.038
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.07	.07	.07	.07	.07	.07	.07	.07	.07	.07
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
