	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.069	0.132	0.148	-0.028	-0.043	-0.030	-0.075	-0.093	-0.072	-0.078
	[0.052]	[0.275]	[0.342]	[0.038]	[0.039]	[0.038]	[0.051]	[0.082]	[0.051]	[0.081]
unobsM			-0.252							
			[0.476]							
unobsM2			-0.192							
			[0.179]							
unobsM3			0.037							
			[0.556]							
Age	-0.053	-0.037	-0.037	-0.038	-0.003	-0.037	-0.040	-0.042	-0.035	0.008
	[0.081]	[0.084]	[0.083]	[0.048]	[0.059]	[0.048]	[0.057]	[0.068]	[0.052]	[0.061]
Male	-0.020	-0.016	-0.016	0.043	0.043	0.047	0.040	0.049	0.004	-0.006
	[0.051]	[0.052]	[0.050]	[0.032]	[0.041]	[0.032]	[0.037]	[0.044]	[0.035]	[0.042]
poorBHealth	-0.044	-0.024	-0.030	0.009	-0.008	0.011	-0.020	-0.044	-0.016	0.003
	[0.076]	[0.086]	[0.083]	[0.054]	[0.058]	[0.055]	[0.058]	[0.058]	[0.057]	[0.068]
oldsibs	0.091*	0.092	0.086	0.035	0.050	0.036	0.097**	0.105**	0.023	0.040
	[0.054]	[0.056]	[0.054]	[0.034]	[0.041]	[0.034]	[0.040]	[0.045]	[0.037]	[0.044]
momMaxEdu_Uni_F	-0.095	-0.074	-0.076	-0.037	-0.006	-0.027	-0.070	-0.022	-0.017	0.001
	[0.058]	[0.069]	[0.067]	[0.039]	[0.047]	[0.040]	[0.044]	[0.054]	[0.042]	[0.046]
dadMaxEdu_Uni_F	0.008	-0.003	0.007	-0.002	-0.028	-0.003	0.006	-0.023	-0.029	-0.041
	[0.068]	[0.072]	[0.072]	[0.043]	[0.053]	[0.043]	[0.049]	[0.058]	[0.046]	[0.050]
momMaxEdu_Uni_Miss	0.088	0.092	0.094	0.109	0.198	0.130	0.127	0.185	0.116	0.193
	[0.192]	[0.204]	[0.194]	[0.129]	[0.158]	[0.132]	[0.173]	[0.193]	[0.122]	[0.145]
dadMaxEdu_Uni_Miss	0.291***	0.269***	0.269***	0.213***	0.152**	0.207***	0.278***	0.218***	0.189***	0.131
	[0.088]	[0.096]	[0.095]	[0.057]	[0.074]	[0.057]	[0.063]	[0.075]	[0.064]	[0.083]
HighInc_F	-0.088	-0.102	-0.105	-0.021	-0.020	-0.026	-0.046	-0.052	-0.064	-0.067
	[0.060]	[0.067]	[0.066]	[0.042]	[0.051]	[0.043]	[0.045]	[0.052]	[0.046]	[0.050]
HighInc_Miss	-0.090	-0.100	-0.105	-0.007	-0.048	-0.008	-0.035	-0.064	-0.021	-0.045
	[0.063]	[0.069]	[0.068]	[0.038]	[0.047]	[0.039]	[0.046]	[0.052]	[0.042]	[0.050]
houseOwn_F	0.106*	0.102	0.094	0.057	0.015	0.051	-0.001	-0.039	0.113***	0.073
	[0.064]	[0.070]	[0.064]	[0.040]	[0.051]	[0.040]	[0.052]	[0.060]	[0.040]	[0.053]
distCenter	0.004	0.005	0.005	-0.002	-0.005	-0.004	-0.003	-0.002	0.002	0.000
	[0.011]	[0.011]	[0.011]	[0.009]	[0.011]	[0.009]	[0.008]	[0.010]	[0.009]	[0.010]
cgRelig_F	0.056	0.109	0.121	-0.033	-0.040	-0.036	0.023	0.019	-0.021	-0.025
	[0.060]	[0.094]	[0.094]	[0.045]	[0.056]	[0.046]	[0.049]	[0.063]	[0.049]	[0.057]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.007	-0.029	-0.027	0.044	0.042	0.047	0.045	0.031	-0.005	-0.016
	[0.051]	[0.061]	[0.061]	[0.033]	[0.040]	[0.033]	[0.037]	[0.042]	[0.036]	[0.043]
cgRelig_Miss	0.210	0.157		-0.101		-0.112	0.061		-0.038	
	[0.265]	[0.280]		[0.079]		[0.078]	[0.213]		[0.084]	
Parma							-0.018			
							[0.047]			
Reggio								0.005		0.050
								[0.060]		[0.059]
materna_Municipal								0.023		0.004
								[0.063]		[0.063]
Padova									-0.072	
									[0.047]	
Constant	1.126	0.690	0.725	0.860	0.267	0.849	0.957	1.004	0.854	0.045
	[1.514]	[1.621]	[1.647]	[0.900]	[1.122]	[0.897]	[1.073]	[1.281]	[0.985]	[1.145]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.097	0.047	0.103	0.045	0.040	0.045	0.082	0.077	0.049	0.040
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.24	.24	.24	.24	.24	.24	.24	.24	.24	.24
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
