	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.038*	0.026	0.113	-0.007	-0.010	-0.012	0.033	0.048	0.031	0.046
	[0.022]	[0.101]	[0.092]	[0.013]	[0.015]	[0.018]	[0.022]	[0.031]	[0.022]	[0.033]
unobs			-0.215							
			[0.169]							
unobs2			-0.103							
			[0.099]							
unobs3			0.437							
			[0.379]							
Age	-0.081**	-0.081**	-0.080**	-0.017	-0.004	0.015	-0.041	-0.040*	-0.027	-0.007
	[0.039]	[0.039]	[0.038]	[0.019]	[0.006]	[0.013]	[0.026]	[0.023]	[0.021]	[0.015]
Male	0.023	0.023	0.030	-0.019**	-0.005	-0.003	-0.000	0.000	0.005	0.007
	[0.024]	[0.023]	[0.024]	[0.009]	[0.003]	[0.004]	[0.014]	[0.010]	[0.013]	[0.010]
poorBHealth	-0.024	-0.023	-0.021	0.005	0.009	-0.001	0.001	0.002	-0.014	-0.004
	[0.045]	[0.044]	[0.045]	[0.015]	[0.006]	[0.005]	[0.024]	[0.024]	[0.025]	[0.020]
oldsibs	0.055*	0.052	0.035	-0.024	-0.066	-0.426*	0.042***	0.047***	-0.008	-0.054
	[0.029]	[0.035]	[0.042]	[0.039]	[0.082]	[0.247]	[0.015]	[0.015]	[0.040]	[0.076]
momMaxEdu_Uni_F	0.035	0.035	0.027	0.006	0.007	-0.015	0.011	0.018	0.018	0.017
	[0.033]	[0.034]	[0.033]	[0.016]	[0.007]	[0.010]	[0.020]	[0.016]	[0.020]	[0.014]
dadMaxEdu_Uni_F	-0.054	-0.055	-0.055	-0.019	0.001	-0.005	-0.021	-0.008	-0.026	-0.010
	[0.039]	[0.039]	[0.040]	[0.017]	[0.008]	[0.006]	[0.023]	[0.016]	[0.023]	[0.014]
momMaxEdu_Uni_Miss	0.060	0.058	0.035	0.023	0.022*	0.006	0.044**	0.042**	0.043*	0.034
	[0.038]	[0.038]	[0.050]	[0.017]	[0.011]	[0.016]	[0.020]	[0.020]	[0.022]	[0.024]
dadMaxEdu_Uni_Miss	-0.007	-0.006	0.004	-0.004	0.004	-0.005	-0.001	0.013	0.002	0.010
	[0.035]	[0.037]	[0.045]	[0.014]	[0.004]	[0.004]	[0.021]	[0.013]	[0.017]	[0.008]
HighInc_F	-0.037	-0.036	-0.034	-0.028	-0.006	-0.016	-0.031	-0.012	-0.031	-0.029
	[0.041]	[0.043]	[0.043]	[0.021]	[0.006]	[0.012]	[0.025]	[0.019]	[0.028]	[0.031]
HighInc_Miss	0.066***	0.066***	0.067***	0.004	0.001	-0.004	0.027	0.019	0.030**	0.025**
	[0.023]	[0.024]	[0.023]	[0.012]	[0.003]	[0.006]	[0.018]	[0.013]	[0.012]	[0.012]
houseOwn_F	0.016	0.015	0.012	0.026**	0.001	0.006	0.017	0.002	0.015	0.005
	[0.023]	[0.029]	[0.029]	[0.012]	[0.003]	[0.007]	[0.016]	[0.011]	[0.014]	[0.006]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.007	-0.007	-0.008	0.001	0.001	-0.000	-0.003	0.001	-0.004	-0.001
	[0.006]	[0.006]	[0.006]	[0.003]	[0.001]	[0.001]	[0.004]	[0.002]	[0.005]	[0.002]
cgRelig_F	0.076	0.074	0.085*	0.017	-0.008	-0.007	0.024	-0.012	0.045*	0.027
	[0.047]	[0.049]	[0.050]	[0.019]	[0.009]	[0.011]	[0.026]	[0.022]	[0.026]	[0.023]
cgRelig_Miss	0.031	0.031	0.010	0.025	0.003	0.002	0.024	-0.003	0.028	0.000
	[0.049]	[0.050]	[0.051]	[0.017]	[0.004]	[0.006]	[0.027]	[0.019]	[0.026]	[0.014]
CAPI	-0.021	-0.019	-0.018	-0.008	0.001	-0.003	-0.019	0.002	-0.010	0.002
	[0.021]	[0.024]	[0.026]	[0.010]	[0.005]	[0.005]	[0.014]	[0.013]	[0.012]	[0.016]
houseOwn_Miss	0.036	0.031		0.034*		0.008	0.025		0.047*	
	[0.037]	[0.067]		[0.019]		[0.016]	[0.021]		[0.025]	
Parma							0.030			
							[0.022]			
Reggio								-0.058*		-0.071**
								[0.034]		[0.032]
materna_Municipal								0.001		0.005
								[0.013]		[0.011]
Padova									0.043**	
									[0.019]	
Constant	1.428***	1.434***	1.399***	1.087***	1.012***	0.915***	1.203***	1.250***	1.097***	1.013***
	[0.257]	[0.266]	[0.265]	[0.124]	[0.047]	[0.074]	[0.168]	[0.165]	[0.144]	[0.113]
										
Observations	309	309	307	731	728	728	597	593	586	583
R-squared	0.081	0.080	0.099	0.032	0.027	0.246	0.032	0.057	0.053	0.078
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.96	.96	.96	.96	.96	.96	.96	.96	.96	.96
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
