	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.031	-0.712	-0.529***	0.007	0.037	-0.000	-0.026	-0.061	-0.003	-0.003
	[0.066]	[0.600]	[0.201]	[0.034]	[0.037]	[0.037]	[0.050]	[0.098]	[0.052]	[0.106]
asilo_Municipal								0.038		-0.014
								[0.053]		[0.058]
nido	-0.033	0.529	-0.011	-0.085***	-0.135***	-0.080*	-0.047	-0.093	-0.066*	-0.091
	[0.071]	[0.498]	[0.069]	[0.031]	[0.040]	[0.043]	[0.038]	[0.062]	[0.039]	[0.060]
unobs			0.727**							
			[0.300]							
unobs2			-0.233*							
			[0.137]							
unobs3			-0.623							
			[0.421]							
Age	0.092	0.078	0.074	0.096**	0.102	0.078	0.111**	0.138*	0.100**	0.070
	[0.064]	[0.076]	[0.063]	[0.042]	[0.068]	[0.055]	[0.044]	[0.072]	[0.047]	[0.050]
Male	0.061	0.066	0.094**	0.040	0.050*	0.071**	0.033	0.038	0.056*	0.074**
	[0.043]	[0.051]	[0.045]	[0.026]	[0.027]	[0.028]	[0.029]	[0.032]	[0.031]	[0.032]
poorBHealth	-0.009	0.014	0.057	-0.042	0.023	0.032	-0.018	0.062	-0.024	-0.009
	[0.068]	[0.071]	[0.073]	[0.040]	[0.065]	[0.070]	[0.046]	[0.074]	[0.052]	[0.064]
oldsibs	0.009	-0.068	-0.037	0.008	-0.025	-0.034	-0.006	-0.056	0.004	-0.042
	[0.065]	[0.092]	[0.069]	[0.052]	[0.031]	[0.042]	[0.055]	[0.034]	[0.045]	[0.029]
momMaxEdu_Uni_F	0.025	0.033	0.047	0.015	0.042	0.056	0.010	0.020	0.019	0.036
	[0.056]	[0.069]	[0.057]	[0.029]	[0.034]	[0.040]	[0.033]	[0.035]	[0.038]	[0.041]
dadMaxEdu_Uni_F	0.010	-0.071	-0.017	-0.024	-0.004	-0.035	-0.007	0.032	0.012	0.026
	[0.055]	[0.103]	[0.056]	[0.032]	[0.043]	[0.039]	[0.034]	[0.044]	[0.039]	[0.045]
momMaxEdu_Uni_Miss	0.037	0.045	0.019	0.257	0.210	0.241	0.023	0.057	0.161	0.109
	[0.203]	[0.219]	[0.205]	[0.232]	[0.286]	[0.241]	[0.150]	[0.171]	[0.215]	[0.216]
dadMaxEdu_Uni_Miss	0.047	0.091	0.073	0.042	-0.051	-0.007	0.032	0.015	0.040	0.025
	[0.092]	[0.103]	[0.092]	[0.048]	[0.057]	[0.049]	[0.060]	[0.058]	[0.058]	[0.055]
HighInc_F	-0.020	-0.042	-0.019	0.032	0.024	0.038	-0.018	-0.034	0.011	-0.022
	[0.053]	[0.067]	[0.054]	[0.035]	[0.050]	[0.036]	[0.038]	[0.055]	[0.040]	[0.045]
HighInc_Miss	0.183***	0.150**	0.111	0.113***	0.182***	0.111***	0.100**	0.082*	0.210***	0.186***
	[0.060]	[0.068]	[0.070]	[0.036]	[0.048]	[0.040]	[0.040]	[0.049]	[0.041]	[0.047]
houseOwn_F	-0.030	-0.061	-0.048	-0.020	-0.031	-0.057	0.005	0.011	-0.046	-0.076**
	[0.046]	[0.061]	[0.048]	[0.028]	[0.039]	[0.039]	[0.031]	[0.034]	[0.033]	[0.035]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.001	-0.002	-0.003	0.004	0.007	0.010	0.000	0.003	0.001	0.004
	[0.008]	[0.010]	[0.009]	[0.006]	[0.006]	[0.009]	[0.006]	[0.006]	[0.007]	[0.007]
cgRelig_F	-0.012	0.000	-0.027	0.027	0.000	0.064	-0.004	-0.017	0.025	0.067
	[0.061]	[0.070]	[0.059]	[0.035]	[0.057]	[0.041]	[0.043]	[0.058]	[0.040]	[0.041]
cgRelig_Miss	-0.031	-0.146	-0.122	0.479***	0.284**	0.389***	0.011	-0.063	0.481***	0.562***
	[0.161]	[0.261]	[0.106]	[0.104]	[0.127]	[0.132]	[0.118]	[0.077]	[0.109]	[0.093]
CAPI	-0.027	-0.018	-0.017	0.024	0.015	0.017	-0.023	-0.034	0.019	0.010
	[0.047]	[0.053]	[0.046]	[0.027]	[0.035]	[0.036]	[0.030]	[0.035]	[0.032]	[0.034]
houseOwn_Miss	0.086	-0.063		0.453		0.570**	0.497*		-0.237	
	[0.395]	[0.346]		[0.314]		[0.275]	[0.271]		[0.165]	
Parma							-0.055			
							[0.042]			
Reggio								0.040		-0.043
								[0.059]		[0.054]
nidoXreggio								0.067		0.059
								[0.100]		[0.109]
Padova									0.006	
									[0.043]	
Constant	-0.459	-0.328	-0.024	-0.537*	-0.562	-0.469	-0.568*	-0.821*	-0.576*	-0.378
	[0.448]	[0.532]	[0.450]	[0.277]	[0.428]	[0.367]	[0.300]	[0.461]	[0.325]	[0.329]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.103	-0.154	0.136	0.116	0.162	0.087	0.073	0.067	0.165	0.271
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.18	.18	.18	.18	.18	.18	.18	.18	.18	.18
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
