	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.011	-0.302	-0.211	-0.046	-0.023	-0.042	-0.011	-0.045	-0.029	-0.044
	[0.047]	[0.243]	[0.319]	[0.037]	[0.038]	[0.037]	[0.047]	[0.070]	[0.047]	[0.075]
unobsM			0.090							
			[0.460]							
unobsM2			0.130							
			[0.197]							
unobsM3			0.421							
			[0.574]							
Age	0.062	0.040	0.045	0.043	0.053	0.045	0.021	0.052	0.062	0.102*
	[0.074]	[0.081]	[0.076]	[0.045]	[0.047]	[0.046]	[0.053]	[0.053]	[0.049]	[0.054]
Male	0.610***	0.604***	0.608***	0.561***	0.599***	0.560***	0.602***	0.633***	0.575***	0.606***
	[0.047]	[0.050]	[0.049]	[0.030]	[0.034]	[0.030]	[0.034]	[0.035]	[0.033]	[0.036]
poorBHealth	0.160*	0.130	0.131	-0.008	0.031	-0.017	0.114*	0.138**	-0.006	0.028
	[0.089]	[0.098]	[0.090]	[0.056]	[0.055]	[0.055]	[0.062]	[0.063]	[0.061]	[0.064]
oldsibs	-0.072	-0.074	-0.075	0.017	0.034	0.022	-0.005	-0.002	-0.046	-0.048
	[0.052]	[0.056]	[0.051]	[0.033]	[0.036]	[0.034]	[0.038]	[0.040]	[0.036]	[0.040]
momMaxEdu_Uni_F	0.035	0.005	0.002	-0.057	-0.024	-0.060	0.011	0.006	-0.023	0.008
	[0.057]	[0.063]	[0.061]	[0.037]	[0.042]	[0.037]	[0.041]	[0.044]	[0.041]	[0.045]
dadMaxEdu_Uni_F	0.046	0.061	0.054	0.061	0.056	0.063	0.047	0.018	0.060	0.071
	[0.061]	[0.066]	[0.062]	[0.042]	[0.049]	[0.042]	[0.048]	[0.053]	[0.044]	[0.049]
momMaxEdu_Uni_Miss	0.089	0.082	0.079	0.022	-0.011	0.006	0.093	0.034	-0.044	-0.116
	[0.181]	[0.203]	[0.175]	[0.102]	[0.095]	[0.100]	[0.142]	[0.105]	[0.107]	[0.095]
dadMaxEdu_Uni_Miss	-0.019	0.013	0.017	0.070	0.002	0.077*	0.025	-0.003	0.055	0.025
	[0.070]	[0.077]	[0.073]	[0.044]	[0.045]	[0.045]	[0.049]	[0.046]	[0.052]	[0.049]
HighInc_F	-0.071	-0.051	-0.047	0.036	0.039	0.041	-0.040	-0.016	-0.015	-0.008
	[0.057]	[0.065]	[0.062]	[0.043]	[0.047]	[0.044]	[0.044]	[0.047]	[0.045]	[0.048]
HighInc_Miss	0.028	0.044	0.043	0.105***	0.135***	0.113***	0.057	0.066	0.069*	0.093**
	[0.067]	[0.072]	[0.069]	[0.038]	[0.041]	[0.038]	[0.046]	[0.047]	[0.042]	[0.043]
houseOwn_F	-0.032	-0.027	-0.027	-0.024	-0.039	-0.024	0.018	0.046	-0.045	-0.073
	[0.078]	[0.081]	[0.075]	[0.042]	[0.052]	[0.043]	[0.052]	[0.057]	[0.048]	[0.057]
distCenter	0.010	0.009	0.010	0.008	0.012	0.007	0.005	0.006	0.013	0.018**
	[0.010]	[0.011]	[0.011]	[0.008]	[0.009]	[0.008]	[0.008]	[0.008]	[0.008]	[0.009]
cgRelig_F	-0.019	-0.096	-0.114	0.012	0.011	0.021	0.027	0.059	-0.020	-0.024
	[0.066]	[0.089]	[0.088]	[0.042]	[0.048]	[0.042]	[0.048]	[0.049]	[0.046]	[0.049]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.056	-0.026	-0.018	0.014	0.045	0.018	-0.053	-0.029	0.021	0.077**
	[0.048]	[0.059]	[0.056]	[0.031]	[0.034]	[0.032]	[0.036]	[0.036]	[0.034]	[0.037]
cgRelig_Miss	0.338*	0.414**		0.306***		0.316***	0.307**		0.261***	
	[0.179]	[0.191]		[0.077]		[0.078]	[0.127]		[0.082]	
Parma							-0.008			
							[0.043]			
Reggio								0.036		-0.063
								[0.051]		[0.050]
materna_Municipal								0.050		0.051
								[0.052]		[0.057]
Padova									0.052	
									[0.043]	
Constant	-0.886	-0.256	-0.431	-0.585	-0.819	-0.638	-0.207	-0.909	-0.901	-1.638
	[1.389]	[1.570]	[1.474]	[0.847]	[0.875]	[0.855]	[1.001]	[1.002]	[0.920]	[1.018]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.400	0.323	0.403	0.357	0.379	0.357	0.368	0.399	0.382	0.410
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.49	.49	.49	.49	.49	.49	.49	.49	.49	.49
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
