	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.052	0.049	-0.310**	0.001	0.167***	-0.001	0.045	-0.047	-0.008	0.049
	[0.035]	[0.502]	[0.134]	[0.026]	[0.064]	[0.026]	[0.034]	[0.151]	[0.028]	[0.087]
asilo_Municipal								0.101		-0.087
								[0.139]		[0.082]
nido	0.064*	-0.029	0.073*	-0.036*	-0.161***	-0.029	-0.044*	-0.291**	0.013	0.029
	[0.036]	[0.477]	[0.041]	[0.018]	[0.055]	[0.021]	[0.024]	[0.136]	[0.017]	[0.037]
unobsA			0.331*							
			[0.180]							
unobsA2			0.084							
			[0.088]							
unobsA3			-0.132							
			[0.201]							
Age	0.042	0.048	0.043	-0.009	0.067	-0.028	0.004	0.118**	0.010	-0.013
	[0.038]	[0.046]	[0.039]	[0.020]	[0.049]	[0.023]	[0.025]	[0.058]	[0.020]	[0.027]
Male	0.032	0.038	0.040	-0.030**	-0.048	-0.036**	-0.008	0.001	-0.000	-0.027
	[0.026]	[0.027]	[0.027]	[0.015]	[0.031]	[0.017]	[0.019]	[0.028]	[0.016]	[0.032]
poorBHealth	0.071***	0.069***	0.081***	0.051***	0.165***	0.051***	0.067***	0.192***	0.042***	0.051***
	[0.023]	[0.024]	[0.027]	[0.012]	[0.053]	[0.013]	[0.015]	[0.057]	[0.012]	[0.019]
oldsibs	0.025	0.031	0.025	0.008	0.032	0.004	0.011	0.000	0.011	-0.002
	[0.027]	[0.032]	[0.029]	[0.016]	[0.033]	[0.018]	[0.021]	[0.036]	[0.016]	[0.018]
momMaxEdu_Uni_F	0.017	0.022	0.019	0.002	0.085**	-0.003	0.009	0.110**	0.006	0.021
	[0.037]	[0.041]	[0.038]	[0.018]	[0.037]	[0.019]	[0.027]	[0.048]	[0.020]	[0.033]
dadMaxEdu_Uni_F	-0.082*	-0.091*	-0.088*	-0.018	-0.072*	-0.024	-0.039	-0.080*	-0.039*	-0.021
	[0.049]	[0.054]	[0.052]	[0.020]	[0.038]	[0.023]	[0.031]	[0.045]	[0.023]	[0.026]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.040	-0.051	-0.011	-0.022	-0.277**	-0.015	-0.040	-0.324***	-0.020	-0.004
	[0.045]	[0.063]	[0.052]	[0.028]	[0.118]	[0.027]	[0.035]	[0.107]	[0.026]	[0.036]
HighInc_F	-0.005	-0.013	0.029	0.002	0.020	-0.001	-0.001	0.010	-0.014	-0.014
	[0.038]	[0.049]	[0.044]	[0.024]	[0.034]	[0.024]	[0.027]	[0.037]	[0.028]	[0.034]
HighInc_Miss	0.033	0.037	0.020	0.035**	0.097***	0.034**	0.043**	0.095***	0.031**	0.055*
	[0.027]	[0.031]	[0.030]	[0.015]	[0.033]	[0.015]	[0.020]	[0.036]	[0.014]	[0.032]
houseOwn_F	0.001	0.012	0.027	-0.004	-0.037	-0.003	-0.004	-0.041	0.001	-0.021
	[0.035]	[0.047]	[0.040]	[0.018]	[0.064]	[0.018]	[0.026]	[0.076]	[0.017]	[0.020]
distCenter	0.008	0.009	0.003	0.007*	-0.028**	0.007*	0.005	-0.021*	0.006	0.001
	[0.006]	[0.006]	[0.005]	[0.004]	[0.014]	[0.004]	[0.004]	[0.012]	[0.004]	[0.007]
cgRelig_F	0.017	0.026	-0.008	0.004	-0.025	0.016	0.031	-0.008	0.011	0.010
	[0.038]	[0.048]	[0.045]	[0.023]	[0.037]	[0.028]	[0.031]	[0.040]	[0.026]	[0.040]
cgRelig_Miss	0.047	0.046	0.085*	0.015	-0.028	0.029	0.062*	-0.030	0.020	0.004
	[0.038]	[0.038]	[0.044]	[0.026]	[0.040]	[0.028]	[0.032]	[0.060]	[0.024]	[0.037]
CAPI	-0.017	-0.015	-0.011	-0.015	0.060	-0.014	-0.018	0.049	-0.007	0.015
	[0.026]	[0.029]	[0.027]	[0.015]	[0.038]	[0.017]	[0.020]	[0.035]	[0.015]	[0.024]
momMaxEdu_Uni_Miss	0.116***			0.045**		0.044**	0.086***		0.050**	
	[0.039]			[0.018]		[0.021]	[0.028]		[0.020]	
Parma							0.030			
							[0.022]			
Reggio								-0.036		-0.036
								[0.043]		[0.036]
nidoXreggio								0.258*		0.044
								[0.139]		[0.053]
Padova									0.031	
									[0.019]	
Constant	0.106	-0.041	0.180	1.139***	-0.182	1.484***	0.837*	-1.156	0.731*	1.197**
	[0.710]	[0.878]	[0.739]	[0.373]	[0.886]	[0.416]	[0.474]	[1.057]	[0.385]	[0.504]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.051	0.050	0.088	0.045	0.400	0.051	0.037	0.427	0.041	0.061
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
