	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.036	0.789	0.342	0.003	0.027	-0.350***	-0.010	-0.176	0.053	0.156
	[0.093]	[0.771]	[0.237]	[0.047]	[0.054]	[0.113]	[0.066]	[0.157]	[0.066]	[0.145]
asilo_Municipal								0.183*		-0.154
								[0.099]		[0.096]
nido	-0.073	-0.698	-0.095	-0.078*	-0.135**	-0.116*	-0.049	-0.264***	-0.115**	-0.053
	[0.097]	[0.644]	[0.098]	[0.040]	[0.054]	[0.066]	[0.048]	[0.100]	[0.051]	[0.082]
unobs			-0.246							
			[0.348]							
unobs2			0.043							
			[0.151]							
unobs3			-0.235							
			[0.475]							
Age	-0.044	-0.033	-0.032	-0.112**	-0.114	0.085	-0.091	-0.011	-0.044	-0.107
	[0.080]	[0.091]	[0.080]	[0.052]	[0.076]	[0.109]	[0.058]	[0.068]	[0.056]	[0.077]
Male	-0.070	-0.075	-0.104*	-0.041	-0.041	-0.228	-0.037	0.031	-0.067*	-0.112**
	[0.055]	[0.061]	[0.056]	[0.034]	[0.042]	[0.142]	[0.038]	[0.043]	[0.039]	[0.045]
poorBHealth	-0.153	-0.179	-0.225**	-0.086	-0.009	-0.202*	-0.125*	0.030	-0.054	-0.149*
	[0.093]	[0.113]	[0.097]	[0.058]	[0.072]	[0.103]	[0.065]	[0.062]	[0.068]	[0.076]
oldsibs	-0.078	0.075	-0.023	0.060	0.076	0.619**	-0.089	-0.192	0.075	0.229***
	[0.142]	[0.222]	[0.135]	[0.089]	[0.126]	[0.265]	[0.113]	[0.138]	[0.092]	[0.089]
momMaxEdu_Uni_F	0.031	0.023	-0.007	-0.030	-0.078	-0.507***	-0.005	-0.083*	0.003	0.016
	[0.067]	[0.077]	[0.070]	[0.040]	[0.051]	[0.083]	[0.045]	[0.049]	[0.047]	[0.056]
dadMaxEdu_Uni_F	-0.044	0.045	-0.021	0.008	0.025	0.278***	0.010	0.017	-0.011	-0.066
	[0.071]	[0.123]	[0.071]	[0.042]	[0.064]	[0.064]	[0.047]	[0.057]	[0.049]	[0.058]
momMaxEdu_Uni_Miss	-0.190	-0.197	-0.135	-0.089	-0.043	-0.270	-0.196	-0.232	-0.088	-0.092
	[0.191]	[0.180]	[0.203]	[0.225]	[0.239]	[0.218]	[0.177]	[0.222]	[0.172]	[0.179]
dadMaxEdu_Uni_Miss	0.105	0.055	0.083	0.054	0.085	-0.388***	0.122*	0.171***	0.028	0.015
	[0.092]	[0.106]	[0.092]	[0.061]	[0.090]	[0.138]	[0.066]	[0.056]	[0.067]	[0.081]
HighInc_F	0.019	0.046	0.021	0.036	-0.003	0.336***	0.016	-0.033	0.047	0.042
	[0.073]	[0.088]	[0.073]	[0.047]	[0.070]	[0.034]	[0.050]	[0.066]	[0.055]	[0.065]
HighInc_Miss	0.112*	0.151*	0.199**	-0.042	-0.045	0.044	-0.023	-0.038	0.046	0.092*
	[0.067]	[0.082]	[0.084]	[0.044]	[0.060]	[0.246]	[0.050]	[0.057]	[0.047]	[0.051]
houseOwn_F	0.167***	0.201***	0.196***	0.088**	0.184***	0.290***	0.108**	0.158***	0.124***	0.162***
	[0.056]	[0.068]	[0.057]	[0.038]	[0.056]	[0.075]	[0.042]	[0.049]	[0.040]	[0.050]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.005	-0.005	-0.007	0.007	-0.007	0.067***	-0.000	-0.008	-0.001	-0.014
	[0.011]	[0.012]	[0.011]	[0.008]	[0.014]	[0.017]	[0.008]	[0.012]	[0.010]	[0.012]
cgRelig_F	0.019	0.006	0.039	0.029	0.155*	0.368**	0.045	0.151	-0.004	0.019
	[0.073]	[0.082]	[0.073]	[0.051]	[0.083]	[0.143]	[0.057]	[0.099]	[0.054]	[0.064]
cgRelig_Miss	0.172*	0.246	0.086	0.089	0.051	0.253	0.117	0.017	0.034	-0.115
	[0.096]	[0.273]	[0.104]	[0.104]	[0.156]	[0.275]	[0.126]	[0.117]	[0.111]	[0.187]
CAPI	-0.067	-0.078	-0.077	-0.035	-0.172***	0.339***	-0.082**	-0.193***	-0.020	-0.024
	[0.055]	[0.063]	[0.055]	[0.034]	[0.054]	[0.057]	[0.038]	[0.050]	[0.038]	[0.054]
houseOwn_Miss	-0.670***	-0.658***		0.353***		0.130	0.003		-0.145	
	[0.091]	[0.099]		[0.045]		[0.309]	[0.269]		[0.358]	
Parma							-0.014			
							[0.053]			
Reggio								-0.025		-0.013
								[0.068]		[0.062]
nidoXreggio								0.175		-0.019
								[0.158]		[0.139]
Padova									0.021	
									[0.048]	
Constant	0.966*	0.852	0.714	1.447***	1.458***	-0.208	1.312***	0.759	0.985***	1.460***
	[0.545]	[0.641]	[0.587]	[0.349]	[0.503]	[0.689]	[0.395]	[0.469]	[0.380]	[0.502]
										
Observations	308	308	307	725	722	725	596	593	585	583
R-squared	0.085	-0.124	0.095	0.040	0.131	0.991	0.051	0.161	0.047	0.144
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.68	.68	.68	.68	.68	.68	.68	.68	.68	.68
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
