	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.006	0.028	-0.292*	0.029	0.029	0.029	0.005	-0.082	-0.000	0.047
	[0.029]	[0.129]	[0.166]	[0.024]	[0.024]	[0.024]	[0.029]	[0.050]	[0.029]	[0.051]
unobsM			0.531**							
			[0.233]							
unobsM2			-0.079							
			[0.104]							
unobsM3			-0.742***							
			[0.275]							
Age	-0.056	-0.054	-0.070*	0.003	-0.020	0.006	-0.021	-0.016	-0.016	-0.040
	[0.040]	[0.040]	[0.041]	[0.031]	[0.039]	[0.032]	[0.031]	[0.042]	[0.035]	[0.041]
Male	0.014	0.015	0.013	0.025	0.011	0.024	0.025	0.012	0.017	0.016
	[0.029]	[0.030]	[0.030]	[0.022]	[0.026]	[0.023]	[0.022]	[0.026]	[0.024]	[0.026]
poorBHealth	0.030	0.032	0.020	-0.034	-0.026	-0.041	0.008	-0.000	-0.006	0.019
	[0.038]	[0.041]	[0.041]	[0.040]	[0.042]	[0.042]	[0.036]	[0.042]	[0.040]	[0.038]
oldsibs	-0.032	-0.032	-0.027	0.009	0.012	0.009	-0.026	-0.020	0.012	0.012
	[0.031]	[0.031]	[0.031]	[0.023]	[0.025]	[0.023]	[0.024]	[0.026]	[0.024]	[0.026]
momMaxEdu_Uni_F	0.009	0.011	-0.007	0.004	-0.017	0.002	-0.014	-0.017	0.032	-0.004
	[0.034]	[0.037]	[0.036]	[0.028]	[0.030]	[0.029]	[0.029]	[0.031]	[0.027]	[0.030]
dadMaxEdu_Uni_F	0.054*	0.053	0.051	0.050*	0.069**	0.050*	0.062**	0.071**	0.022	0.043
	[0.032]	[0.032]	[0.032]	[0.028]	[0.030]	[0.030]	[0.028]	[0.029]	[0.030]	[0.030]
momMaxEdu_Uni_Miss	-0.064	-0.064	-0.061	-0.028	0.014	-0.029	-0.039	-0.022	-0.015	0.021
	[0.108]	[0.109]	[0.104]	[0.088]	[0.062]	[0.092]	[0.088]	[0.061]	[0.088]	[0.058]
dadMaxEdu_Uni_Miss	-0.136**	-0.138**	-0.130*	-0.048	-0.036	-0.042	-0.095**	-0.093	-0.078	-0.040
	[0.067]	[0.070]	[0.070]	[0.041]	[0.054]	[0.041]	[0.047]	[0.057]	[0.049]	[0.047]
HighInc_F	-0.002	-0.003	0.009	0.018	0.020	0.018	-0.010	-0.020	0.031	0.041*
	[0.030]	[0.033]	[0.033]	[0.026]	[0.029]	[0.027]	[0.026]	[0.029]	[0.024]	[0.025]
HighInc_Miss	-0.020	-0.021	-0.005	-0.046	-0.072**	-0.048*	-0.044	-0.087*	-0.040	-0.046
	[0.043]	[0.044]	[0.044]	[0.028]	[0.035]	[0.029]	[0.033]	[0.046]	[0.032]	[0.034]
houseOwn_F	0.016	0.015	0.027	-0.041	-0.056*	-0.041	-0.032	-0.045	-0.012	-0.017
	[0.045]	[0.045]	[0.045]	[0.030]	[0.033]	[0.030]	[0.031]	[0.035]	[0.034]	[0.034]
distCenter	0.007	0.007	0.003	0.003	-0.001	0.002	0.006	0.005	0.005	0.003
	[0.005]	[0.005]	[0.006]	[0.005]	[0.007]	[0.005]	[0.004]	[0.005]	[0.005]	[0.006]
cgRelig_F	0.030	0.036	0.016	0.046	0.007	0.045	0.047	0.019	0.014	-0.026
	[0.037]	[0.049]	[0.048]	[0.033]	[0.036]	[0.034]	[0.035]	[0.039]	[0.031]	[0.032]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.016	-0.018	-0.016	-0.021	-0.001	-0.022	-0.008	-0.012	-0.035	-0.009
	[0.029]	[0.034]	[0.034]	[0.022]	[0.025]	[0.023]	[0.023]	[0.027]	[0.025]	[0.027]
cgRelig_Miss	-0.267	-0.273		-0.054		-0.048	-0.142		-0.074	
	[0.275]	[0.281]		[0.076]		[0.076]	[0.215]		[0.079]	
Parma							-0.018			
							[0.029]			
Reggio								0.068*		0.017
								[0.040]		[0.030]
materna_Municipal								0.079*		-0.053
								[0.042]		[0.043]
Padova									-0.029	
									[0.029]	
Constant	1.936***	1.889**	2.388***	0.837	1.318*	0.786	1.310**	1.204	1.225*	1.686**
	[0.743]	[0.767]	[0.810]	[0.582]	[0.724]	[0.602]	[0.578]	[0.784]	[0.655]	[0.774]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.083	0.082	0.089	0.036	0.036	0.035	0.047	0.059	0.046	0.041
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
