	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.008	0.005	0.000	-0.002	-0.003	-0.002	-0.006	-0.004	-0.007	0.000
	[0.007]	[0.032]	[0.000]	[0.002]	[0.003]	[0.002]	[0.006]	[0.007]	[0.005]	[0.000]
asilo_Municipal								0.006		0.000
								[0.007]		[0.000]
nido	0.010	-0.001	0.000	0.008	0.007	0.003	0.007	-0.001	0.008	0.000
	[0.008]	[0.027]	[0.000]	[0.007]	[0.007]	[0.003]	[0.004]	[0.004]	[0.005]	[0.000]
unobs			0.000							
			[0.000]							
unobs2			0.000							
			[0.000]							
unobs3			0.000							
			[0.000]							
Age	0.004	0.005	0.000	-0.006	-0.007	-0.003	-0.003	-0.008	0.002	0.000
	[0.004]	[0.004]	[0.000]	[0.006]	[0.007]	[0.003]	[0.007]	[0.008]	[0.002]	[0.000]
Male	0.001	0.001	0.000	-0.003	-0.005	-0.002	-0.001	-0.007	-0.001	0.000
	[0.002]	[0.002]	[0.000]	[0.003]	[0.005]	[0.002]	[0.004]	[0.006]	[0.001]	[0.000]
poorBHealth	-0.001	-0.001	0.000	-0.000	0.001	0.000	0.001	0.001	-0.002	0.000
	[0.002]	[0.003]	[0.000]	[0.001]	[0.002]	[0.001]	[0.002]	[0.002]	[0.002]	[0.000]
oldsibs	0.035	0.036	0.000	0.000	0.000	0.000	0.037	0.002	0.030	0.000
	[0.023]	[0.024]	[0.000]	[0.001]	[0.001]	[0.000]	[0.025]	[0.002]	[0.020]	[0.000]
momMaxEdu_Uni_F	-0.003	-0.003	0.000	-0.005	-0.004	-0.002	-0.006	-0.004	0.001	0.000
	[0.003]	[0.003]	[0.000]	[0.005]	[0.004]	[0.002]	[0.005]	[0.004]	[0.002]	[0.000]
dadMaxEdu_Uni_F	0.002	0.004	0.000	0.005	0.005	0.002	0.005	0.005	-0.002	0.000
	[0.003]	[0.003]	[0.000]	[0.005]	[0.005]	[0.002]	[0.005]	[0.005]	[0.003]	[0.000]
momMaxEdu_Uni_Miss	0.003	0.003	0.000	-0.003	-0.001	-0.001	0.004	0.003	0.002	0.000
	[0.003]	[0.003]	[0.000]	[0.005]	[0.005]	[0.002]	[0.005]	[0.006]	[0.002]	[0.000]
dadMaxEdu_Uni_Miss	-0.002	-0.003	0.000	-0.003	-0.005	-0.003	-0.009	-0.013	-0.002	0.000
	[0.003]	[0.004]	[0.000]	[0.004]	[0.005]	[0.003]	[0.008]	[0.013]	[0.002]	[0.000]
HighInc_F	0.001	0.001	0.000	-0.002	-0.001	-0.001	0.000	0.000	-0.001	0.000
	[0.003]	[0.004]	[0.000]	[0.002]	[0.001]	[0.001]	[0.003]	[0.001]	[0.001]	[0.000]
HighInc_Miss	-0.003	-0.002	0.000	0.002	0.005	0.002	0.005	0.011	-0.001	0.000
	[0.002]	[0.002]	[0.000]	[0.002]	[0.005]	[0.002]	[0.005]	[0.011]	[0.001]	[0.000]
houseOwn_F	-0.002	-0.001	0.000	0.002	0.002	0.001	0.001	0.002	0.000	0.000
	[0.002]	[0.002]	[0.000]	[0.002]	[0.003]	[0.001]	[0.002]	[0.002]	[0.001]	[0.000]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	0.000	0.000
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
cgRelig_F	-0.003	-0.003	0.000	-0.000	-0.001	-0.000	-0.003	-0.001	-0.002	0.000
	[0.002]	[0.002]	[0.000]	[0.001]	[0.001]	[0.000]	[0.002]	[0.001]	[0.001]	[0.000]
cgRelig_Miss	0.133	0.136	0.000	0.053	0.014	0.030	0.217*	0.032	0.044	0.000
	[0.102]	[0.104]	[0.000]	[0.051]	[0.015]	[0.030]	[0.131]	[0.034]	[0.029]	[0.000]
CAPI	0.001	0.001	0.000	-0.004	-0.002	-0.001	-0.001	-0.001	-0.002	0.000
	[0.002]	[0.002]	[0.000]	[0.003]	[0.002]	[0.001]	[0.002]	[0.001]	[0.002]	[0.000]
houseOwn_Miss	0.397	0.400		-0.001		-0.001	0.176		0.300	
	[0.294]	[0.296]		[0.002]		[0.001]	[0.140]		[0.233]	
Parma							-0.002			
							[0.005]			
Reggio								-0.000		0.000
								[0.001]		[0.000]
nidoXreggio								-0.000		0.000
								[0.005]		[0.000]
Padova									-0.006	
									[0.005]	
Constant	-0.031	-0.033	0.000	0.042	0.045	0.022	0.017	0.057	-0.015	0.000
	[0.027]	[0.029]	[0.000]	[0.040]	[0.045]	[0.021]	[0.045]	[0.055]	[0.015]	[0.000]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.607	0.602		0.072	0.035	0.040	0.351	0.060	0.411	
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	0	0	0	0	0	0	0	0	0	0
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
