	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.023	-0.124	-0.688*	-0.025	-0.011	-0.021	0.002	-0.052	-0.022	-0.047
	[0.061]	[0.308]	[0.408]	[0.047]	[0.049]	[0.047]	[0.061]	[0.095]	[0.061]	[0.095]
unobsM			1.130*							
			[0.574]							
unobsM2			0.081							
			[0.237]							
unobsM3			-1.414**							
			[0.675]							
Age	0.169*	0.162*	0.166*	0.078	0.033	0.069	0.088	0.072	0.103*	0.109*
	[0.089]	[0.092]	[0.093]	[0.057]	[0.069]	[0.057]	[0.065]	[0.075]	[0.061]	[0.065]
Male	0.115*	0.113*	0.112*	-0.042	-0.055	-0.049	0.022	0.008	0.009	-0.019
	[0.062]	[0.062]	[0.062]	[0.038]	[0.046]	[0.039]	[0.044]	[0.049]	[0.042]	[0.049]
poorBHealth	-0.083	-0.094	-0.104	-0.014	-0.040	-0.007	-0.045	-0.063	-0.047	-0.042
	[0.106]	[0.112]	[0.115]	[0.064]	[0.069]	[0.064]	[0.074]	[0.078]	[0.072]	[0.075]
oldsibs	0.001	0.000	-0.008	-0.030	-0.039	-0.034	-0.023	-0.018	-0.024	-0.066
	[0.063]	[0.064]	[0.063]	[0.041]	[0.047]	[0.041]	[0.047]	[0.052]	[0.044]	[0.049]
momMaxEdu_Uni_F	0.021	0.011	-0.005	0.043	0.027	0.043	0.006	0.002	0.059	0.065
	[0.077]	[0.084]	[0.083]	[0.049]	[0.058]	[0.049]	[0.055]	[0.062]	[0.052]	[0.062]
dadMaxEdu_Uni_F	-0.009	-0.003	-0.017	0.063	0.082	0.064	0.015	0.003	0.072	0.076
	[0.086]	[0.089]	[0.088]	[0.053]	[0.063]	[0.053]	[0.061]	[0.068]	[0.059]	[0.071]
momMaxEdu_Uni_Miss	-0.076	-0.078	-0.085	-0.169	-0.186	-0.172	-0.125	-0.053	-0.139	-0.178
	[0.211]	[0.212]	[0.211]	[0.121]	[0.116]	[0.120]	[0.156]	[0.186]	[0.133]	[0.134]
dadMaxEdu_Uni_Miss	0.142	0.153	0.159	0.030	0.027	0.029	0.034	0.001	0.187***	0.247***
	[0.091]	[0.099]	[0.100]	[0.061]	[0.082]	[0.062]	[0.065]	[0.078]	[0.065]	[0.065]
HighInc_F	0.087	0.094	0.117	0.046	0.086	0.050	0.095*	0.121**	0.027	0.051
	[0.075]	[0.077]	[0.076]	[0.053]	[0.059]	[0.053]	[0.056]	[0.061]	[0.060]	[0.065]
HighInc_Miss	0.065	0.070	0.096	0.141***	0.189***	0.138***	0.043	0.065	0.130**	0.154***
	[0.078]	[0.081]	[0.080]	[0.046]	[0.054]	[0.046]	[0.056]	[0.062]	[0.051]	[0.054]
houseOwn_F	0.078	0.080	0.107	-0.009	-0.029	-0.015	0.044	0.025	0.004	-0.018
	[0.082]	[0.083]	[0.082]	[0.050]	[0.060]	[0.050]	[0.060]	[0.069]	[0.054]	[0.060]
distCenter	0.013	0.013	0.008	0.012	0.006	0.012	0.016	0.012	0.002	0.001
	[0.013]	[0.013]	[0.013]	[0.010]	[0.012]	[0.010]	[0.010]	[0.011]	[0.011]	[0.011]
cgRelig_F	-0.126*	-0.152	-0.194*	0.098*	0.087	0.109**	-0.005	0.031	-0.022	-0.063
	[0.075]	[0.110]	[0.108]	[0.052]	[0.061]	[0.052]	[0.060]	[0.070]	[0.058]	[0.058]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.047	-0.036	-0.036	0.004	0.042	0.008	-0.099**	-0.074	0.086**	0.116**
	[0.060]	[0.069]	[0.067]	[0.039]	[0.045]	[0.039]	[0.045]	[0.049]	[0.043]	[0.047]
cgRelig_Miss	-0.267	-0.241		0.181*		0.195**	-0.001		0.027	
	[0.329]	[0.334]		[0.094]		[0.094]	[0.271]		[0.099]	
Parma							0.042			
							[0.055]			
Reggio								0.040		0.009
								[0.069]		[0.063]
materna_Municipal								0.004		-0.000
								[0.070]		[0.072]
Padova									0.052	
									[0.056]	
Constant	-2.766*	-2.548	-2.340	-1.100	-0.244	-0.932	-1.247	-0.960	-1.545	-1.579
	[1.673]	[1.775]	[1.825]	[1.071]	[1.293]	[1.082]	[1.215]	[1.425]	[1.160]	[1.234]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.059	0.050	0.083	0.046	0.050	0.047	0.029	0.027	0.065	0.094
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.48	.48	.48	.48	.48	.48	.48	.48	.48	.48
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
