	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.084	0.250	-0.121	0.010	-0.041	0.040	0.083	-0.362***	0.072	-0.144
	[0.058]	[0.215]	[0.229]	[0.046]	[0.069]	[0.078]	[0.057]	[0.103]	[0.056]	[0.133]
unobs			0.693*							
			[0.362]							
unobs2			-0.419**							
			[0.206]							
unobs3			-1.679***							
			[0.557]							
Age	0.106	0.103	0.101	-0.038	-0.379***	-0.193	-0.032	-0.199***	0.079	-0.095
	[0.077]	[0.078]	[0.076]	[0.056]	[0.130]	[0.144]	[0.062]	[0.067]	[0.058]	[0.115]
Male	0.000	-0.003	-0.019	-0.033	0.139*	-0.274**	-0.013	-0.101*	-0.019	0.032
	[0.057]	[0.058]	[0.058]	[0.038]	[0.079]	[0.120]	[0.042]	[0.060]	[0.042]	[0.062]
poorBHealth	0.005	-0.005	-0.022	-0.037	0.111	-0.124	-0.046	0.057	0.032	0.038
	[0.096]	[0.099]	[0.095]	[0.063]	[0.127]	[0.180]	[0.068]	[0.082]	[0.072]	[0.101]
oldsibs	0.330**	0.368**	0.410***	0.065	0.017	0.255	0.206*	0.097	0.165	0.025
	[0.165]	[0.177]	[0.149]	[0.100]	[0.181]	[0.255]	[0.120]	[0.156]	[0.103]	[0.147]
momMaxEdu_Uni_F	0.024	0.023	0.027	0.020	-0.498***	-0.071	0.047	-0.178***	-0.014	-0.402**
	[0.068]	[0.068]	[0.069]	[0.044]	[0.115]	[0.101]	[0.048]	[0.055]	[0.050]	[0.167]
dadMaxEdu_Uni_F	-0.112	-0.106	-0.108	-0.038	-0.265**	0.164*	-0.075	-0.010	-0.029	-0.096
	[0.071]	[0.072]	[0.072]	[0.047]	[0.113]	[0.089]	[0.051]	[0.058]	[0.053]	[0.127]
momMaxEdu_Uni_Miss	-0.272	-0.250	-0.154	-0.199	-0.468	-0.013	-0.217	-0.215	-0.195	-0.219
	[0.196]	[0.218]	[0.205]	[0.198]	[0.311]	[0.285]	[0.165]	[0.156]	[0.183]	[0.255]
dadMaxEdu_Uni_Miss	-0.093	-0.116	-0.146	0.031	-0.522***	-0.527***	0.020	-0.144	-0.051	-0.410**
	[0.101]	[0.107]	[0.109]	[0.066]	[0.092]	[0.081]	[0.080]	[0.095]	[0.073]	[0.187]
HighInc_F	0.195***	0.182**	0.167**	0.033	-0.390**	-0.762***	0.049	-0.235***	0.093	0.135
	[0.074]	[0.076]	[0.076]	[0.053]	[0.156]	[0.108]	[0.055]	[0.063]	[0.060]	[0.101]
HighInc_Miss	0.218***	0.215***	0.218***	0.004	-0.085	-0.818***	0.042	-0.302***	0.144***	-0.045
	[0.072]	[0.075]	[0.071]	[0.045]	[0.112]	[0.132]	[0.053]	[0.057]	[0.050]	[0.101]
houseOwn_F	0.071	0.087	0.116*	0.009	0.269***	-0.117	0.060	0.213***	0.028	0.042
	[0.059]	[0.061]	[0.060]	[0.041]	[0.099]	[0.122]	[0.044]	[0.050]	[0.043]	[0.077]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.027**	-0.026**	-0.028**	-0.007	-0.041**	-0.195***	-0.014	-0.029***	-0.027***	0.011
	[0.011]	[0.011]	[0.011]	[0.010]	[0.017]	[0.044]	[0.009]	[0.010]	[0.010]	[0.023]
cgRelig_F	0.049	0.078	0.108	0.080	-0.089	0.057	0.068	-0.023	0.016	-0.235**
	[0.080]	[0.089]	[0.087]	[0.054]	[0.089]	[0.083]	[0.061]	[0.065]	[0.062]	[0.106]
cgRelig_Miss	0.364***	0.359***	0.336***	0.205	-0.233*	0.963***	0.136	-0.237**	0.193	0.002
	[0.101]	[0.127]	[0.102]	[0.125]	[0.141]	[0.142]	[0.190]	[0.098]	[0.125]	[0.161]
CAPI	-0.105*	-0.122*	-0.157**	-0.029	0.209**	-0.272***	-0.096**	-0.095*	-0.045	-0.003
	[0.058]	[0.064]	[0.061]	[0.038]	[0.091]	[0.105]	[0.042]	[0.056]	[0.042]	[0.059]
houseOwn_Miss	-0.538***	-0.458***		0.147		-0.002	-0.171		-0.005	
	[0.089]	[0.132]		[0.297]		[0.382]	[0.281]		[0.338]	
Parma							0.054			
							[0.052]			
Reggio								0.156**		-0.103
								[0.077]		[0.068]
materna_Municipal								0.419***		0.198*
								[0.076]		[0.116]
Padova									0.070	
									[0.052]	
Constant	-0.289	-0.381	-0.095	0.763**	3.350***	3.141***	0.665	1.943***	-0.036	1.498*
	[0.531]	[0.543]	[0.539]	[0.379]	[0.937]	[0.941]	[0.423]	[0.501]	[0.405]	[0.767]
										
Observations	308	308	307	730	727	727	595	592	585	583
R-squared	0.130	0.104	0.158	0.013	0.997	0.961	0.039	0.792	0.052	0.517
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.5	.5	.5	.5	.5	.5	.5	.5	.5	.5
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
