	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.137	0.211	0.263	0.039	-0.043	0.044	0.111	-0.175	0.102	0.582***
	[0.151]	[0.918]	[0.256]	[0.049]	[0.063]	[0.051]	[0.074]	[0.242]	[0.075]	[0.203]
asilo_Municipal								0.308**		-0.422***
								[0.139]		[0.129]
nido	-0.068	-0.133	-0.106	-0.028	0.028	-0.040	-0.044	-0.181	-0.026	0.275**
	[0.153]	[0.855]	[0.158]	[0.042]	[0.063]	[0.045]	[0.054]	[0.142]	[0.057]	[0.107]
unobsA			-0.135							
			[0.358]							
unobsA2			0.051							
			[0.161]							
unobsA3			0.142							
			[0.496]							
Age	0.019	0.004	0.003	0.108**	-0.008	0.114**	0.104*	-0.057	0.030	0.053
	[0.087]	[0.102]	[0.090]	[0.053]	[0.076]	[0.058]	[0.061]	[0.065]	[0.058]	[0.068]
Male	0.083	0.080	0.080	0.105***	0.135***	0.113***	0.124***	0.121***	0.090**	0.165***
	[0.055]	[0.056]	[0.056]	[0.034]	[0.049]	[0.036]	[0.039]	[0.045]	[0.038]	[0.048]
poorBHealth	-0.056	-0.049	-0.050	-0.063	-0.254**	-0.011	-0.110	-0.367***	-0.008	0.043
	[0.099]	[0.104]	[0.105]	[0.060]	[0.118]	[0.063]	[0.069]	[0.093]	[0.065]	[0.078]
oldsibs	0.014	0.017	0.018	0.009	-0.021	0.022	0.053	0.070	-0.024	-0.091*
	[0.058]	[0.063]	[0.059]	[0.036]	[0.049]	[0.038]	[0.041]	[0.044]	[0.040]	[0.050]
momMaxEdu_Uni_F	0.002	0.011	0.010	0.029	0.089	0.035	-0.022	0.014	0.057	0.050
	[0.070]	[0.079]	[0.072]	[0.043]	[0.055]	[0.047]	[0.051]	[0.057]	[0.048]	[0.057]
dadMaxEdu_Uni_F	0.027	-0.011	-0.012	0.015	-0.019	-0.020	0.042	-0.061	-0.017	0.005
	[0.084]	[0.090]	[0.088]	[0.048]	[0.060]	[0.051]	[0.056]	[0.061]	[0.056]	[0.067]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	0.103	0.098	0.098	0.020	-0.067	-0.011	-0.011	-0.121*	0.146***	0.171***
	[0.078]	[0.103]	[0.086]	[0.054]	[0.091]	[0.058]	[0.060]	[0.067]	[0.052]	[0.061]
HighInc_F	-0.064	-0.087	-0.088	-0.021	-0.032	-0.007	-0.035	-0.054	-0.042	-0.059
	[0.073]	[0.102]	[0.079]	[0.047]	[0.053]	[0.049]	[0.051]	[0.052]	[0.056]	[0.065]
HighInc_Miss	-0.003	-0.003	0.006	0.007	-0.089	0.003	-0.070	-0.095	0.030	-0.031
	[0.070]	[0.072]	[0.072]	[0.042]	[0.062]	[0.044]	[0.051]	[0.066]	[0.045]	[0.056]
houseOwn_F	-0.005	0.050	0.043	-0.028	-0.136**	-0.013	0.000	0.012	-0.014	-0.108*
	[0.074]	[0.086]	[0.081]	[0.045]	[0.069]	[0.048]	[0.053]	[0.071]	[0.048]	[0.061]
distCenter	0.017	0.020	0.022	0.016	0.021	0.018*	0.014	0.026***	0.016	0.004
	[0.012]	[0.013]	[0.014]	[0.010]	[0.013]	[0.011]	[0.009]	[0.010]	[0.010]	[0.013]
cgRelig_F	-0.110*	-0.116	-0.113*	-0.002	0.045	0.004	-0.091*	-0.057	-0.030	0.067
	[0.060]	[0.077]	[0.064]	[0.048]	[0.076]	[0.053]	[0.048]	[0.066]	[0.050]	[0.071]
cgRelig_Miss	0.203**	0.192**	0.184**	-0.064	-0.413***	-0.090	-0.045	-0.401	-0.113	-0.386***
	[0.082]	[0.089]	[0.087]	[0.091]	[0.134]	[0.103]	[0.244]	[0.306]	[0.091]	[0.118]
CAPI	0.048	0.048	0.046	0.001	-0.101**	0.028	-0.011	-0.063	0.063*	0.074
	[0.055]	[0.057]	[0.058]	[0.035]	[0.049]	[0.037]	[0.040]	[0.045]	[0.038]	[0.046]
momMaxEdu_Uni_Miss	-0.188			-0.107		-0.093	-0.156		-0.128	
	[0.192]			[0.131]		[0.138]	[0.156]		[0.132]	
Parma							0.065			
							[0.055]			
Reggio								-0.100		-0.099
								[0.068]		[0.065]
nidoXreggio								0.128		-0.353*
								[0.246]		[0.191]
Padova									0.090*	
									[0.050]	
Constant	0.300	0.531	0.483	-1.367	0.962	-1.504	-1.285	1.830	0.008	-0.287
	[1.630]	[1.947]	[1.691]	[0.995]	[1.419]	[1.092]	[1.135]	[1.208]	[1.092]	[1.258]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.051	0.060	0.061	0.029	0.276	0.033	0.047	0.227	0.048	0.293
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
