	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.017	-0.092	-0.493	0.007	-0.004	0.004	0.015	-0.028	0.027	-0.066
	[0.056]	[0.275]	[0.348]	[0.042]	[0.044]	[0.042]	[0.054]	[0.086]	[0.055]	[0.093]
unobsM			0.818							
			[0.497]							
unobsM2			-0.191							
			[0.228]							
unobsM3			-0.986							
			[0.646]							
Age	-0.035	-0.044	-0.058	0.041	0.042	0.053	-0.003	-0.036	0.028	0.087
	[0.078]	[0.081]	[0.081]	[0.052]	[0.066]	[0.053]	[0.059]	[0.072]	[0.057]	[0.069]
Male	-0.079	-0.081	-0.088	-0.056	-0.072*	-0.057	-0.060	-0.050	-0.075*	-0.086*
	[0.055]	[0.056]	[0.056]	[0.035]	[0.042]	[0.036]	[0.040]	[0.044]	[0.039]	[0.047]
poorBHealth	0.131*	0.120	0.102	0.040	0.059	0.034	0.069	0.070	0.110*	0.121**
	[0.073]	[0.078]	[0.078]	[0.055]	[0.060]	[0.057]	[0.057]	[0.059]	[0.057]	[0.059]
oldsibs	-0.019	-0.020	-0.023	0.013	0.035	0.011	-0.043	-0.056	0.033	0.053
	[0.058]	[0.059]	[0.059]	[0.037]	[0.041]	[0.037]	[0.042]	[0.046]	[0.040]	[0.046]
momMaxEdu_Uni_F	0.026	0.015	-0.002	-0.014	0.032	-0.014	-0.020	-0.038	0.042	0.077
	[0.064]	[0.072]	[0.074]	[0.043]	[0.054]	[0.043]	[0.047]	[0.051]	[0.045]	[0.059]
dadMaxEdu_Uni_F	0.018	0.024	0.032	0.025	0.009	0.022	-0.005	0.027	0.017	0.005
	[0.072]	[0.073]	[0.074]	[0.046]	[0.057]	[0.046]	[0.051]	[0.054]	[0.051]	[0.065]
momMaxEdu_Uni_Miss	-0.315*	-0.318*	-0.317*	-0.003	0.041	0.026	-0.203	-0.265	-0.059	-0.041
	[0.178]	[0.177]	[0.181]	[0.114]	[0.112]	[0.108]	[0.167]	[0.203]	[0.120]	[0.131]
dadMaxEdu_Uni_Miss	-0.183**	-0.171*	-0.164*	-0.105*	-0.139*	-0.095*	-0.169***	-0.111	-0.082	-0.071
	[0.086]	[0.092]	[0.091]	[0.057]	[0.074]	[0.057]	[0.063]	[0.072]	[0.064]	[0.082]
HighInc_F	0.024	0.032	0.044	-0.007	-0.038	-0.010	0.020	0.029	0.012	-0.024
	[0.066]	[0.070]	[0.070]	[0.047]	[0.053]	[0.047]	[0.048]	[0.051]	[0.052]	[0.060]
HighInc_Miss	-0.137*	-0.131*	-0.113	-0.118***	-0.124**	-0.120***	-0.085	-0.073	-0.154***	-0.170***
	[0.075]	[0.077]	[0.078]	[0.043]	[0.049]	[0.043]	[0.052]	[0.057]	[0.048]	[0.054]
houseOwn_F	0.004	0.006	0.017	-0.030	-0.050	-0.023	-0.007	0.035	-0.018	-0.017
	[0.078]	[0.080]	[0.079]	[0.047]	[0.055]	[0.047]	[0.054]	[0.065]	[0.052]	[0.060]
distCenter	-0.009	-0.009	-0.013	-0.022**	-0.025**	-0.022**	-0.020**	-0.023**	-0.007	-0.006
	[0.012]	[0.012]	[0.012]	[0.010]	[0.012]	[0.010]	[0.010]	[0.011]	[0.010]	[0.012]
cgRelig_F	-0.025	-0.054	-0.070	-0.036	-0.049	-0.035	0.002	-0.022	-0.039	-0.033
	[0.066]	[0.095]	[0.096]	[0.047]	[0.055]	[0.048]	[0.053]	[0.059]	[0.051]	[0.062]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.012	0.023	0.025	-0.064*	-0.038	-0.067*	0.011	0.032	-0.075*	-0.038
	[0.054]	[0.061]	[0.060]	[0.035]	[0.040]	[0.035]	[0.039]	[0.043]	[0.039]	[0.047]
cgRelig_Miss	0.362***	0.391***		-0.164*		-0.174*	0.328***		-0.163	
	[0.095]	[0.121]		[0.096]		[0.097]	[0.066]		[0.103]	
Parma							0.001			
							[0.050]			
Reggio								0.024		-0.001
								[0.062]		[0.062]
materna_Municipal								0.031		0.071
								[0.064]		[0.072]
Padova									0.034	
									[0.050]	
Constant	1.481	1.716	2.234	0.154	0.174	-0.068	0.907	1.481	0.315	-0.790
	[1.479]	[1.581]	[1.587]	[0.978]	[1.215]	[0.997]	[1.107]	[1.339]	[1.073]	[1.296]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.075	0.062	0.080	0.051	0.054	0.053	0.046	0.044	0.071	0.074
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.72	.72	.72	.72	.72	.72	.72	.72	.72	.72
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
