	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.013	-0.170	0.066	0.107**	0.071	-0.468***	0.037	-0.230	0.088	0.088
	[0.100]	[0.647]	[0.239]	[0.048]	[0.057]	[0.167]	[0.071]	[0.146]	[0.070]	[0.154]
asilo_Municipal								0.191*		-0.113
								[0.099]		[0.112]
nido	0.027	0.179	0.017	-0.046	0.025	0.578***	0.012	-0.082	-0.054	0.047
	[0.105]	[0.540]	[0.106]	[0.044]	[0.064]	[0.125]	[0.053]	[0.110]	[0.054]	[0.099]
unobs			-0.164							
			[0.354]							
unobs2			0.206							
			[0.168]							
unobs3			0.354							
			[0.475]							
Age	0.157*	0.154*	0.159*	0.111**	0.038	0.578**	0.083	0.014	0.150***	0.128
	[0.080]	[0.082]	[0.081]	[0.054]	[0.086]	[0.279]	[0.059]	[0.093]	[0.058]	[0.083]
Male	0.052	0.053	0.055	-0.056	-0.033	-0.233	0.018	0.089*	-0.039	-0.100**
	[0.059]	[0.060]	[0.060]	[0.036]	[0.048]	[0.200]	[0.041]	[0.050]	[0.041]	[0.051]
poorBHealth	0.197**	0.204**	0.211**	0.100	0.103	-0.140	0.088	0.120	0.167**	0.055
	[0.093]	[0.097]	[0.098]	[0.061]	[0.082]	[0.169]	[0.069]	[0.084]	[0.070]	[0.076]
oldsibs	-0.101	-0.138	-0.104	0.096	0.160	0.395	-0.027	0.024	0.007	0.054
	[0.143]	[0.204]	[0.145]	[0.102]	[0.124]	[0.392]	[0.114]	[0.159]	[0.102]	[0.119]
momMaxEdu_Uni_F	0.093	0.095	0.111	0.083**	0.021	-0.777***	0.089*	-0.010	0.084	0.138**
	[0.072]	[0.073]	[0.074]	[0.042]	[0.059]	[0.125]	[0.048]	[0.062]	[0.051]	[0.064]
dadMaxEdu_Uni_F	0.118	0.096	0.109	0.000	0.117*	0.890***	0.038	0.191***	0.041	0.034
	[0.077]	[0.111]	[0.078]	[0.045]	[0.071]	[0.185]	[0.051]	[0.068]	[0.053]	[0.064]
momMaxEdu_Uni_Miss	-0.099	-0.097	-0.137	0.013	-0.235	-0.592**	-0.047	-0.332**	0.026	-0.148
	[0.210]	[0.209]	[0.231]	[0.232]	[0.188]	[0.289]	[0.183]	[0.163]	[0.197]	[0.155]
dadMaxEdu_Uni_Miss	-0.050	-0.038	-0.051	0.069	0.017	-0.142	0.079	0.181**	-0.034	-0.106
	[0.102]	[0.111]	[0.104]	[0.067]	[0.100]	[0.130]	[0.080]	[0.089]	[0.074]	[0.095]
HighInc_F	-0.121	-0.127*	-0.128*	-0.104**	-0.039	-0.113	-0.084	-0.058	-0.074	-0.100
	[0.076]	[0.077]	[0.076]	[0.050]	[0.075]	[0.087]	[0.053]	[0.074]	[0.059]	[0.069]
HighInc_Miss	0.045	0.035	0.030	0.021	0.089	0.087	0.065	0.060	0.041	0.066
	[0.074]	[0.081]	[0.084]	[0.046]	[0.062]	[0.391]	[0.053]	[0.066]	[0.050]	[0.056]
houseOwn_F	-0.033	-0.041	-0.040	0.064*	0.044	0.409*	0.044	0.026	0.000	-0.075
	[0.058]	[0.067]	[0.060]	[0.039]	[0.059]	[0.213]	[0.043]	[0.056]	[0.042]	[0.053]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.005	-0.005	-0.002	-0.004	0.052***	-0.011	-0.002	0.039***	-0.001	0.012
	[0.012]	[0.012]	[0.012]	[0.010]	[0.014]	[0.055]	[0.009]	[0.012]	[0.010]	[0.013]
cgRelig_F	0.050	0.053	0.042	0.017	0.032	0.441**	0.036	0.042	0.036	0.018
	[0.081]	[0.083]	[0.083]	[0.053]	[0.085]	[0.203]	[0.061]	[0.092]	[0.059]	[0.075]
cgRelig_Miss	0.309	0.291	0.312	-0.097	-0.102	0.564	-0.077	-0.404***	-0.019	0.071
	[0.274]	[0.333]	[0.285]	[0.116]	[0.146]	[0.382]	[0.195]	[0.129]	[0.123]	[0.182]
CAPI	0.006	0.008	0.008	0.005	-0.072	-0.154	0.014	-0.011	-0.000	-0.057
	[0.059]	[0.061]	[0.060]	[0.037]	[0.057]	[0.106]	[0.041]	[0.051]	[0.041]	[0.056]
houseOwn_Miss	-0.470***	-0.473***		-0.325***		-0.732**	-0.384***		-0.411***	
	[0.098]	[0.099]		[0.050]		[0.283]	[0.054]		[0.066]	
Parma							-0.039			
							[0.057]			
Reggio								0.049		0.024
								[0.084]		[0.073]
nidoXreggio								0.188		0.047
								[0.154]		[0.148]
Padova									-0.026	
									[0.053]	
Constant	-0.771	-0.743	-0.845	-0.413	-0.107	-3.925**	-0.292	-0.033	-0.663*	-0.461
	[0.558]	[0.579]	[0.595]	[0.364]	[0.566]	[1.681]	[0.409]	[0.615]	[0.399]	[0.553]
										
Observations	308	308	307	724	721	724	595	592	585	583
R-squared	0.079	0.068	0.083	0.040	0.102	0.966	0.037	0.155	0.047	0.076
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.42	.42	.42	.42	.42	.42	.42	.42	.42	.42
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
