	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.001	-0.453	-0.014	0.024	-0.010	-0.509***	0.064	-0.242	0.102	0.142
	[0.091]	[0.641]	[0.222]	[0.048]	[0.056]	[0.141]	[0.069]	[0.149]	[0.070]	[0.144]
asilo_Municipal								0.186*		-0.157
								[0.103]		[0.103]
nido	0.143	0.518	0.131	-0.025	0.010	0.506***	0.061	-0.121	0.004	0.038
	[0.095]	[0.536]	[0.097]	[0.045]	[0.062]	[0.100]	[0.053]	[0.116]	[0.056]	[0.096]
unobs			0.102							
			[0.336]							
unobs2			0.158							
			[0.166]							
unobs3			-0.228							
			[0.491]							
Age	0.081	0.074	0.082	0.164***	0.206***	0.427***	0.059	0.115	0.147**	0.193**
	[0.082]	[0.086]	[0.083]	[0.055]	[0.075]	[0.151]	[0.061]	[0.080]	[0.059]	[0.077]
Male	-0.033	-0.031	-0.037	-0.097***	-0.076*	-0.024	-0.027	0.002	-0.101**	-0.127**
	[0.057]	[0.059]	[0.057]	[0.037]	[0.046]	[0.160]	[0.041]	[0.048]	[0.041]	[0.050]
poorBHealth	0.082	0.097	0.079	0.034	0.020	-0.117	-0.003	0.029	0.093	0.074
	[0.090]	[0.098]	[0.096]	[0.059]	[0.070]	[0.106]	[0.067]	[0.072]	[0.068]	[0.075]
oldsibs	-0.049	-0.141	-0.056	-0.020	0.104	1.120**	-0.109	-0.197*	-0.001	0.161
	[0.128]	[0.216]	[0.137]	[0.103]	[0.147]	[0.473]	[0.099]	[0.101]	[0.100]	[0.134]
momMaxEdu_Uni_F	0.079	0.084	0.081	0.080*	-0.003	-0.717***	0.049	-0.049	0.080	0.069
	[0.071]	[0.075]	[0.073]	[0.042]	[0.057]	[0.121]	[0.048]	[0.061]	[0.051]	[0.058]
dadMaxEdu_Uni_F	0.264***	0.211*	0.258***	0.042	0.115*	0.582***	0.155***	0.214***	0.104*	0.064
	[0.074]	[0.114]	[0.076]	[0.045]	[0.066]	[0.077]	[0.050]	[0.065]	[0.054]	[0.063]
momMaxEdu_Uni_Miss	-0.141	-0.137	-0.151	-0.066	-0.232*	-0.651**	-0.162	-0.363***	-0.034	-0.114
	[0.121]	[0.125]	[0.134]	[0.206]	[0.138]	[0.263]	[0.144]	[0.116]	[0.128]	[0.116]
dadMaxEdu_Uni_Miss	-0.063	-0.032	-0.063	-0.055	-0.016	-0.786***	0.073	0.201**	-0.203***	-0.234***
	[0.095]	[0.105]	[0.095]	[0.064]	[0.090]	[0.186]	[0.074]	[0.087]	[0.062]	[0.082]
HighInc_F	-0.025	-0.041	-0.034	-0.011	0.046	-0.104*	-0.029	-0.026	0.016	0.024
	[0.079]	[0.085]	[0.078]	[0.053]	[0.072]	[0.060]	[0.055]	[0.067]	[0.062]	[0.074]
HighInc_Miss	0.020	-0.004	0.029	-0.072	-0.102	-0.229	-0.001	-0.032	-0.052	-0.042
	[0.068]	[0.080]	[0.077]	[0.046]	[0.063]	[0.271]	[0.052]	[0.062]	[0.049]	[0.055]
houseOwn_F	0.150***	0.129*	0.151**	0.120***	0.186***	0.354***	0.196***	0.223***	0.068	0.046
	[0.058]	[0.068]	[0.059]	[0.040]	[0.054]	[0.103]	[0.044]	[0.053]	[0.042]	[0.051]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.009	0.009	0.010	-0.007	0.032**	0.069***	0.009	0.033***	0.001	0.007
	[0.011]	[0.011]	[0.011]	[0.009]	[0.013]	[0.022]	[0.008]	[0.010]	[0.010]	[0.012]
cgRelig_F	0.028	0.036	0.021	0.080	0.069	0.577***	0.048	0.042	0.083	0.007
	[0.082]	[0.086]	[0.083]	[0.052]	[0.071]	[0.176]	[0.059]	[0.064]	[0.057]	[0.070]
cgRelig_Miss	0.442***	0.397**	0.413***	0.034	0.211	0.044	0.174	0.070	0.112	0.143
	[0.139]	[0.160]	[0.144]	[0.116]	[0.157]	[0.323]	[0.183]	[0.155]	[0.127]	[0.169]
CAPI	-0.010	-0.004	-0.010	-0.067*	-0.161***	0.621***	-0.015	-0.089*	-0.057	-0.101*
	[0.057]	[0.059]	[0.058]	[0.037]	[0.052]	[0.153]	[0.041]	[0.048]	[0.040]	[0.053]
houseOwn_Miss	-0.253***	-0.261***		-0.075		-0.229	-0.046		-0.327***	
	[0.088]	[0.090]		[0.259]		[0.460]	[0.218]		[0.059]	
Parma							0.094*			
							[0.056]			
Reggio								-0.163*		-0.131*
								[0.083]		[0.077]
nidoXreggio								0.326**		0.126
								[0.156]		[0.143]
Padova									0.051	
									[0.054]	
Constant	-0.409	-0.341	-0.428	-0.659*	-1.042**	-3.406***	-0.244	-0.515	-0.670	-0.772
	[0.582]	[0.614]	[0.605]	[0.372]	[0.505]	[0.906]	[0.425]	[0.549]	[0.416]	[0.519]
										
Observations	308	308	307	725	722	725	596	593	585	583
R-squared	0.146	0.079	0.147	0.063	0.137	0.981	0.093	0.196	0.091	0.133
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.44	.44	.44	.44	.44	.44	.44	.44	.44	.44
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
