	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.117	0.153	0.152	0.061	0.045	-0.150	0.078	0.062	0.139**	0.092
	[0.086]	[0.603]	[0.195]	[0.042]	[0.049]	[0.207]	[0.062]	[0.109]	[0.063]	[0.124]
asilo_Municipal								-0.100		-0.125
								[0.073]		[0.092]
nido	0.012	-0.018	0.018	-0.015	0.009	0.185	0.037	0.121	-0.037	0.022
	[0.092]	[0.507]	[0.096]	[0.040]	[0.060]	[0.242]	[0.047]	[0.089]	[0.052]	[0.084]
unobs			0.055							
			[0.277]							
unobs2			-0.197							
			[0.149]							
unobs3			-0.309							
			[0.423]							
Age	0.128*	0.128*	0.129*	0.010	0.011	0.443	0.060	0.024	0.035	0.048
	[0.074]	[0.074]	[0.074]	[0.049]	[0.081]	[0.307]	[0.055]	[0.080]	[0.055]	[0.081]
Male	-0.105**	-0.106**	-0.115**	-0.081**	-0.067	-0.200	-0.102***	-0.085**	-0.068*	-0.084*
	[0.050]	[0.050]	[0.051]	[0.032]	[0.041]	[0.345]	[0.035]	[0.043]	[0.037]	[0.045]
poorBHealth	0.013	0.012	-0.015	-0.059	-0.032	-0.301*	-0.081	-0.074	-0.003	0.008
	[0.082]	[0.082]	[0.083]	[0.056]	[0.078]	[0.175]	[0.063]	[0.082]	[0.063]	[0.080]
oldsibs	0.029	0.036	0.046	-0.022	-0.033	-0.086	-0.017	-0.132	0.054	-0.032
	[0.136]	[0.204]	[0.140]	[0.093]	[0.099]	[0.190]	[0.108]	[0.124]	[0.091]	[0.128]
momMaxEdu_Uni_F	0.001	0.001	-0.024	0.009	-0.040	-0.717**	0.013	-0.049	0.025	0.008
	[0.061]	[0.061]	[0.065]	[0.037]	[0.050]	[0.286]	[0.041]	[0.055]	[0.044]	[0.052]
dadMaxEdu_Uni_F	0.116*	0.120	0.131**	0.025	0.025	0.430**	0.071*	0.008	0.053	0.064
	[0.063]	[0.098]	[0.065]	[0.040]	[0.065]	[0.186]	[0.043]	[0.063]	[0.046]	[0.059]
momMaxEdu_Uni_Miss	-0.160	-0.160	-0.112	-0.196	-0.223	-0.349	-0.215	-0.209	-0.153	-0.260
	[0.195]	[0.195]	[0.200]	[0.224]	[0.319]	[0.454]	[0.165]	[0.200]	[0.181]	[0.249]
dadMaxEdu_Uni_Miss	-0.112	-0.114	-0.117	-0.010	0.164**	0.725**	-0.062	-0.039	-0.009	0.214***
	[0.093]	[0.100]	[0.095]	[0.060]	[0.075]	[0.307]	[0.070]	[0.080]	[0.066]	[0.077]
HighInc_F	0.022	0.023	0.030	-0.053	-0.170**	0.191*	-0.058	-0.136*	0.032	-0.008
	[0.065]	[0.066]	[0.065]	[0.045]	[0.079]	[0.106]	[0.046]	[0.072]	[0.052]	[0.066]
HighInc_Miss	0.025	0.027	0.058	-0.031	-0.111*	-0.169	-0.037	-0.096*	0.070	0.067
	[0.064]	[0.067]	[0.073]	[0.042]	[0.057]	[0.117]	[0.047]	[0.058]	[0.046]	[0.052]
houseOwn_F	0.036	0.037	0.049	0.009	0.013	0.407**	0.040	0.033	0.003	0.029
	[0.050]	[0.055]	[0.051]	[0.035]	[0.054]	[0.193]	[0.038]	[0.050]	[0.038]	[0.051]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.006	0.006	0.002	-0.004	-0.003	0.012	0.004	0.002	-0.002	-0.014
	[0.010]	[0.010]	[0.010]	[0.008]	[0.015]	[0.047]	[0.007]	[0.011]	[0.009]	[0.013]
cgRelig_F	0.104	0.103	0.118	0.004	0.136	0.000	0.077	0.246**	0.049	-0.003
	[0.073]	[0.073]	[0.074]	[0.046]	[0.083]	[0.306]	[0.054]	[0.098]	[0.054]	[0.066]
cgRelig_Miss	0.269**	0.273*	0.251*	0.042	0.095	1.041***	0.142	0.350***	0.087	-0.139
	[0.125]	[0.148]	[0.128]	[0.106]	[0.143]	[0.282]	[0.143]	[0.115]	[0.120]	[0.200]
CAPI	-0.096*	-0.097*	-0.101**	0.022	-0.018	-0.457***	-0.046	-0.125**	-0.019	0.019
	[0.050]	[0.052]	[0.051]	[0.033]	[0.052]	[0.158]	[0.035]	[0.049]	[0.037]	[0.056]
houseOwn_Miss	0.246***	0.247***		-0.081		0.054	-0.084		0.249***	
	[0.084]	[0.085]		[0.289]		[0.412]	[0.290]		[0.057]	
Parma							0.024			
							[0.051]			
Reggio								-0.086		-0.100
								[0.081]		[0.072]
nidoXreggio								0.068		0.156
								[0.126]		[0.122]
Padova									0.040	
									[0.048]	
Constant	-0.233	-0.239	-0.230	0.742**	0.657	-2.092	0.279	0.531	0.429	0.430
	[0.513]	[0.517]	[0.539]	[0.337]	[0.524]	[1.986]	[0.386]	[0.546]	[0.378]	[0.526]
										
Observations	308	308	307	725	722	725	596	593	585	583
R-squared	0.092	0.091	0.100	0.017	0.072	0.729	0.047	0.129	0.032	0.069
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.75	.75	.75	.75	.75	.75	.75	.75	.75	.75
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
