	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.035	0.115	-0.475	0.071	0.063	0.072	-0.027	-0.231**	-0.022	-0.088
	[0.059]	[0.289]	[0.389]	[0.045]	[0.047]	[0.045]	[0.058]	[0.091]	[0.058]	[0.097]
unobsM			0.913*							
			[0.549]							
unobsM2			-0.297							
			[0.222]							
unobsM3			-1.570**							
			[0.623]							
Age	-0.018	-0.006	-0.030	0.100*	0.072	0.096*	0.039	0.042	0.047	0.015
	[0.085]	[0.089]	[0.088]	[0.055]	[0.068]	[0.056]	[0.063]	[0.068]	[0.060]	[0.070]
Male	0.039	0.042	0.038	-0.037	-0.066	-0.037	-0.005	-0.004	0.001	-0.048
	[0.059]	[0.060]	[0.060]	[0.038]	[0.045]	[0.038]	[0.043]	[0.047]	[0.041]	[0.049]
poorBHealth	0.022	0.038	0.015	0.057	0.034	0.061	0.102	0.081	0.034	0.046
	[0.100]	[0.107]	[0.104]	[0.065]	[0.073]	[0.066]	[0.071]	[0.073]	[0.071]	[0.078]
oldsibs	0.008	0.009	0.012	0.061	0.059	0.060	0.042	0.064	0.018	0.007
	[0.062]	[0.063]	[0.062]	[0.041]	[0.048]	[0.042]	[0.046]	[0.049]	[0.044]	[0.051]
momMaxEdu_Uni_F	0.058	0.074	0.046	0.077*	0.058	0.074	0.068	0.029	0.061	0.056
	[0.074]	[0.078]	[0.080]	[0.047]	[0.057]	[0.047]	[0.053]	[0.060]	[0.050]	[0.061]
dadMaxEdu_Uni_F	0.147*	0.139*	0.140*	-0.040	-0.009	-0.043	0.045	0.091	0.021	0.008
	[0.080]	[0.081]	[0.082]	[0.052]	[0.063]	[0.052]	[0.059]	[0.067]	[0.057]	[0.069]
momMaxEdu_Uni_Miss	0.166	0.170	0.177	0.216*	0.176	0.207*	0.287**	0.171	0.090	0.044
	[0.147]	[0.132]	[0.153]	[0.111]	[0.134]	[0.115]	[0.126]	[0.188]	[0.125]	[0.143]
dadMaxEdu_Uni_Miss	0.082	0.066	0.073	0.019	0.060	0.014	0.051	0.100	0.045	0.098
	[0.086]	[0.092]	[0.089]	[0.059]	[0.080]	[0.060]	[0.064]	[0.069]	[0.066]	[0.080]
HighInc_F	-0.033	-0.043	-0.025	0.010	-0.020	0.009	-0.044	-0.054	0.028	0.024
	[0.074]	[0.078]	[0.077]	[0.053]	[0.060]	[0.054]	[0.055]	[0.059]	[0.057]	[0.065]
HighInc_Miss	0.099	0.090	0.116	0.079*	0.088	0.073	0.066	0.056	0.043	0.065
	[0.074]	[0.076]	[0.077]	[0.045]	[0.054]	[0.046]	[0.054]	[0.059]	[0.050]	[0.057]
houseOwn_F	0.071	0.069	0.086	-0.048	-0.099*	-0.055	0.014	-0.028	-0.021	-0.033
	[0.083]	[0.084]	[0.084]	[0.050]	[0.059]	[0.050]	[0.059]	[0.061]	[0.054]	[0.061]
distCenter	-0.010	-0.009	-0.016	-0.015	-0.018	-0.015	-0.017*	-0.015	-0.006	-0.006
	[0.013]	[0.013]	[0.013]	[0.010]	[0.012]	[0.010]	[0.010]	[0.011]	[0.011]	[0.012]
cgRelig_F	-0.066	-0.027	-0.039	0.032	0.017	0.033	-0.006	-0.010	-0.017	-0.020
	[0.067]	[0.099]	[0.097]	[0.052]	[0.062]	[0.053]	[0.055]	[0.063]	[0.054]	[0.063]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.013	-0.028	-0.031	-0.009	-0.025	-0.005	0.028	0.014	-0.014	-0.011
	[0.058]	[0.067]	[0.065]	[0.038]	[0.045]	[0.038]	[0.043]	[0.047]	[0.041]	[0.050]
cgRelig_Miss	-0.150	-0.189		0.093		0.092	0.080		-0.007	
	[0.280]	[0.293]		[0.095]		[0.096]	[0.234]		[0.099]	
Parma							-0.164***			
							[0.054]			
Reggio								0.271***		0.063
								[0.065]		[0.065]
materna_Municipal								0.172**		0.027
								[0.069]		[0.076]
Padova									-0.007	
									[0.053]	
Constant	0.931	0.606	1.437	-1.279	-0.680	-1.198	-0.093	-0.369	-0.226	0.364
	[1.601]	[1.724]	[1.716]	[1.042]	[1.275]	[1.054]	[1.180]	[1.282]	[1.118]	[1.302]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.050	0.028	0.068	0.032	0.041	0.031	0.051	0.076	0.013	0.018
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.65	.65	.65	.65	.65	.65	.65	.65	.65	.65
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
