	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.160	-0.534	-0.335	0.105*	0.122*	0.108	0.103	-0.220	0.175*	0.198
	[0.127]	[1.153]	[0.350]	[0.063]	[0.073]	[0.073]	[0.096]	[0.272]	[0.100]	[0.193]
asilo_Municipal								0.099		-0.211
								[0.205]		[0.154]
nido	0.025	0.599	0.039	-0.010	-0.062	0.015	0.089	-0.016	-0.033	0.088
	[0.152]	[0.977]	[0.155]	[0.066]	[0.089]	[0.089]	[0.075]	[0.191]	[0.091]	[0.138]
unobs			0.965*							
			[0.503]							
unobs2			-0.079							
			[0.212]							
unobs3			-1.339**							
			[0.665]							
Age	-0.176*	-0.189*	-0.178*	0.002	0.021	0.014	-0.142*	-0.136	-0.043	0.039
	[0.097]	[0.103]	[0.099]	[0.085]	[0.104]	[0.108]	[0.076]	[0.103]	[0.096]	[0.102]
Male	-0.048	-0.042	-0.027	-0.054	-0.124*	-0.116*	-0.071	-0.134**	-0.057	-0.077
	[0.084]	[0.089]	[0.087]	[0.055]	[0.064]	[0.064]	[0.057]	[0.067]	[0.065]	[0.069]
poorBHealth	-0.012	0.010	0.027	0.043	0.022	0.019	0.016	0.000	-0.021	0.009
	[0.123]	[0.139]	[0.128]	[0.069]	[0.099]	[0.097]	[0.079]	[0.104]	[0.092]	[0.115]
oldsibs	0.119	0.053	0.136	-0.061	-0.126	-0.078	0.067	-0.106	0.044	-0.003
	[0.122]	[0.164]	[0.114]	[0.102]	[0.114]	[0.113]	[0.111]	[0.145]	[0.092]	[0.114]
momMaxEdu_Uni_F	0.072	0.079	0.072	-0.011	-0.075	-0.011	0.077	-0.023	-0.035	-0.058
	[0.084]	[0.088]	[0.088]	[0.061]	[0.082]	[0.087]	[0.062]	[0.086]	[0.075]	[0.084]
dadMaxEdu_Uni_F	0.152	0.071	0.126	0.116*	-0.012	0.084	0.110*	-0.020	0.136*	0.137
	[0.093]	[0.162]	[0.098]	[0.066]	[0.105]	[0.087]	[0.064]	[0.107]	[0.079]	[0.091]
momMaxEdu_Uni_Miss	-0.021	-0.011	0.004	-0.152	-0.199	-0.109	-0.034	-0.108	-0.187	-0.177
	[0.249]	[0.259]	[0.262]	[0.281]	[0.401]	[0.318]	[0.196]	[0.259]	[0.251]	[0.345]
dadMaxEdu_Uni_Miss	-0.250*	-0.206	-0.232	-0.030	0.074	-0.028	-0.143	0.010	-0.136	-0.016
	[0.149]	[0.173]	[0.151]	[0.095]	[0.127]	[0.144]	[0.110]	[0.166]	[0.107]	[0.126]
HighInc_F	-0.139	-0.162	-0.142	-0.097	-0.179	-0.051	-0.153*	-0.279**	-0.054	0.025
	[0.113]	[0.121]	[0.114]	[0.078]	[0.146]	[0.083]	[0.080]	[0.134]	[0.097]	[0.097]
HighInc_Miss	-0.008	-0.043	-0.035	-0.068	0.054	-0.001	0.017	0.032	-0.057	-0.067
	[0.107]	[0.126]	[0.128]	[0.073]	[0.100]	[0.082]	[0.076]	[0.098]	[0.081]	[0.086]
houseOwn_F	0.181**	0.149*	0.180**	0.057	0.063	0.050	0.186***	0.238**	0.022	-0.017
	[0.081]	[0.090]	[0.080]	[0.057]	[0.093]	[0.081]	[0.063]	[0.093]	[0.063]	[0.069]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.004	-0.004	-0.006	-0.016	-0.031	-0.027	-0.007	-0.040	-0.011	-0.012
	[0.015]	[0.016]	[0.016]	[0.013]	[0.030]	[0.021]	[0.012]	[0.027]	[0.014]	[0.016]
cgRelig_F	0.115	0.126	0.100	0.016	0.115	-0.049	0.068	0.269	-0.000	-0.097
	[0.132]	[0.135]	[0.126]	[0.079]	[0.151]	[0.110]	[0.094]	[0.194]	[0.092]	[0.109]
cgRelig_Miss	0.360*	0.291	0.397*	-0.212	-0.540	-0.528	-0.502	-0.886**	0.092	-0.011
	[0.185]	[0.258]	[0.218]	[0.215]	[0.331]	[0.361]	[0.439]	[0.422]	[0.145]	[0.161]
CAPI	-0.099	-0.089	-0.088	0.052	-0.100	0.046	-0.048	-0.216**	0.030	0.069
	[0.083]	[0.089]	[0.084]	[0.053]	[0.086]	[0.078]	[0.057]	[0.096]	[0.062]	[0.071]
houseOwn_Miss	0.754***	0.745***		0.063		0.027	0.145		0.605***	
	[0.131]	[0.141]		[0.189]		[0.169]	[0.277]		[0.124]	
Parma							0.003			
							[0.085]			
Reggio								-0.042		-0.077
								[0.128]		[0.113]
nidoXreggio								0.371		0.114
								[0.281]		[0.192]
Padova									0.001	
									[0.079]	
Constant	1.015	1.137	1.299*	0.023	0.050	0.033	0.812	0.871	0.316	-0.138
	[0.641]	[0.691]	[0.692]	[0.580]	[0.682]	[0.751]	[0.518]	[0.692]	[0.658]	[0.682]
										
Observations	308	308	307	725	722	725	596	593	585	583
R-squared	0.093	0.011	0.103	0.019	0.088	0.029	0.062	0.189	0.025	0.032
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.04	.04	.04	.04	.04	.04	.04	.04	.04	.04
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
