	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.160*	-0.766	-0.015	0.059	0.036	0.089	0.027	0.081	0.104	0.144
	[0.089]	[0.800]	[0.231]	[0.050]	[0.058]	[0.135]	[0.070]	[0.171]	[0.070]	[0.164]
asilo_Municipal								-0.083		-0.135
								[0.100]		[0.103]
nido	-0.139	0.630	-0.135	0.005	0.011	-0.235*	0.028	0.061	-0.072	0.095
	[0.094]	[0.676]	[0.095]	[0.045]	[0.068]	[0.138]	[0.053]	[0.124]	[0.055]	[0.095]
unobs			0.301							
			[0.360]							
unobs2			0.023							
			[0.173]							
unobs3			-0.327							
			[0.526]							
Age	0.017	0.003	0.012	0.002	0.006	0.487**	-0.059	-0.125	0.054	0.101
	[0.081]	[0.089]	[0.082]	[0.055]	[0.077]	[0.192]	[0.062]	[0.084]	[0.059]	[0.070]
Male	0.021	0.026	0.031	-0.060	-0.019	-0.338*	-0.054	-0.015	-0.009	0.003
	[0.058]	[0.067]	[0.061]	[0.037]	[0.050]	[0.200]	[0.041]	[0.056]	[0.042]	[0.051]
poorBHealth	0.087	0.120	0.108	0.011	0.057	0.051	0.011	-0.006	0.031	0.099
	[0.096]	[0.118]	[0.103]	[0.061]	[0.085]	[0.127]	[0.069]	[0.099]	[0.070]	[0.094]
oldsibs	0.170	-0.018	0.141	-0.062	-0.131	-0.147	0.082	-0.019	0.002	-0.110
	[0.155]	[0.235]	[0.160]	[0.095]	[0.119]	[0.198]	[0.118]	[0.143]	[0.101]	[0.123]
momMaxEdu_Uni_F	0.111	0.121	0.119	0.045	-0.045	-0.222	0.092*	-0.015	0.071	-0.028
	[0.072]	[0.083]	[0.075]	[0.044]	[0.064]	[0.157]	[0.050]	[0.076]	[0.052]	[0.066]
dadMaxEdu_Uni_F	0.123	0.013	0.112	0.032	0.013	0.198*	0.026	0.007	0.068	0.059
	[0.078]	[0.132]	[0.079]	[0.047]	[0.075]	[0.108]	[0.053]	[0.088]	[0.055]	[0.064]
momMaxEdu_Uni_Miss	0.053	0.062	0.041	-0.040	0.039	0.193	0.036	0.037	-0.099	-0.089
	[0.161]	[0.202]	[0.171]	[0.224]	[0.312]	[0.376]	[0.156]	[0.186]	[0.168]	[0.267]
dadMaxEdu_Uni_Miss	-0.247***	-0.185*	-0.238***	-0.054	0.042	-0.264	-0.142*	-0.128	-0.126*	0.059
	[0.090]	[0.110]	[0.091]	[0.067]	[0.091]	[0.168]	[0.075]	[0.103]	[0.070]	[0.095]
HighInc_F	0.040	0.007	0.034	-0.019	-0.157**	-0.591***	0.012	-0.125	0.017	0.053
	[0.081]	[0.095]	[0.082]	[0.053]	[0.075]	[0.109]	[0.056]	[0.082]	[0.062]	[0.071]
HighInc_Miss	0.016	-0.031	-0.003	0.015	-0.056	-0.275**	0.041	-0.014	0.026	0.013
	[0.074]	[0.096]	[0.086]	[0.047]	[0.056]	[0.108]	[0.053]	[0.067]	[0.050]	[0.059]
houseOwn_F	0.016	-0.027	0.008	-0.030	-0.094*	0.170	-0.002	-0.054	-0.023	-0.049
	[0.059]	[0.075]	[0.061]	[0.040]	[0.054]	[0.161]	[0.044]	[0.063]	[0.043]	[0.050]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.005	0.005	0.005	-0.018*	0.002	0.026	-0.004	0.004	-0.003	-0.008
	[0.011]	[0.013]	[0.012]	[0.010]	[0.015]	[0.034]	[0.009]	[0.013]	[0.010]	[0.011]
cgRelig_F	0.036	0.052	0.025	-0.038	-0.021	-0.997***	-0.002	0.081	-0.013	-0.130*
	[0.080]	[0.097]	[0.081]	[0.055]	[0.078]	[0.165]	[0.063]	[0.087]	[0.060]	[0.075]
cgRelig_Miss	0.531***	0.439*	0.537***	-0.237**	-0.434***	-0.881***	0.103	-0.262*	-0.163	-0.413***
	[0.130]	[0.255]	[0.142]	[0.104]	[0.090]	[0.200]	[0.165]	[0.143]	[0.131]	[0.112]
CAPI	-0.130**	-0.116	-0.127**	-0.000	-0.058	-0.242	-0.075*	-0.147**	-0.048	-0.000
	[0.059]	[0.071]	[0.060]	[0.038]	[0.053]	[0.172]	[0.042]	[0.057]	[0.042]	[0.049]
houseOwn_Miss	0.505***	0.490***		-0.116		-0.019	-0.121		0.540***	
	[0.092]	[0.108]		[0.291]		[0.425]	[0.306]		[0.062]	
Parma							-0.037			
							[0.056]			
Reggio								-0.032		0.002
								[0.097]		[0.075]
nidoXreggio								0.016		-0.039
								[0.184]		[0.160]
Padova									-0.016	
									[0.054]	
Constant	0.263	0.403	0.394	0.509	0.553	-1.470	0.862**	1.370**	0.096	-0.148
	[0.558]	[0.623]	[0.580]	[0.375]	[0.504]	[1.146]	[0.426]	[0.569]	[0.406]	[0.470]
										
Observations	308	308	307	725	722	725	596	593	585	583
R-squared	0.095	-0.183	0.094	0.023	0.100	0.980	0.032	0.080	0.037	0.079
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.44	.44	.44	.44	.44	.44	.44	.44	.44	.44
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
