	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.005	0.045	0.185	0.048	0.152**	0.046	0.012	-0.096	-0.010	0.465***
	[0.057]	[0.217]	[0.249]	[0.045]	[0.068]	[0.069]	[0.056]	[0.098]	[0.056]	[0.140]
unobs			-0.220							
			[0.395]							
unobs2			0.147							
			[0.217]							
unobs3			0.075							
			[0.612]							
Age	-0.055	-0.056	-0.059	0.028	-0.286	-0.309	-0.009	-0.163*	-0.008	-0.006
	[0.084]	[0.084]	[0.084]	[0.055]	[0.175]	[0.217]	[0.061]	[0.083]	[0.060]	[0.156]
Male	-0.060	-0.061	-0.064	-0.082**	0.072	0.277	-0.079*	-0.259***	-0.077*	0.238*
	[0.056]	[0.056]	[0.057]	[0.037]	[0.144]	[0.172]	[0.041]	[0.042]	[0.041]	[0.134]
poorBHealth	0.134	0.131	0.126	0.128**	0.403***	0.438	0.045	0.035	0.193***	0.496***
	[0.082]	[0.083]	[0.084]	[0.059]	[0.143]	[0.276]	[0.063]	[0.083]	[0.060]	[0.120]
oldsibs	0.157	0.169	0.197	0.043	0.140	0.440**	0.129	0.132	0.058	0.175
	[0.123]	[0.130]	[0.127]	[0.102]	[0.170]	[0.182]	[0.108]	[0.116]	[0.094]	[0.128]
momMaxEdu_Uni_F	0.057	0.057	0.059	-0.007	-0.104	-0.264**	0.018	-0.341***	0.009	0.106
	[0.068]	[0.068]	[0.068]	[0.043]	[0.154]	[0.134]	[0.047]	[0.062]	[0.049]	[0.130]
dadMaxEdu_Uni_F	0.038	0.040	0.044	-0.021	-0.370**	0.339*	0.029	-0.009	-0.025	-0.060
	[0.071]	[0.071]	[0.071]	[0.046]	[0.144]	[0.198]	[0.051]	[0.071]	[0.052]	[0.137]
momMaxEdu_Uni_Miss	0.178	0.185	0.193	-0.220	-0.351	-0.435*	0.095	-0.022	0.042	-0.048
	[0.237]	[0.244]	[0.237]	[0.201]	[0.363]	[0.244]	[0.187]	[0.236]	[0.211]	[0.368]
dadMaxEdu_Uni_Miss	0.007	-0.001	-0.017	0.055	-0.497***	0.195	-0.001	-0.312***	0.056	0.013
	[0.098]	[0.100]	[0.099]	[0.064]	[0.135]	[0.132]	[0.075]	[0.087]	[0.069]	[0.158]
HighInc_F	-0.031	-0.034	-0.042	-0.024	-0.582**	0.072	-0.026	-0.253***	-0.021	0.092
	[0.075]	[0.076]	[0.077]	[0.053]	[0.234]	[0.105]	[0.055]	[0.084]	[0.060]	[0.114]
HighInc_Miss	-0.140*	-0.141*	-0.145**	-0.102**	-0.157	0.058	-0.046	-0.120*	-0.184***	-0.017
	[0.073]	[0.073]	[0.073]	[0.045]	[0.122]	[0.206]	[0.053]	[0.070]	[0.049]	[0.110]
houseOwn_F	0.024	0.028	0.036	0.033	0.493***	0.057	0.060	0.121**	0.015	0.506***
	[0.058]	[0.063]	[0.062]	[0.040]	[0.158]	[0.157]	[0.044]	[0.056]	[0.043]	[0.152]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.002	-0.002	0.000	0.005	0.039	-0.042	-0.002	-0.040***	-0.003	0.097***
	[0.011]	[0.011]	[0.011]	[0.010]	[0.029]	[0.037]	[0.009]	[0.012]	[0.010]	[0.029]
cgRelig_F	0.115	0.124	0.132	0.022	0.275**	-0.032	0.081	-0.038	0.052	0.198
	[0.085]	[0.094]	[0.094]	[0.054]	[0.124]	[0.116]	[0.062]	[0.068]	[0.059]	[0.130]
cgRelig_Miss	0.583***	0.581***	0.596***	-0.151	0.131	-1.018***	0.122	-0.414***	-0.033	0.118
	[0.139]	[0.145]	[0.162]	[0.121]	[0.152]	[0.205]	[0.190]	[0.098]	[0.138]	[0.182]
CAPI	0.190***	0.184***	0.178***	0.057	0.064	0.593***	0.132***	0.167***	0.096**	-0.174**
	[0.059]	[0.063]	[0.064]	[0.037]	[0.081]	[0.157]	[0.042]	[0.054]	[0.041]	[0.073]
houseOwn_Miss	-0.272***	-0.248*		0.237		0.144	0.265		-0.358***	
	[0.092]	[0.141]		[0.268]		[0.604]	[0.270]		[0.064]	
Parma							-0.062			
							[0.052]			
Reggio								0.068		-0.012
								[0.078]		[0.087]
materna_Municipal								0.085		-0.467***
								[0.072]		[0.118]
Padova									-0.027	
									[0.053]	
Constant	0.770	0.743	0.643	0.327	1.949	2.171	0.496	1.972***	0.617	-0.252
	[0.581]	[0.595]	[0.599]	[0.376]	[1.322]	[1.437]	[0.423]	[0.578]	[0.414]	[1.130]
										
Observations	308	308	307	730	727	727	595	592	585	583
R-squared	0.113	0.110	0.113	0.037	0.996	0.796	0.043	0.791	0.076	0.699
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.58	.58	.58	.58	.58	.58	.58	.58	.58	.58
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
