	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.074	-0.858	-0.273	-0.013	0.001	0.009	0.022	0.015	-0.042	0.065
	[0.064]	[0.701]	[0.190]	[0.038]	[0.040]	[0.047]	[0.054]	[0.125]	[0.052]	[0.110]
asilo_Municipal								-0.052		-0.113
								[0.081]		[0.070]
nido	0.129*	0.777	0.168**	-0.005	-0.007	0.000	0.006	0.055	0.074*	0.120**
	[0.069]	[0.584]	[0.071]	[0.033]	[0.045]	[0.061]	[0.039]	[0.088]	[0.040]	[0.053]
unobs			0.101							
			[0.283]							
unobs2			-0.186							
			[0.144]							
unobs3			0.251							
			[0.408]							
Age	-0.252***	-0.269***	-0.258***	-0.097**	-0.082	-0.100	-0.172***	-0.157***	-0.137***	-0.094*
	[0.062]	[0.075]	[0.063]	[0.042]	[0.054]	[0.063]	[0.045]	[0.054]	[0.045]	[0.052]
Male	-0.078*	-0.073	-0.055	-0.084***	-0.105***	-0.127***	-0.113***	-0.112***	-0.062*	-0.032
	[0.046]	[0.054]	[0.049]	[0.028]	[0.032]	[0.035]	[0.031]	[0.035]	[0.032]	[0.037]
poorBHealth	0.016	0.042	0.054	0.091**	0.112**	0.135***	0.061	0.055	0.044	0.073
	[0.068]	[0.091]	[0.072]	[0.039]	[0.050]	[0.045]	[0.046]	[0.060]	[0.048]	[0.068]
oldsibs	0.006	-0.083	0.040	0.030	0.018	0.012	0.027	0.078	0.008	0.009
	[0.065]	[0.127]	[0.060]	[0.057]	[0.074]	[0.078]	[0.057]	[0.055]	[0.050]	[0.060]
momMaxEdu_Uni_F	-0.021	-0.011	-0.006	0.022	0.062	0.025	0.034	0.069	-0.028	-0.040
	[0.053]	[0.067]	[0.056]	[0.031]	[0.043]	[0.062]	[0.036]	[0.046]	[0.037]	[0.049]
dadMaxEdu_Uni_F	-0.014	-0.106	-0.018	-0.000	-0.006	0.009	-0.007	-0.018	0.001	-0.005
	[0.058]	[0.106]	[0.059]	[0.035]	[0.053]	[0.067]	[0.039]	[0.053]	[0.040]	[0.053]
momMaxEdu_Uni_Miss	-0.329	-0.319*	-0.355*	-0.182	-0.391**	-0.261	-0.204	-0.316	-0.273	-0.403**
	[0.218]	[0.192]	[0.200]	[0.175]	[0.193]	[0.189]	[0.164]	[0.196]	[0.170]	[0.167]
dadMaxEdu_Uni_Miss	-0.084	-0.033	-0.075	-0.131**	-0.187**	-0.163**	-0.131*	-0.235***	-0.123*	-0.091
	[0.096]	[0.112]	[0.093]	[0.058]	[0.076]	[0.081]	[0.067]	[0.081]	[0.065]	[0.074]
HighInc_F	-0.023	-0.050	-0.019	0.006	0.016	0.042	0.033	0.028	-0.020	0.010
	[0.063]	[0.075]	[0.063]	[0.037]	[0.045]	[0.041]	[0.041]	[0.048]	[0.045]	[0.054]
HighInc_Miss	0.024	-0.014	-0.039	-0.066*	-0.027	-0.041	0.020	0.021	-0.078*	-0.072
	[0.062]	[0.077]	[0.067]	[0.039]	[0.058]	[0.051]	[0.043]	[0.054]	[0.042]	[0.049]
houseOwn_F	0.009	-0.026	-0.014	0.015	-0.034	0.021	0.030	0.022	0.001	-0.026
	[0.050]	[0.068]	[0.050]	[0.031]	[0.044]	[0.048]	[0.036]	[0.046]	[0.034]	[0.044]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.001	-0.001	-0.001	0.002	0.010	-0.000	0.003	0.008	-0.003	-0.014
	[0.009]	[0.010]	[0.009]	[0.007]	[0.008]	[0.011]	[0.006]	[0.007]	[0.008]	[0.010]
cgRelig_F	0.006	0.020	-0.006	-0.020	-0.047	-0.002	-0.053	-0.084*	0.053	0.054
	[0.073]	[0.084]	[0.072]	[0.041]	[0.048]	[0.072]	[0.047]	[0.050]	[0.051]	[0.062]
cgRelig_Miss	-0.085	-0.217	0.149	-0.057	-0.245	-0.076	-0.241*	-0.374**	0.067	0.071
	[0.162]	[0.327]	[0.092]	[0.110]	[0.159]	[0.152]	[0.144]	[0.164]	[0.117]	[0.157]
CAPI	0.054	0.065	0.060	-0.022	0.022	-0.020	0.046	0.088**	-0.028	-0.026
	[0.050]	[0.060]	[0.050]	[0.029]	[0.038]	[0.046]	[0.033]	[0.037]	[0.033]	[0.038]
houseOwn_Miss	-0.133	-0.306		-0.118		0.001	0.080		-0.383	
	[0.397]	[0.553]		[0.250]		[0.213]	[0.160]		[0.312]	
Parma							0.031			
							[0.043]			
Reggio								-0.075		-0.078
								[0.067]		[0.061]
nidoXreggio								0.067		0.014
								[0.132]		[0.113]
Padova									0.014	
									[0.041]	
Constant	2.488***	2.639***	2.661***	1.549***	1.448***	1.533***	1.987***	1.903***	1.754***	1.516***
	[0.437]	[0.539]	[0.458]	[0.288]	[0.367]	[0.427]	[0.314]	[0.375]	[0.311]	[0.352]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.106	-0.195	0.121	0.048	0.127	0.063	0.077	0.199	0.072	0.076
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.79	.79	.79	.79	.79	.79	.79	.79	.79	.79
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
