	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.004	0.093	-0.076	-0.015	-0.017	-0.013	0.003	0.052	-0.003	-0.027
	[0.038]	[0.151]	[0.217]	[0.027]	[0.028]	[0.028]	[0.036]	[0.056]	[0.036]	[0.056]
unobs			0.216							
			[0.311]							
unobs2			-0.028							
			[0.132]							
unobs3			-0.451							
			[0.376]							
Age	-0.045	-0.046	-0.043	0.008	0.014	0.027	-0.013	0.016	-0.003	0.005
	[0.051]	[0.050]	[0.050]	[0.033]	[0.037]	[0.037]	[0.040]	[0.042]	[0.034]	[0.033]
Male	-0.059*	-0.061*	-0.061*	-0.064***	-0.052**	-0.064***	-0.068***	-0.052*	-0.068***	-0.063**
	[0.035]	[0.036]	[0.036]	[0.021]	[0.025]	[0.025]	[0.024]	[0.028]	[0.024]	[0.028]
poorBHealth	0.054	0.049	0.050	0.002	-0.000	-0.003	0.009	-0.004	0.012	0.016
	[0.054]	[0.056]	[0.058]	[0.037]	[0.040]	[0.040]	[0.043]	[0.047]	[0.042]	[0.041]
oldsibs	-0.018	-0.004	0.033	-0.021	0.000	-0.031	-0.033	0.024	-0.039	-0.002
	[0.051]	[0.056]	[0.055]	[0.057]	[0.053]	[0.065]	[0.054]	[0.044]	[0.046]	[0.044]
momMaxEdu_Uni_F	-0.020	-0.021	-0.026	-0.039	-0.043	-0.042	-0.017	-0.009	-0.039	-0.021
	[0.042]	[0.042]	[0.042]	[0.025]	[0.029]	[0.032]	[0.030]	[0.034]	[0.028]	[0.033]
dadMaxEdu_Uni_F	0.023	0.026	0.028	0.016	0.006	0.028	0.011	0.010	0.028	0.004
	[0.041]	[0.041]	[0.040]	[0.025]	[0.030]	[0.031]	[0.030]	[0.036]	[0.027]	[0.035]
momMaxEdu_Uni_Miss	-0.330	-0.319	-0.302	-0.403**	-0.524***	-0.357*	-0.241	-0.312	-0.315*	-0.381*
	[0.204]	[0.221]	[0.200]	[0.183]	[0.198]	[0.188]	[0.161]	[0.194]	[0.175]	[0.197]
dadMaxEdu_Uni_Miss	-0.069	-0.081	-0.084	-0.066	-0.057	-0.025	-0.102*	-0.088	-0.023	-0.010
	[0.076]	[0.081]	[0.079]	[0.045]	[0.049]	[0.044]	[0.060]	[0.062]	[0.046]	[0.050]
HighInc_F	-0.037	-0.043	-0.044	-0.037	-0.018	-0.038	-0.047	-0.053	-0.018	-0.002
	[0.044]	[0.044]	[0.044]	[0.032]	[0.032]	[0.037]	[0.034]	[0.036]	[0.034]	[0.037]
HighInc_Miss	-0.045	-0.047	-0.049	-0.030	-0.033	-0.040	-0.022	-0.055	-0.043	-0.040
	[0.046]	[0.047]	[0.045]	[0.026]	[0.028]	[0.032]	[0.032]	[0.038]	[0.030]	[0.030]
houseOwn_F	0.016	0.025	0.022	0.014	-0.006	0.009	0.022	0.006	0.007	-0.021
	[0.039]	[0.039]	[0.040]	[0.023]	[0.026]	[0.026]	[0.028]	[0.031]	[0.027]	[0.029]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.005	0.006	0.006	0.003	0.009*	0.005	0.004	0.007	0.002	0.007
	[0.007]	[0.007]	[0.007]	[0.005]	[0.005]	[0.006]	[0.005]	[0.004]	[0.006]	[0.007]
cgRelig_F	0.035	0.050	0.039	-0.012	-0.043	-0.035	-0.005	-0.040	0.001	-0.014
	[0.058]	[0.064]	[0.064]	[0.030]	[0.030]	[0.030]	[0.036]	[0.034]	[0.037]	[0.036]
cgRelig_Miss	-0.020	-0.024	0.137**	-0.059	-0.065	-0.077	-0.115	-0.144	-0.041	0.020
	[0.135]	[0.139]	[0.069]	[0.087]	[0.085]	[0.102]	[0.137]	[0.213]	[0.092]	[0.081]
CAPI	-0.025	-0.034	-0.036	0.016	0.028	0.011	0.012	0.024	-0.011	-0.006
	[0.038]	[0.040]	[0.038]	[0.022]	[0.027]	[0.027]	[0.026]	[0.027]	[0.026]	[0.027]
houseOwn_Miss	-0.307	-0.268		0.106***		0.114***	-0.081		-0.155	
	[0.343]	[0.351]		[0.029]		[0.031]	[0.163]		[0.233]	
Parma							0.008			
							[0.032]			
Reggio								-0.032		-0.008
								[0.038]		[0.036]
materna_Municipal								-0.059		0.020
								[0.041]		[0.040]
Padova									0.018	
									[0.032]	
Constant	1.210***	1.159***	1.240***	0.904***	0.873***	0.791***	1.018***	0.882***	0.974***	0.934***
	[0.344]	[0.376]	[0.391]	[0.224]	[0.252]	[0.253]	[0.275]	[0.283]	[0.235]	[0.229]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.070	0.052	0.067	0.040	0.046	0.034	0.041	0.052	0.042	0.038
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.89	.89	.89	.89	.89	.89	.89	.89	.89	.89
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
