	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.047	0.406	0.554	-0.015	-0.002	-0.010	-0.025	0.049	-0.055	-0.093
	[0.093]	[0.393]	[0.546]	[0.073]	[0.074]	[0.076]	[0.091]	[0.140]	[0.092]	[0.158]
unobs			-0.699							
			[0.799]							
unobs2			0.143							
			[0.325]							
unobs3			0.244							
			[0.996]							
Age	-0.409***	-0.416***	-0.416***	0.040	0.014	0.062	-0.202**	-0.261**	-0.023	0.040
	[0.130]	[0.132]	[0.129]	[0.088]	[0.108]	[0.093]	[0.097]	[0.105]	[0.098]	[0.110]
Male	-0.214**	-0.224**	-0.226**	-0.242***	-0.235***	-0.246***	-0.232***	-0.233***	-0.255***	-0.258***
	[0.092]	[0.096]	[0.093]	[0.058]	[0.066]	[0.064]	[0.065]	[0.072]	[0.065]	[0.071]
poorBHealth	0.180	0.153	0.151	0.169*	0.125	0.115	0.129	0.044	0.161	0.072
	[0.149]	[0.150]	[0.153]	[0.092]	[0.104]	[0.092]	[0.108]	[0.113]	[0.106]	[0.122]
oldsibs	0.076	0.150	0.161	0.026	0.007	0.078	0.096	0.044	0.061	0.017
	[0.129]	[0.173]	[0.156]	[0.132]	[0.127]	[0.147]	[0.131]	[0.139]	[0.098]	[0.104]
momMaxEdu_Uni_F	0.032	0.028	0.034	-0.075	-0.145*	-0.057	-0.012	-0.053	-0.040	-0.063
	[0.110]	[0.114]	[0.111]	[0.067]	[0.078]	[0.077]	[0.076]	[0.085]	[0.077]	[0.089]
dadMaxEdu_Uni_F	0.037	0.052	0.056	-0.018	0.034	0.009	0.015	0.011	0.015	0.061
	[0.113]	[0.119]	[0.114]	[0.070]	[0.078]	[0.078]	[0.080]	[0.090]	[0.077]	[0.089]
momMaxEdu_Uni_Miss	-0.342	-0.282	-0.292	-0.689***	-0.816***	-0.628***	-0.326	-0.436	-0.421	-0.518*
	[0.371]	[0.459]	[0.367]	[0.215]	[0.222]	[0.223]	[0.266]	[0.340]	[0.282]	[0.307]
dadMaxEdu_Uni_Miss	-0.063	-0.127	-0.133	-0.142	-0.171	-0.128	-0.150	-0.168	-0.065	-0.068
	[0.184]	[0.209]	[0.197]	[0.110]	[0.123]	[0.113]	[0.142]	[0.148]	[0.117]	[0.125]
HighInc_F	-0.098	-0.131	-0.134	-0.071	-0.091	-0.063	-0.069	-0.091	-0.087	-0.136
	[0.123]	[0.124]	[0.122]	[0.079]	[0.081]	[0.085]	[0.085]	[0.091]	[0.091]	[0.098]
HighInc_Miss	-0.100	-0.109	-0.114	-0.273***	-0.349***	-0.267***	-0.097	-0.164*	-0.310***	-0.382***
	[0.113]	[0.122]	[0.113]	[0.073]	[0.076]	[0.077]	[0.083]	[0.096]	[0.081]	[0.085]
houseOwn_F	0.061	0.105	0.108	0.054	0.082	0.028	0.102	0.092	0.039	0.065
	[0.093]	[0.103]	[0.101]	[0.062]	[0.071]	[0.067]	[0.070]	[0.074]	[0.068]	[0.080]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.002	0.002	0.004	0.004	0.001	0.003	0.001	-0.001	-0.006	0.001
	[0.018]	[0.018]	[0.017]	[0.015]	[0.016]	[0.016]	[0.013]	[0.014]	[0.016]	[0.017]
cgRelig_F	0.142	0.221	0.229	0.072	0.032	0.050	0.098	0.071	0.080	0.039
	[0.141]	[0.165]	[0.159]	[0.079]	[0.081]	[0.074]	[0.092]	[0.094]	[0.093]	[0.097]
cgRelig_Miss	0.896***	0.883***	0.882***	-0.337	-0.491**	-0.505**	-0.079	-0.749	-0.109	-0.294
	[0.204]	[0.275]	[0.213]	[0.240]	[0.232]	[0.225]	[0.432]	[0.459]	[0.268]	[0.250]
CAPI	0.172*	0.124	0.127	0.065	0.064	0.076	0.098	0.115*	0.082	0.051
	[0.096]	[0.107]	[0.102]	[0.060]	[0.069]	[0.065]	[0.066]	[0.069]	[0.067]	[0.075]
houseOwn_Miss	0.005	0.222		0.339		0.327	0.576*		-0.440	
	[0.155]	[0.242]		[0.496]		[0.500]	[0.312]		[0.295]	
Parma							-0.051			
							[0.082]			
Reggio								0.058		0.056
								[0.099]		[0.102]
materna_Municipal								-0.121		0.019
								[0.101]		[0.124]
Padova									-0.035	
									[0.083]	
Constant	2.705***	2.442**	2.318**	-0.143	0.085	-0.281	1.372**	1.832**	0.330	-0.073
	[0.886]	[0.963]	[1.013]	[0.595]	[0.729]	[0.638]	[0.664]	[0.712]	[0.667]	[0.743]
										
Observations	308	308	307	731	728	731	596	593	585	583
R-squared	0.116	0.042	0.121	0.073	0.132	0.079	0.057	0.103	0.080	0.119
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.02	.02	.02	.02	.02	.02	.02	.02	.02	.02
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
