	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.029	-0.119	-0.359	0.007	-0.019	-0.021	0.017	0.095	0.031	-0.064
	[0.058]	[0.259]	[0.364]	[0.045]	[0.047]	[0.047]	[0.057]	[0.085]	[0.057]	[0.088]
unobs			0.555							
			[0.538]							
unobs2			-0.188							
			[0.214]							
unobs3			-0.527							
			[0.675]							
Age	0.123	0.126	0.126	-0.002	0.038	0.014	0.072	0.115*	-0.010	0.007
	[0.080]	[0.080]	[0.080]	[0.054]	[0.056]	[0.055]	[0.059]	[0.062]	[0.059]	[0.064]
Male	0.074	0.077	0.079	0.110***	0.107***	0.110***	0.102**	0.121***	0.099**	0.090**
	[0.058]	[0.059]	[0.059]	[0.036]	[0.039]	[0.039]	[0.041]	[0.043]	[0.041]	[0.045]
poorBHealth	-0.081	-0.072	-0.070	-0.042	0.029	0.005	-0.049	-0.009	-0.057	0.032
	[0.093]	[0.095]	[0.094]	[0.063]	[0.067]	[0.062]	[0.067]	[0.067]	[0.068]	[0.076]
oldsibs	-0.073	-0.096	-0.095	-0.055	0.001	-0.094	-0.078	-0.006	-0.090	-0.019
	[0.088]	[0.105]	[0.108]	[0.085]	[0.079]	[0.090]	[0.084]	[0.087]	[0.071]	[0.071]
momMaxEdu_Uni_F	-0.111	-0.109	-0.117	0.024	0.035	0.010	-0.040	-0.015	-0.017	-0.019
	[0.071]	[0.072]	[0.072]	[0.043]	[0.045]	[0.046]	[0.047]	[0.050]	[0.050]	[0.055]
dadMaxEdu_Uni_F	-0.027	-0.032	-0.034	0.019	0.001	-0.009	-0.002	0.023	-0.002	-0.026
	[0.075]	[0.076]	[0.076]	[0.045]	[0.048]	[0.048]	[0.051]	[0.054]	[0.052]	[0.057]
momMaxEdu_Uni_Miss	0.131	0.112	0.131	0.382***	0.367***	0.392***	0.228*	0.246*	0.211*	0.215*
	[0.159]	[0.182]	[0.168]	[0.050]	[0.056]	[0.049]	[0.120]	[0.134]	[0.123]	[0.126]
dadMaxEdu_Uni_Miss	0.035	0.056	0.059	0.067	0.067	0.051	0.057	0.083	0.043	0.037
	[0.107]	[0.118]	[0.114]	[0.062]	[0.065]	[0.067]	[0.076]	[0.079]	[0.071]	[0.074]
HighInc_F	0.038	0.049	0.050	0.052	0.071	0.058	0.074	0.068	0.042	0.086
	[0.079]	[0.080]	[0.081]	[0.052]	[0.057]	[0.055]	[0.055]	[0.062]	[0.061]	[0.065]
HighInc_Miss	0.022	0.025	0.031	0.145***	0.184***	0.149***	0.027	0.029	0.157***	0.196***
	[0.071]	[0.074]	[0.072]	[0.043]	[0.043]	[0.045]	[0.051]	[0.054]	[0.048]	[0.051]
houseOwn_F	-0.046	-0.060	-0.063	-0.012	-0.007	0.015	-0.047	-0.036	-0.021	-0.015
	[0.059]	[0.064]	[0.064]	[0.039]	[0.040]	[0.041]	[0.043]	[0.047]	[0.043]	[0.045]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.012	-0.013	-0.015	-0.002	0.000	-0.002	-0.007	-0.009	-0.005	-0.004
	[0.012]	[0.012]	[0.012]	[0.010]	[0.010]	[0.010]	[0.009]	[0.010]	[0.010]	[0.011]
cgRelig_F	-0.070	-0.096	-0.104	-0.054	-0.060	-0.095*	-0.068	-0.066	-0.049	-0.050
	[0.084]	[0.096]	[0.097]	[0.052]	[0.054]	[0.057]	[0.059]	[0.065]	[0.060]	[0.063]
cgRelig_Miss	-0.660***	-0.653***	-0.604***	0.013	0.109	0.049	-0.250	0.028	-0.073	0.093
	[0.110]	[0.124]	[0.108]	[0.114]	[0.090]	[0.097]	[0.169]	[0.140]	[0.131]	[0.105]
CAPI	-0.116**	-0.100	-0.107*	-0.056	-0.044	-0.058	-0.076*	-0.068	-0.063	-0.034
	[0.059]	[0.063]	[0.063]	[0.037]	[0.039]	[0.039]	[0.041]	[0.044]	[0.041]	[0.046]
houseOwn_Miss	0.104	0.040		-0.342		-0.327	-0.355		-0.007	
	[0.157]	[0.197]		[0.260]		[0.263]	[0.219]		[0.229]	
Parma							0.039			
							[0.052]			
Reggio								-0.108*		0.002
								[0.064]		[0.062]
materna_Municipal								-0.065		0.094
								[0.060]		[0.063]
Padova									0.008	
									[0.053]	
Constant	-0.076	0.009	0.188	0.576	0.289	0.517	0.183	-0.062	0.650	0.478
	[0.558]	[0.567]	[0.606]	[0.366]	[0.385]	[0.377]	[0.408]	[0.436]	[0.409]	[0.438]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.084	0.063	0.084	0.044	0.071	0.052	0.044	0.053	0.046	0.073
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.59	.59	.59	.59	.59	.59	.59	.59	.59	.59
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
