	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.121	0.134	0.214	-0.059	0.001	-0.031	-0.160	0.304	-0.246**	-0.308
	[0.136]	[1.300]	[0.396]	[0.080]	[0.083]	[0.096]	[0.115]	[0.260]	[0.121]	[0.260]
asilo_Municipal								-0.214		0.335
								[0.204]		[0.206]
nido	-0.204	-0.415	-0.206	0.032	-0.060	-0.036	-0.145	-0.033	0.015	-0.133
	[0.160]	[1.096]	[0.157]	[0.079]	[0.090]	[0.096]	[0.089]	[0.210]	[0.102]	[0.182]
unobs			-0.825							
			[0.608]							
unobs2			0.039							
			[0.229]							
unobs3			1.411*							
			[0.816]							
Age	0.359**	0.364**	0.354**	-0.032	0.005	-0.003	0.228**	0.200*	0.024	-0.007
	[0.141]	[0.146]	[0.142]	[0.103]	[0.112]	[0.119]	[0.105]	[0.114]	[0.116]	[0.121]
Male	0.137	0.135	0.133	0.204***	0.279***	0.231***	0.145**	0.186**	0.221***	0.282***
	[0.097]	[0.100]	[0.099]	[0.063]	[0.076]	[0.080]	[0.069]	[0.077]	[0.073]	[0.088]
poorBHealth	-0.085	-0.094	-0.091	-0.017	0.038	0.120	0.003	0.006	-0.066	0.011
	[0.155]	[0.159]	[0.168]	[0.099]	[0.141]	[0.138]	[0.104]	[0.121]	[0.124]	[0.174]
oldsibs	-0.019	0.005	-0.049	-0.109	-0.065	-0.054	-0.001	0.058	-0.124	-0.138
	[0.092]	[0.156]	[0.108]	[0.127]	[0.114]	[0.152]	[0.124]	[0.116]	[0.088]	[0.088]
momMaxEdu_Uni_F	-0.187*	-0.190*	-0.170	-0.074	0.109	0.121	-0.094	0.077	-0.136	-0.048
	[0.111]	[0.112]	[0.118]	[0.074]	[0.102]	[0.110]	[0.079]	[0.098]	[0.088]	[0.117]
dadMaxEdu_Uni_F	-0.345***	-0.316*	-0.331***	-0.131*	-0.176*	-0.206*	-0.272***	-0.280***	-0.185**	-0.178*
	[0.112]	[0.179]	[0.114]	[0.077]	[0.097]	[0.114]	[0.081]	[0.102]	[0.089]	[0.102]
momMaxEdu_Uni_Miss	0.424	0.420	0.374	0.311	0.745*	0.564	0.360	0.702**	0.334	0.583
	[0.360]	[0.357]	[0.359]	[0.440]	[0.418]	[0.415]	[0.293]	[0.305]	[0.342]	[0.358]
dadMaxEdu_Uni_Miss	0.182	0.166	0.174	0.137	-0.103	-0.014	-0.016	-0.254**	0.305**	0.111
	[0.191]	[0.213]	[0.190]	[0.132]	[0.165]	[0.156]	[0.140]	[0.120]	[0.133]	[0.196]
HighInc_F	0.148	0.157	0.149	0.115	0.084	0.145	0.183**	0.186*	0.011	-0.043
	[0.122]	[0.128]	[0.122]	[0.085]	[0.109]	[0.097]	[0.092]	[0.112]	[0.100]	[0.104]
HighInc_Miss	-0.197	-0.184	-0.212	0.196**	0.163*	0.217**	-0.034	0.011	0.055	0.046
	[0.124]	[0.143]	[0.156]	[0.081]	[0.086]	[0.089]	[0.086]	[0.096]	[0.094]	[0.096]
houseOwn_F	-0.310***	-0.298***	-0.323***	-0.201***	-0.274***	-0.324***	-0.355***	-0.421***	-0.128*	-0.096
	[0.098]	[0.110]	[0.099]	[0.067]	[0.079]	[0.093]	[0.074]	[0.082]	[0.074]	[0.084]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.001	0.001	0.004	0.008	-0.008	0.019	-0.011	-0.014	0.014	0.025
	[0.021]	[0.021]	[0.022]	[0.016]	[0.023]	[0.027]	[0.015]	[0.020]	[0.018]	[0.019]
cgRelig_F	-0.183	-0.187	-0.178	-0.058	-0.060	-0.069	-0.139	-0.260**	-0.080	0.118
	[0.155]	[0.158]	[0.153]	[0.090]	[0.111]	[0.137]	[0.105]	[0.119]	[0.105]	[0.141]
cgRelig_Miss	-0.907***	-0.882***	-0.905***	0.031	0.273	0.181	0.015	0.401	-0.214	0.197
	[0.255]	[0.301]	[0.288]	[0.212]	[0.204]	[0.248]	[0.471]	[0.244]	[0.203]	[0.217]
CAPI	0.109	0.105	0.101	0.099	0.242***	0.124	0.123*	0.266***	0.066	0.024
	[0.103]	[0.106]	[0.103]	[0.063]	[0.085]	[0.091]	[0.069]	[0.082]	[0.073]	[0.081]
houseOwn_Miss	0.519***	0.522***		-0.114		-0.517	-0.079		0.570***	
	[0.177]	[0.180]		[0.405]		[0.465]	[0.365]		[0.112]	
Parma							-0.156			
							[0.098]			
Reggio								0.167		0.248**
								[0.138]		[0.121]
nidoXreggio								-0.397		-0.203
								[0.274]		[0.245]
Padova									-0.112	
									[0.094]	
Constant	-1.859*	-1.904*	-2.002**	0.113	-0.170	-0.085	-1.072	-1.007	-0.020	-0.218
	[0.959]	[1.006]	[1.016]	[0.693]	[0.803]	[0.842]	[0.708]	[0.799]	[0.781]	[0.853]
										
Observations	308	308	307	725	722	725	596	593	585	583
R-squared	0.195	0.189	0.199	0.054	0.101	0.073	0.124	0.182	0.082	0.093
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.04	.04	.04	.04	.04	.04	.04	.04	.04	.04
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
