	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.007	-0.005	-0.026	-0.001	-0.002	-0.002	0.005	-0.010	0.005	0.001
	[0.013]	[0.051]	[0.077]	[0.009]	[0.008]	[0.009]	[0.013]	[0.021]	[0.013]	[0.013]
unobsM			0.054							
			[0.119]							
unobsM2			0.013							
			[0.032]							
unobsM3			-0.062							
			[0.131]							
Age	0.002	0.001	0.002	-0.013	-0.014*	-0.014	-0.017	-0.018	0.001	-0.000
	[0.008]	[0.010]	[0.009]	[0.009]	[0.009]	[0.009]	[0.012]	[0.011]	[0.004]	[0.003]
Male	0.026*	0.026*	0.025*	0.008	0.005	0.007	0.012	0.009	0.017**	0.017**
	[0.013]	[0.013]	[0.013]	[0.009]	[0.008]	[0.009]	[0.011]	[0.010]	[0.008]	[0.008]
poorBHealth	0.022*	0.021	0.021*	-0.016	-0.022	-0.018	-0.018	-0.026	0.014**	0.011*
	[0.012]	[0.013]	[0.012]	[0.021]	[0.022]	[0.021]	[0.025]	[0.027]	[0.007]	[0.006]
oldsibs	0.029**	0.029**	0.029*	0.012	0.010	0.011	0.021*	0.016*	0.015**	0.013**
	[0.015]	[0.015]	[0.015]	[0.008]	[0.006]	[0.007]	[0.011]	[0.009]	[0.007]	[0.006]
momMaxEdu_Uni_F	-0.015	-0.017	-0.016	-0.004	-0.010	-0.003	-0.012	-0.019	-0.004	-0.003
	[0.020]	[0.019]	[0.018]	[0.011]	[0.013]	[0.011]	[0.016]	[0.016]	[0.010]	[0.009]
dadMaxEdu_Uni_F	0.001	0.002	0.001	-0.004	-0.002	-0.007	-0.018	-0.013	0.004	0.003
	[0.021]	[0.021]	[0.021]	[0.012]	[0.011]	[0.012]	[0.018]	[0.016]	[0.010]	[0.009]
momMaxEdu_Uni_Miss	0.035	0.034	0.034	0.018*	0.009	0.016*	0.028*	0.015	0.017	0.010
	[0.023]	[0.022]	[0.023]	[0.009]	[0.006]	[0.008]	[0.015]	[0.011]	[0.011]	[0.009]
dadMaxEdu_Uni_Miss	-0.045	-0.044	-0.044	-0.024	-0.021	-0.022	-0.039	-0.037	-0.026	-0.024
	[0.035]	[0.038]	[0.037]	[0.019]	[0.017]	[0.018]	[0.025]	[0.023]	[0.021]	[0.020]
HighInc_F	-0.024	-0.023	-0.022	-0.005	0.002	-0.002	0.001	0.008	-0.016	-0.009
	[0.023]	[0.022]	[0.023]	[0.012]	[0.010]	[0.011]	[0.014]	[0.011]	[0.015]	[0.010]
HighInc_Miss	-0.019	-0.018	-0.017	-0.013	-0.009	-0.013	-0.021	-0.016	-0.014	-0.010
	[0.017]	[0.017]	[0.018]	[0.011]	[0.009]	[0.011]	[0.016]	[0.014]	[0.010]	[0.009]
houseOwn_F	-0.010	-0.010	-0.008	-0.013	-0.014	-0.014	-0.014	-0.015	-0.012*	-0.009*
	[0.008]	[0.008]	[0.008]	[0.012]	[0.010]	[0.012]	[0.015]	[0.014]	[0.006]	[0.005]
distCenter	0.004*	0.004*	0.004	0.005**	0.004**	0.004**	0.003**	0.003**	0.003**	0.003*
	[0.002]	[0.002]	[0.002]	[0.002]	[0.001]	[0.002]	[0.002]	[0.001]	[0.002]	[0.002]
cgRelig_F	0.007	0.004	0.002	0.002	-0.006	0.002	0.004	-0.006	-0.001	-0.007
	[0.017]	[0.009]	[0.010]	[0.013]	[0.009]	[0.012]	[0.016]	[0.013]	[0.010]	[0.007]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.004	-0.002	-0.003	-0.014*	-0.011*	-0.015*	-0.015	-0.012	-0.005	-0.005
	[0.014]	[0.018]	[0.016]	[0.008]	[0.006]	[0.008]	[0.010]	[0.008]	[0.008]	[0.007]
cgRelig_Miss	0.011	0.014		0.022		0.023*	0.016		0.009	
	[0.026]	[0.035]		[0.014]		[0.013]	[0.020]		[0.009]	
Parma							0.001			
							[0.014]			
Reggio								0.002		-0.010
								[0.016]		[0.011]
materna_Municipal								0.015		0.004
								[0.017]		[0.005]
Padova									0.011	
									[0.012]	
Constant	0.927***	0.953***	0.955***	1.245***	1.274***	1.260***	1.311***	1.335***	0.970***	1.003***
	[0.145]	[0.191]	[0.183]	[0.156]	[0.163]	[0.158]	[0.222]	[0.209]	[0.069]	[0.069]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.059	0.056	0.060	0.029	0.028	0.029	0.041	0.043	0.038	0.036
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.99	.99	.99	.99	.99	.99	.99	.99	.99	.99
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
