	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.011	-1.292	-0.103	-0.048	-0.067	-0.042	0.048	0.159	-0.006	-0.618**
	[0.128]	[1.077]	[0.246]	[0.046]	[0.062]	[0.048]	[0.067]	[0.203]	[0.073]	[0.283]
asilo_Municipal								-0.186*		0.589**
								[0.097]		[0.233]
nido	0.051	1.267	0.050	0.060	0.082	0.054	0.025	0.116	0.065	-0.327
	[0.130]	[1.007]	[0.144]	[0.040]	[0.061]	[0.043]	[0.047]	[0.092]	[0.058]	[0.231]
unobsA			0.194							
			[0.334]							
unobsA2			-0.104							
			[0.168]							
unobsA3			-0.166							
			[0.490]							
Age	0.039	-0.060	0.010	-0.035	0.113*	-0.049	-0.008	0.016	0.024	0.126*
	[0.075]	[0.097]	[0.075]	[0.050]	[0.066]	[0.054]	[0.052]	[0.062]	[0.055]	[0.075]
Male	-0.029	-0.025	-0.020	-0.037	-0.037	-0.056	-0.057	-0.083*	-0.027	-0.026
	[0.053]	[0.065]	[0.055]	[0.034]	[0.048]	[0.036]	[0.037]	[0.049]	[0.039]	[0.049]
poorBHealth	0.125*	0.150	0.163**	0.062	-0.009	0.018	0.055	0.022	0.108*	0.067
	[0.073]	[0.093]	[0.075]	[0.053]	[0.070]	[0.065]	[0.059]	[0.076]	[0.060]	[0.068]
oldsibs	0.086	0.050	0.083	0.090***	-0.030	0.087**	0.089**	0.100**	0.086**	-0.057
	[0.056]	[0.073]	[0.057]	[0.034]	[0.058]	[0.035]	[0.037]	[0.042]	[0.039]	[0.053]
momMaxEdu_Uni_F	-0.019	-0.068	-0.021	0.057	0.104*	0.074	0.006	0.000	0.039	0.006
	[0.068]	[0.092]	[0.072]	[0.042]	[0.055]	[0.047]	[0.046]	[0.053]	[0.050]	[0.062]
dadMaxEdu_Uni_F	0.114	0.104	0.133	0.055	0.109*	0.024	0.084*	0.042	0.048	0.130*
	[0.076]	[0.104]	[0.084]	[0.044]	[0.064]	[0.049]	[0.050]	[0.056]	[0.052]	[0.074]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.131	-0.051	-0.141	0.005	0.095	0.011	-0.072	0.029	-0.042	-0.039
	[0.091]	[0.119]	[0.099]	[0.054]	[0.061]	[0.058]	[0.059]	[0.068]	[0.067]	[0.082]
HighInc_F	-0.099	0.008	-0.083	-0.029	-0.066	-0.026	-0.072	-0.043	-0.063	-0.084
	[0.062]	[0.100]	[0.069]	[0.044]	[0.056]	[0.048]	[0.045]	[0.055]	[0.051]	[0.063]
HighInc_Miss	-0.192***	-0.192**	-0.213***	-0.120***	-0.113*	-0.120***	-0.137***	-0.111	-0.129***	-0.121**
	[0.073]	[0.083]	[0.078]	[0.044]	[0.061]	[0.046]	[0.049]	[0.072]	[0.048]	[0.054]
houseOwn_F	0.203***	0.185**	0.243***	0.041	0.052	0.048	0.087	0.100	0.139***	0.066
	[0.078]	[0.091]	[0.084]	[0.048]	[0.063]	[0.051]	[0.053]	[0.062]	[0.053]	[0.071]
distCenter	0.014	0.019	0.019	0.016*	-0.004	0.016*	0.013	0.023*	0.013	-0.017
	[0.011]	[0.013]	[0.012]	[0.009]	[0.015]	[0.009]	[0.008]	[0.012]	[0.009]	[0.014]
cgRelig_F	0.021	-0.031	0.037	0.021	0.121	0.021	0.042	0.104	-0.025	-0.003
	[0.064]	[0.084]	[0.069]	[0.047]	[0.074]	[0.052]	[0.051]	[0.078]	[0.050]	[0.063]
cgRelig_Miss	-0.209	-0.090	-0.170	0.033	-0.130	0.066	-0.415*	-0.562***	0.079	-0.158
	[0.300]	[0.323]	[0.289]	[0.099]	[0.160]	[0.102]	[0.244]	[0.208]	[0.105]	[0.127]
CAPI	-0.044	-0.038	-0.015	-0.088**	-0.062	-0.087**	-0.058	-0.013	-0.083**	-0.074
	[0.052]	[0.062]	[0.055]	[0.034]	[0.047]	[0.037]	[0.037]	[0.049]	[0.040]	[0.047]
momMaxEdu_Uni_Miss	-0.000			0.029		0.047	0.082		0.062	
	[0.198]			[0.114]		[0.112]	[0.155]		[0.117]	
Parma							0.117**			
							[0.050]			
Reggio								-0.180***		0.008
								[0.068]		[0.066]
nidoXreggio								0.005		0.439
								[0.206]		[0.283]
Padova									0.003	
									[0.050]	
Constant	-0.204	1.650	0.329	1.331	-1.468	1.588	0.753	0.336	0.153	-1.613
	[1.387]	[1.855]	[1.402]	[0.938]	[1.233]	[1.017]	[0.976]	[1.146]	[1.035]	[1.389]
										
Observations	289	270	270	662	624	662	536	503	553	520
R-squared	0.104	-0.185	0.125	0.068	0.210	0.065	0.081	0.129	0.075	0.218
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.73	.73	.73	.73	.73	.73	.73	.73	.73	.73
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
