	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.111	-0.299	-0.098	0.004	-0.012	-0.294*	-0.004	-0.346**	0.016	0.095
	[0.089]	[0.651]	[0.230]	[0.046]	[0.055]	[0.158]	[0.065]	[0.141]	[0.066]	[0.142]
asilo_Municipal								0.157*		-0.161
								[0.092]		[0.102]
nido	0.121	0.277	0.126	-0.079**	-0.055	0.416***	-0.023	-0.119	-0.022	-0.060
	[0.092]	[0.546]	[0.094]	[0.040]	[0.066]	[0.142]	[0.046]	[0.117]	[0.051]	[0.084]
unobs			0.075							
			[0.334]							
unobs2			-0.159							
			[0.165]							
unobs3			-0.293							
			[0.453]							
Age	-0.115	-0.117	-0.114	-0.031	-0.154**	-0.943***	-0.033	-0.113	-0.077	-0.110*
	[0.080]	[0.081]	[0.080]	[0.051]	[0.069]	[0.199]	[0.056]	[0.080]	[0.056]	[0.065]
Male	0.097*	0.098*	0.090	0.048	-0.010	-0.325*	0.084**	0.004	0.036	0.009
	[0.056]	[0.056]	[0.059]	[0.034]	[0.045]	[0.175]	[0.038]	[0.048]	[0.039]	[0.046]
poorBHealth	0.095	0.101	0.072	0.015	-0.151*	-0.218**	0.040	-0.060	0.058	-0.054
	[0.081]	[0.085]	[0.091]	[0.056]	[0.078]	[0.110]	[0.061]	[0.079]	[0.062]	[0.081]
oldsibs	0.175	0.137	0.187	0.046	0.036	0.219	0.114	0.091	0.113	0.154
	[0.115]	[0.173]	[0.124]	[0.095]	[0.104]	[0.243]	[0.100]	[0.118]	[0.093]	[0.112]
momMaxEdu_Uni_F	0.045	0.048	0.025	0.042	0.064	-0.594***	0.042	0.086	0.062	0.081
	[0.066]	[0.066]	[0.069]	[0.039]	[0.056]	[0.116]	[0.044]	[0.062]	[0.047]	[0.060]
dadMaxEdu_Uni_F	0.094	0.072	0.105	0.107***	-0.045	0.006	0.077	-0.115	0.132***	0.131**
	[0.071]	[0.103]	[0.071]	[0.040]	[0.076]	[0.133]	[0.047]	[0.082]	[0.048]	[0.056]
momMaxEdu_Uni_Miss	-0.157	-0.156	-0.118	0.128	-0.077	-0.299	-0.090	-0.258	-0.055	-0.105
	[0.211]	[0.212]	[0.210]	[0.183]	[0.364]	[0.670]	[0.181]	[0.242]	[0.187]	[0.233]
dadMaxEdu_Uni_Miss	0.045	0.058	0.042	0.099	0.042	-0.015	0.132**	0.259***	0.009	-0.084
	[0.097]	[0.108]	[0.100]	[0.060]	[0.085]	[0.131]	[0.065]	[0.066]	[0.070]	[0.085]
HighInc_F	-0.045	-0.052	-0.039	0.006	0.106*	0.584***	-0.032	0.069	0.010	-0.034
	[0.075]	[0.081]	[0.075]	[0.046]	[0.063]	[0.080]	[0.051]	[0.066]	[0.055]	[0.062]
HighInc_Miss	0.029	0.019	0.055	-0.050	0.040	0.435***	-0.024	0.061	0.029	0.007
	[0.072]	[0.078]	[0.080]	[0.044]	[0.065]	[0.148]	[0.050]	[0.063]	[0.048]	[0.054]
houseOwn_F	-0.045	-0.054	-0.034	0.088**	0.159***	0.344**	0.013	0.119*	0.056	0.042
	[0.058]	[0.064]	[0.059]	[0.038]	[0.057]	[0.146]	[0.042]	[0.062]	[0.041]	[0.044]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.005	-0.005	-0.008	0.005	0.018*	0.136***	0.010	0.017*	-0.006	-0.004
	[0.011]	[0.012]	[0.012]	[0.008]	[0.010]	[0.033]	[0.008]	[0.010]	[0.010]	[0.010]
cgRelig_F	-0.035	-0.032	-0.025	-0.015	0.063	0.195	-0.030	0.044	-0.015	-0.016
	[0.078]	[0.081]	[0.080]	[0.048]	[0.066]	[0.168]	[0.055]	[0.073]	[0.055]	[0.067]
cgRelig_Miss	0.254**	0.235	0.238*	0.205**	0.209	0.074	0.117	-0.058	0.281***	0.301***
	[0.123]	[0.167]	[0.127]	[0.081]	[0.148]	[0.177]	[0.171]	[0.149]	[0.068]	[0.085]
CAPI	-0.015	-0.012	-0.019	0.039	-0.025	0.210	0.018	0.020	-0.002	-0.037
	[0.058]	[0.059]	[0.058]	[0.034]	[0.051]	[0.190]	[0.038]	[0.048]	[0.039]	[0.045]
houseOwn_Miss	0.364***	0.361***		-0.002		0.219	-0.031		0.349***	
	[0.089]	[0.089]		[0.227]		[0.445]	[0.244]		[0.089]	
Parma							0.050			
							[0.051]			
Reggio								-0.065		-0.029
								[0.087]		[0.066]
nidoXreggio								0.313**		0.102
								[0.157]		[0.132]
Padova									-0.014	
									[0.050]	
Constant	1.406**	1.433**	1.421**	0.810**	1.551***	6.117***	0.807**	1.260**	1.111***	1.419***
	[0.556]	[0.570]	[0.573]	[0.349]	[0.461]	[1.182]	[0.390]	[0.526]	[0.389]	[0.447]
										
Observations	307	307	306	724	721	724	595	592	583	581
R-squared	0.056	0.043	0.060	0.047	0.131	0.974	0.033	0.125	0.056	0.148
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.67	.67	.67	.67	.67	.67	.67	.67	.67	.67
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
