	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.107	0.379	0.079	-0.065	-0.019	0.127	-0.011	0.077	-0.017	0.150
	[0.100]	[0.674]	[0.231]	[0.049]	[0.057]	[0.171]	[0.072]	[0.181]	[0.072]	[0.165]
asilo_Municipal								-0.005		-0.113
								[0.099]		[0.110]
nido	-0.066	-0.291	-0.067	0.089*	-0.000	0.071	0.064	0.006	0.057	0.150
	[0.104]	[0.564]	[0.106]	[0.046]	[0.068]	[0.180]	[0.054]	[0.116]	[0.058]	[0.096]
unobs			0.035							
			[0.342]							
unobs2			0.037							
			[0.167]							
unobs3			-0.005							
			[0.500]							
Age	-0.016	-0.012	-0.017	0.004	0.064	0.279	0.015	0.117	0.033	-0.013
	[0.080]	[0.081]	[0.081]	[0.054]	[0.074]	[0.248]	[0.060]	[0.081]	[0.059]	[0.069]
Male	-0.090	-0.091	-0.088	-0.080**	-0.082*	-0.066	-0.116***	-0.099*	-0.040	-0.043
	[0.058]	[0.060]	[0.061]	[0.037]	[0.049]	[0.338]	[0.041]	[0.053]	[0.042]	[0.050]
poorBHealth	-0.104	-0.114	-0.097	0.014	0.135	0.179	-0.044	0.197**	-0.001	-0.109
	[0.091]	[0.092]	[0.096]	[0.060]	[0.082]	[0.200]	[0.067]	[0.085]	[0.070]	[0.087]
oldsibs	0.174	0.229	0.167	-0.090	-0.180	0.227	-0.046	-0.232	0.042	-0.064
	[0.151]	[0.209]	[0.154]	[0.098]	[0.114]	[0.269]	[0.116]	[0.147]	[0.104]	[0.131]
momMaxEdu_Uni_F	0.098	0.095	0.103	0.045	0.033	0.420**	0.074	0.007	0.084	0.127*
	[0.072]	[0.073]	[0.075]	[0.043]	[0.060]	[0.209]	[0.048]	[0.067]	[0.052]	[0.065]
dadMaxEdu_Uni_F	-0.048	-0.016	-0.052	-0.044	0.025	-0.060	-0.065	0.006	-0.042	-0.068
	[0.078]	[0.113]	[0.080]	[0.047]	[0.074]	[0.147]	[0.052]	[0.078]	[0.054]	[0.064]
momMaxEdu_Uni_Miss	0.196	0.193	0.187	-0.248	0.025	-0.031	0.008	0.086	0.067	0.079
	[0.203]	[0.200]	[0.210]	[0.194]	[0.299]	[0.404]	[0.182]	[0.208]	[0.204]	[0.192]
dadMaxEdu_Uni_Miss	-0.187*	-0.205*	-0.185*	-0.036	-0.091	0.346	-0.091	-0.135	-0.106	-0.076
	[0.097]	[0.106]	[0.097]	[0.066]	[0.097]	[0.253]	[0.074]	[0.089]	[0.071]	[0.100]
HighInc_F	0.088	0.098	0.085	0.058	-0.013	-0.268***	0.057	0.036	0.039	-0.048
	[0.078]	[0.084]	[0.079]	[0.053]	[0.075]	[0.080]	[0.057]	[0.079]	[0.062]	[0.073]
HighInc_Miss	0.167**	0.181**	0.159*	0.048	0.020	-0.087	0.097*	0.043	0.060	0.068
	[0.072]	[0.081]	[0.083]	[0.047]	[0.058]	[0.262]	[0.053]	[0.068]	[0.051]	[0.056]
houseOwn_F	0.096	0.109	0.093	0.084**	0.064	-0.178	0.094**	0.041	0.072	0.105**
	[0.059]	[0.069]	[0.061]	[0.040]	[0.054]	[0.121]	[0.044]	[0.058]	[0.044]	[0.050]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.012	-0.012	-0.011	-0.011	-0.011	0.069**	-0.008	-0.007	-0.011	-0.017
	[0.011]	[0.011]	[0.011]	[0.009]	[0.015]	[0.035]	[0.008]	[0.014]	[0.010]	[0.010]
cgRelig_F	-0.200**	-0.205**	-0.204**	-0.135**	0.002	0.941***	-0.111*	0.002	-0.157***	-0.063
	[0.084]	[0.086]	[0.085]	[0.054]	[0.080]	[0.252]	[0.063]	[0.093]	[0.060]	[0.076]
cgRelig_Miss	-0.114	-0.088	-0.112	-0.372***	-0.359***	0.797**	-0.185	-0.290**	-0.381***	-0.370***
	[0.338]	[0.407]	[0.342]	[0.109]	[0.100]	[0.324]	[0.184]	[0.126]	[0.134]	[0.125]
CAPI	0.095	0.091	0.097*	-0.030	-0.148***	-0.348***	0.011	-0.131**	0.010	-0.001
	[0.058]	[0.059]	[0.058]	[0.037]	[0.054]	[0.102]	[0.041]	[0.057]	[0.042]	[0.049]
houseOwn_Miss	0.712***	0.717***		-0.056		-0.209	-0.041		0.652***	
	[0.091]	[0.092]		[0.318]		[0.515]	[0.308]		[0.066]	
Parma							0.013			
							[0.058]			
Reggio								-0.073		-0.028
								[0.088]		[0.071]
nidoXreggio								-0.025		-0.128
								[0.189]		[0.158]
Padova									0.065	
									[0.056]	
Constant	0.612	0.572	0.628	0.540	0.157	-2.350	0.397	-0.215	0.298	0.587
	[0.561]	[0.570]	[0.584]	[0.370]	[0.493]	[1.510]	[0.419]	[0.549]	[0.413]	[0.470]
										
Observations	307	307	306	724	721	724	595	592	583	581
R-squared	0.081	0.057	0.078	0.046	0.113	0.981	0.044	0.107	0.047	0.089
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.44	.44	.44	.44	.44	.44	.44	.44	.44	.44
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
