	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.045	0.772	0.246	0.038	0.064	0.140	-0.040	-0.035	-0.039	-0.205
	[0.096]	[0.772]	[0.237]	[0.049]	[0.054]	[0.144]	[0.070]	[0.142]	[0.069]	[0.140]
asilo_Municipal								-0.113		0.018
								[0.108]		[0.085]
nido	0.034	-0.643	0.013	0.001	-0.071	-0.094	0.002	-0.004	0.015	-0.069
	[0.100]	[0.654]	[0.101]	[0.043]	[0.075]	[0.128]	[0.052]	[0.125]	[0.053]	[0.080]
unobs			-0.272							
			[0.352]							
unobs2			0.054							
			[0.166]							
unobs3			-0.107							
			[0.480]							
Age	0.312***	0.324***	0.324***	0.171***	0.169**	0.367**	0.227***	0.209***	0.263***	0.218***
	[0.083]	[0.092]	[0.084]	[0.053]	[0.075]	[0.144]	[0.059]	[0.079]	[0.057]	[0.060]
Male	-0.028	-0.032	-0.058	0.013	0.031	0.124	-0.009	0.023	0.001	-0.007
	[0.058]	[0.064]	[0.059]	[0.036]	[0.048]	[0.166]	[0.040]	[0.049]	[0.040]	[0.045]
poorBHealth	-0.003	-0.031	-0.066	-0.035	-0.033	0.007	0.017	0.046	-0.042	-0.129*
	[0.087]	[0.109]	[0.091]	[0.058]	[0.079]	[0.092]	[0.065]	[0.080]	[0.066]	[0.068]
oldsibs	-0.113	0.053	-0.064	-0.060	-0.170**	-0.156	-0.148	-0.276**	-0.080	-0.105
	[0.130]	[0.201]	[0.136]	[0.088]	[0.085]	[0.121]	[0.098]	[0.129]	[0.089]	[0.077]
momMaxEdu_Uni_F	0.102	0.093	0.071	0.040	0.018	0.222**	0.013	0.008	0.099**	0.130**
	[0.070]	[0.078]	[0.072]	[0.041]	[0.060]	[0.101]	[0.046]	[0.064]	[0.048]	[0.054]
dadMaxEdu_Uni_F	0.036	0.133	0.056	-0.080*	0.024	0.257**	-0.018	0.026	-0.073	-0.101*
	[0.078]	[0.128]	[0.080]	[0.043]	[0.090]	[0.129]	[0.050]	[0.077]	[0.051]	[0.054]
momMaxEdu_Uni_Miss	-0.012	-0.020	0.031	0.036	0.339	0.379	-0.072	0.097	-0.063	0.113
	[0.241]	[0.205]	[0.250]	[0.196]	[0.223]	[0.521]	[0.194]	[0.256]	[0.209]	[0.235]
dadMaxEdu_Uni_Miss	0.123	0.069	0.102	0.022	-0.155*	-0.322***	-0.006	-0.127	0.104	0.048
	[0.109]	[0.124]	[0.108]	[0.065]	[0.082]	[0.102]	[0.076]	[0.085]	[0.075]	[0.079]
HighInc_F	0.088	0.117	0.089	0.051	-0.074	-0.608***	0.085	-0.049	0.040	-0.009
	[0.078]	[0.093]	[0.079]	[0.051]	[0.067]	[0.066]	[0.055]	[0.068]	[0.058]	[0.058]
HighInc_Miss	0.048	0.091	0.122	0.009	-0.071	-0.369*	0.022	-0.043	0.051	0.056
	[0.076]	[0.086]	[0.083]	[0.045]	[0.068]	[0.191]	[0.052]	[0.063]	[0.050]	[0.055]
houseOwn_F	0.008	0.046	0.033	-0.007	-0.088	-0.404***	-0.045	-0.214***	0.018	0.031
	[0.059]	[0.073]	[0.060]	[0.038]	[0.061]	[0.124]	[0.044]	[0.061]	[0.041]	[0.043]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.007	-0.007	-0.008	-0.033***	-0.037***	-0.142***	-0.022***	-0.030***	-0.015*	-0.022**
	[0.011]	[0.012]	[0.011]	[0.008]	[0.012]	[0.031]	[0.008]	[0.010]	[0.009]	[0.009]
cgRelig_F	0.044	0.029	0.062	-0.102*	-0.014	0.275*	-0.076	-0.052	-0.006	0.068
	[0.086]	[0.096]	[0.088]	[0.054]	[0.069]	[0.165]	[0.063]	[0.077]	[0.060]	[0.061]
cgRelig_Miss	-0.071	0.009	-0.142	-0.214*	-0.165	0.275	-0.150	-0.092	-0.130	-0.200**
	[0.264]	[0.340]	[0.273]	[0.113]	[0.143]	[0.186]	[0.171]	[0.161]	[0.121]	[0.100]
CAPI	-0.047	-0.059	-0.055	0.008	0.010	-0.462***	0.018	0.050	-0.032	-0.062
	[0.059]	[0.070]	[0.059]	[0.036]	[0.053]	[0.146]	[0.041]	[0.050]	[0.040]	[0.044]
houseOwn_Miss	0.487***	0.501***		0.007		-0.541**	0.254		0.135	
	[0.096]	[0.109]		[0.288]		[0.230]	[0.299]		[0.267]	
Parma							-0.051			
							[0.055]			
Reggio								-0.026		0.083
								[0.087]		[0.065]
nidoXreggio								0.107		0.232*
								[0.155]		[0.140]
Padova									-0.099*	
									[0.052]	
Constant	-1.746***	-1.867***	-1.988***	-0.607*	-0.537	-1.385*	-0.957**	-0.693	-1.316***	-1.113***
	[0.571]	[0.634]	[0.607]	[0.367]	[0.504]	[0.804]	[0.412]	[0.537]	[0.398]	[0.411]
										
Observations	307	307	306	724	721	724	595	592	583	581
R-squared	0.090	-0.129	0.097	0.054	0.093	0.980	0.056	0.158	0.081	0.136
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.43	.43	.43	.43	.43	.43	.43	.43	.43	.43
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
