	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.066	1.340	0.079	0.091**	0.296***	0.089**	0.091	0.334***	0.066	0.100
	[0.122]	[0.847]	[0.220]	[0.040]	[0.067]	[0.039]	[0.060]	[0.125]	[0.059]	[0.241]
asilo_Municipal								-0.293***		-0.129
								[0.088]		[0.218]
nido	-0.003	-1.186	-0.041	-0.056	-0.299***	-0.053	-0.042	-0.007	-0.008	-0.164
	[0.126]	[0.792]	[0.135]	[0.036]	[0.065]	[0.037]	[0.049]	[0.067]	[0.046]	[0.200]
unobsA			0.147							
			[0.290]							
unobsA2			0.150							
			[0.113]							
unobsA3			-0.368							
			[0.338]							
Age	-0.021	0.042	-0.019	0.039	-0.074	0.032	0.041	0.008	-0.022	-0.153***
	[0.061]	[0.080]	[0.063]	[0.041]	[0.089]	[0.040]	[0.048]	[0.087]	[0.041]	[0.054]
Male	0.002	0.013	0.008	-0.012	0.029	-0.023	0.008	0.059	-0.008	-0.042
	[0.042]	[0.056]	[0.044]	[0.028]	[0.042]	[0.029]	[0.032]	[0.040]	[0.029]	[0.041]
poorBHealth	-0.019	-0.020	-0.022	0.098***	0.194***	0.102***	0.081*	0.183***	0.037	0.082
	[0.072]	[0.088]	[0.077]	[0.037]	[0.053]	[0.039]	[0.048]	[0.052]	[0.043]	[0.051]
oldsibs	0.089**	0.131**	0.100**	0.055*	0.110*	0.049	0.082**	0.012	0.025	0.098**
	[0.040]	[0.061]	[0.043]	[0.030]	[0.062]	[0.031]	[0.032]	[0.053]	[0.030]	[0.042]
momMaxEdu_Uni_F	0.075*	0.131*	0.086*	-0.010	-0.055	-0.013	0.011	0.004	0.049	0.034
	[0.044]	[0.076]	[0.046]	[0.035]	[0.061]	[0.035]	[0.037]	[0.066]	[0.035]	[0.042]
dadMaxEdu_Uni_F	-0.058	-0.063	-0.096	-0.061	-0.113	-0.067	-0.104**	-0.104	0.003	-0.049
	[0.065]	[0.092]	[0.069]	[0.040]	[0.081]	[0.041]	[0.046]	[0.081]	[0.042]	[0.053]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	0.112***	0.013	0.088*	0.031	-0.161*	0.035	0.081**	-0.069	0.068*	0.074
	[0.040]	[0.080]	[0.046]	[0.038]	[0.092]	[0.036]	[0.037]	[0.080]	[0.037]	[0.056]
HighInc_F	-0.008	-0.103	-0.012	0.005	0.010	0.013	0.030	0.029	-0.005	0.034
	[0.056]	[0.087]	[0.063]	[0.038]	[0.069]	[0.037]	[0.044]	[0.068]	[0.040]	[0.045]
HighInc_Miss	0.028	0.023	0.043	-0.021	-0.032	-0.035	0.056	0.025	-0.031	-0.020
	[0.052]	[0.069]	[0.058]	[0.036]	[0.056]	[0.037]	[0.041]	[0.064]	[0.034]	[0.048]
houseOwn_F	-0.012	0.052	-0.009	0.002	-0.053	0.003	-0.046	-0.105*	0.029	0.093*
	[0.054]	[0.064]	[0.060]	[0.035]	[0.052]	[0.034]	[0.040]	[0.054]	[0.037]	[0.048]
distCenter	0.010	0.015	0.014	-0.013	-0.024	-0.014*	-0.013*	-0.041***	0.014**	0.035***
	[0.008]	[0.009]	[0.010]	[0.008]	[0.015]	[0.008]	[0.008]	[0.012]	[0.007]	[0.011]
cgRelig_F	0.073	0.147**	0.079	0.004	-0.145***	0.023	0.058	-0.032	0.047	-0.003
	[0.053]	[0.067]	[0.056]	[0.039]	[0.049]	[0.043]	[0.044]	[0.055]	[0.041]	[0.048]
cgRelig_Miss	0.129	0.053	0.125	-0.307***	-0.382***	-0.297***	0.203***	0.067	-0.337***	-0.376***
	[0.092]	[0.128]	[0.102]	[0.099]	[0.130]	[0.105]	[0.058]	[0.101]	[0.100]	[0.106]
CAPI	-0.024	-0.011	-0.039	0.064**	0.194***	0.054*	0.059*	0.152***	0.006	0.020
	[0.040]	[0.053]	[0.042]	[0.028]	[0.046]	[0.029]	[0.033]	[0.046]	[0.029]	[0.036]
momMaxEdu_Uni_Miss	0.090			0.100		0.127**	0.085		0.025	
	[0.143]			[0.073]		[0.053]	[0.107]		[0.091]	
Parma							-0.050			
							[0.046]			
Reggio								0.048		-0.139***
								[0.056]		[0.050]
nidoXreggio								0.005		0.244
								[0.114]		[0.225]
Padova									0.062*	
									[0.037]	
Constant	1.092	-0.223	1.020	0.116	2.421	0.264	0.031	0.810	1.127	3.621***
	[1.154]	[1.547]	[1.205]	[0.767]	[1.680]	[0.764]	[0.901]	[1.654]	[0.780]	[1.026]
										
Observations	289	270	270	662	624	662	536	503	553	520
R-squared	0.061	-0.398	0.080	0.079	0.339	0.088	0.072	0.366	0.091	0.295
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.87	.87	.87	.87	.87	.87	.87	.87	.87	.87
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
