	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.026	0.047	0.057	0.039	0.029	0.040	0.016	-0.006	0.028	-0.005
	[0.045]	[0.163]	[0.228]	[0.033]	[0.035]	[0.033]	[0.044]	[0.070]	[0.043]	[0.064]
unobsM			-0.111							
			[0.349]							
unobsM2			-0.294*							
			[0.165]							
unobsM3			0.195							
			[0.497]							
Age	-0.020	-0.018	-0.031	0.019	0.017	0.013	0.033	0.043	-0.022	-0.033
	[0.061]	[0.064]	[0.064]	[0.041]	[0.044]	[0.042]	[0.047]	[0.054]	[0.042]	[0.047]
Male	0.004	0.005	0.009	-0.015	-0.031	-0.016	0.007	-0.012	-0.007	-0.016
	[0.042]	[0.043]	[0.043]	[0.028]	[0.032]	[0.029]	[0.032]	[0.038]	[0.030]	[0.033]
poorBHealth	-0.017	-0.014	-0.028	0.094**	0.084**	0.100***	0.080*	0.074	0.037	0.020
	[0.073]	[0.076]	[0.075]	[0.037]	[0.040]	[0.036]	[0.047]	[0.057]	[0.043]	[0.050]
oldsibs	0.087**	0.088**	0.090**	0.042	0.003	0.038	0.081**	0.060	0.024	-0.007
	[0.041]	[0.041]	[0.040]	[0.031]	[0.038]	[0.031]	[0.033]	[0.038]	[0.031]	[0.038]
momMaxEdu_Uni_F	0.078*	0.080*	0.062	-0.036	-0.019	-0.039	0.009	-0.005	0.049	0.090**
	[0.045]	[0.048]	[0.049]	[0.035]	[0.041]	[0.035]	[0.037]	[0.042]	[0.035]	[0.041]
dadMaxEdu_Uni_F	-0.057	-0.058	-0.052	-0.035	-0.073	-0.034	-0.103**	-0.135**	0.003	-0.034
	[0.063]	[0.063]	[0.063]	[0.040]	[0.046]	[0.040]	[0.046]	[0.052]	[0.042]	[0.049]
momMaxEdu_Uni_Miss	0.100	0.100	0.109	0.017	0.064	0.020	0.086	0.147	0.029	0.101
	[0.150]	[0.152]	[0.162]	[0.090]	[0.069]	[0.090]	[0.110]	[0.092]	[0.093]	[0.069]
dadMaxEdu_Uni_Miss	0.119***	0.116**	0.119***	0.059	0.042	0.057	0.087**	0.077	0.072*	0.110***
	[0.042]	[0.045]	[0.046]	[0.036]	[0.051]	[0.038]	[0.038]	[0.058]	[0.037]	[0.039]
HighInc_F	-0.001	-0.002	0.002	0.024	0.026	0.024	0.034	0.031	-0.000	0.017
	[0.056]	[0.056]	[0.056]	[0.039]	[0.042]	[0.039]	[0.044]	[0.049]	[0.040]	[0.045]
HighInc_Miss	0.020	0.019	0.020	-0.010	-0.049	-0.009	0.057	0.022	-0.034	-0.049
	[0.050]	[0.051]	[0.051]	[0.035]	[0.040]	[0.035]	[0.040]	[0.052]	[0.034]	[0.038]
houseOwn_F	-0.005	-0.005	-0.018	0.001	-0.051	0.001	-0.041	-0.037	0.031	0.007
	[0.054]	[0.053]	[0.051]	[0.034]	[0.035]	[0.035]	[0.040]	[0.050]	[0.037]	[0.045]
distCenter	0.008	0.008	0.006	-0.012	-0.017*	-0.014	-0.014*	-0.019**	0.013**	0.015*
	[0.007]	[0.007]	[0.008]	[0.008]	[0.010]	[0.009]	[0.008]	[0.009]	[0.007]	[0.008]
cgRelig_F	0.074	0.080	0.084	0.007	-0.008	0.006	0.058	0.063	0.050	0.065
	[0.056]	[0.068]	[0.070]	[0.039]	[0.044]	[0.039]	[0.046]	[0.052]	[0.043]	[0.051]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.024	-0.027	-0.018	0.064**	0.065*	0.070**	0.058*	0.078**	0.006	0.003
	[0.041]	[0.046]	[0.046]	[0.029]	[0.033]	[0.029]	[0.033]	[0.039]	[0.029]	[0.033]
cgRelig_Miss	0.155*	0.150		-0.300***		-0.310***	0.220***		-0.331***	
	[0.088]	[0.099]		[0.098]		[0.099]	[0.057]		[0.101]	
Parma							-0.085**			
							[0.042]			
Reggio								0.073		-0.066
								[0.056]		[0.048]
materna_Municipal								0.046		0.040
								[0.052]		[0.044]
Padova									0.046	
									[0.036]	
Constant	1.095	1.046	1.357	0.466	0.624	0.594	0.188	-0.069	1.140	1.397
	[1.171]	[1.240]	[1.278]	[0.785]	[0.817]	[0.789]	[0.888]	[1.026]	[0.789]	[0.884]
										
Observations	289	289	287	671	635	671	536	533	553	518
R-squared	0.054	0.054	0.071	0.067	0.046	0.072	0.068	0.074	0.088	0.051
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.87	.87	.87	.87	.87	.87	.87	.87	.87	.87
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
