	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.038	-0.204	-0.317	0.017	0.049	0.061	-0.046	0.106	-0.041	0.115
	[0.057]	[0.200]	[0.227]	[0.046]	[0.061]	[0.065]	[0.057]	[0.139]	[0.057]	[0.143]
unobs			0.500							
			[0.359]							
unobs2			0.213							
			[0.208]							
unobs3			-0.642							
			[0.577]							
Age	-0.178**	-0.174**	-0.175**	0.036	-0.145	0.129	-0.070	-0.219**	-0.073	0.102
	[0.079]	[0.080]	[0.079]	[0.055]	[0.114]	[0.149]	[0.061]	[0.089]	[0.059]	[0.144]
Male	0.066	0.069	0.058	-0.080**	-0.242***	-0.544***	-0.014	-0.358***	-0.057	-0.101
	[0.058]	[0.058]	[0.058]	[0.037]	[0.091]	[0.121]	[0.041]	[0.098]	[0.042]	[0.074]
poorBHealth	0.124	0.134	0.132	0.020	-0.205	-0.318	0.071	0.013	0.033	-0.366
	[0.086]	[0.085]	[0.087]	[0.061]	[0.200]	[0.195]	[0.065]	[0.081]	[0.069]	[0.226]
oldsibs	0.323**	0.285*	0.316**	0.149	0.310**	-0.208	0.290***	0.340**	0.126	0.221**
	[0.128]	[0.145]	[0.132]	[0.106]	[0.140]	[0.199]	[0.107]	[0.140]	[0.104]	[0.112]
momMaxEdu_Uni_F	0.126*	0.128*	0.142**	0.049	-0.160	0.410***	0.063	-0.078	0.087*	0.063
	[0.069]	[0.069]	[0.070]	[0.043]	[0.101]	[0.152]	[0.047]	[0.074]	[0.051]	[0.098]
dadMaxEdu_Uni_F	0.141*	0.136*	0.137*	0.002	-0.004	-0.075	0.056	0.160**	0.031	-0.126
	[0.076]	[0.076]	[0.076]	[0.046]	[0.132]	[0.116]	[0.052]	[0.071]	[0.055]	[0.137]
momMaxEdu_Uni_Miss	-0.044	-0.066	-0.027	0.084	-0.101	0.288	-0.064	-0.094	0.039	-0.113
	[0.201]	[0.206]	[0.213]	[0.208]	[0.267]	[0.268]	[0.180]	[0.148]	[0.179]	[0.206]
dadMaxEdu_Uni_Miss	0.125	0.148	0.132	0.108*	0.085	-0.017	0.214***	0.434***	0.052	0.017
	[0.101]	[0.107]	[0.104]	[0.065]	[0.135]	[0.093]	[0.078]	[0.120]	[0.071]	[0.253]
HighInc_F	0.011	0.024	0.021	0.020	0.392**	-0.182*	0.037	0.131*	-0.001	-0.008
	[0.078]	[0.081]	[0.079]	[0.054]	[0.191]	[0.102]	[0.055]	[0.075]	[0.062]	[0.081]
HighInc_Miss	-0.153**	-0.149**	-0.151**	-0.077*	0.046	-0.522***	-0.092*	-0.062	-0.137***	-0.142*
	[0.069]	[0.071]	[0.069]	[0.045]	[0.084]	[0.145]	[0.052]	[0.079]	[0.048]	[0.075]
houseOwn_F	-0.062	-0.078	-0.074	0.016	0.486***	-0.140	-0.020	0.266***	-0.015	0.264*
	[0.057]	[0.062]	[0.061]	[0.041]	[0.100]	[0.155]	[0.044]	[0.062]	[0.043]	[0.151]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.004	-0.006	-0.004	0.015	0.037**	-0.014	0.002	0.035***	-0.000	-0.009
	[0.011]	[0.012]	[0.011]	[0.010]	[0.015]	[0.032]	[0.009]	[0.011]	[0.010]	[0.017]
cgRelig_F	0.075	0.047	0.028	0.010	-0.043	0.083	-0.024	-0.217***	0.112*	0.082
	[0.080]	[0.090]	[0.092]	[0.053]	[0.092]	[0.074]	[0.062]	[0.081]	[0.059]	[0.113]
cgRelig_Miss	-0.053	-0.047	-0.001	0.174	0.236*	0.393***	-0.064	-0.319**	0.353**	0.633***
	[0.322]	[0.283]	[0.286]	[0.151]	[0.128]	[0.142]	[0.213]	[0.124]	[0.172]	[0.187]
CAPI	-0.053	-0.036	-0.038	-0.012	0.079	-0.219*	-0.055	-0.129	0.017	0.129
	[0.059]	[0.062]	[0.062]	[0.037]	[0.114]	[0.124]	[0.041]	[0.084]	[0.042]	[0.098]
houseOwn_Miss	0.720***	0.640***		-0.013		0.015	0.266		0.203	
	[0.091]	[0.129]		[0.271]		[0.354]	[0.338]		[0.367]	
Parma							-0.070			
							[0.052]			
Reggio								-0.042		0.043
								[0.100]		[0.075]
materna_Municipal								-0.144		-0.155
								[0.118]		[0.126]
Padova									-0.083	
									[0.052]	
Constant	1.604***	1.688***	1.711***	0.146	1.073	0.108	0.973**	2.131***	0.906**	-0.372
	[0.554]	[0.565]	[0.562]	[0.373]	[0.806]	[0.944]	[0.422]	[0.713]	[0.414]	[0.945]
										
Observations	307	307	306	722	719	720	595	592	576	574
R-squared	0.127	0.101	0.133	0.026	0.999	0.762	0.051	0.999	0.049	0.584
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.46	.46	.46	.46	.46	.46	.46	.46	.46	.46
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
