	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.045	-0.389**	-0.109	0.097***	0.097**	0.159***	0.030	0.011	0.052	0.103
	[0.048]	[0.196]	[0.220]	[0.035]	[0.042]	[0.061]	[0.047]	[0.070]	[0.048]	[0.070]
unobs			-0.138							
			[0.321]							
unobs2			0.021							
			[0.154]							
unobs3			1.041**							
			[0.432]							
Age	-0.045	-0.037	-0.038	0.074*	0.250***	-0.054	-0.036	-0.118**	0.076*	0.194***
	[0.064]	[0.075]	[0.062]	[0.045]	[0.069]	[0.214]	[0.050]	[0.055]	[0.046]	[0.067]
Male	0.031	0.039	0.050	-0.001	-0.146***	0.305**	-0.023	-0.052	0.046	-0.019
	[0.046]	[0.053]	[0.047]	[0.031]	[0.046]	[0.153]	[0.034]	[0.037]	[0.034]	[0.035]
poorBHealth	0.112*	0.138*	0.143**	0.037	0.213	0.452*	0.050	0.019	0.096*	0.336***
	[0.068]	[0.081]	[0.072]	[0.053]	[0.146]	[0.232]	[0.054]	[0.061]	[0.054]	[0.121]
oldsibs	0.166*	0.067	0.026	0.103	0.133	0.380**	0.128	0.214**	0.149**	0.137**
	[0.094]	[0.129]	[0.101]	[0.074]	[0.099]	[0.156]	[0.088]	[0.093]	[0.069]	[0.069]
momMaxEdu_Uni_F	0.024	0.029	0.021	0.042	0.265***	0.242	0.059	0.149***	0.040	0.134**
	[0.053]	[0.058]	[0.052]	[0.036]	[0.063]	[0.155]	[0.040]	[0.054]	[0.038]	[0.053]
dadMaxEdu_Uni_F	0.015	0.001	0.000	-0.029	0.098	0.005	-0.010	0.108*	-0.017	-0.003
	[0.060]	[0.062]	[0.060]	[0.040]	[0.061]	[0.163]	[0.044]	[0.055]	[0.043]	[0.049]
momMaxEdu_Uni_Miss	0.157	0.099	0.052	0.165	0.380**	0.003	0.051	0.132	0.158	0.265
	[0.184]	[0.244]	[0.199]	[0.146]	[0.169]	[0.224]	[0.179]	[0.177]	[0.177]	[0.195]
dadMaxEdu_Uni_Miss	-0.071	-0.009	0.003	-0.089	-0.320***	-0.037	-0.123*	-0.464***	-0.070	-0.137**
	[0.082]	[0.107]	[0.079]	[0.059]	[0.070]	[0.120]	[0.071]	[0.072]	[0.061]	[0.066]
HighInc_F	0.015	0.047	0.051	0.007	-0.172***	-0.578***	0.033	-0.132	0.024	-0.023
	[0.056]	[0.068]	[0.058]	[0.042]	[0.066]	[0.192]	[0.044]	[0.084]	[0.044]	[0.059]
HighInc_Miss	-0.223***	-0.214***	-0.212***	-0.196***	-0.402***	0.110	-0.067	-0.049	-0.288***	-0.317***
	[0.063]	[0.069]	[0.063]	[0.042]	[0.077]	[0.216]	[0.046]	[0.044]	[0.044]	[0.060]
houseOwn_F	0.014	-0.028	-0.034	0.023	-0.122**	0.227*	-0.021	-0.065	0.054	0.037
	[0.046]	[0.058]	[0.051]	[0.033]	[0.054]	[0.131]	[0.036]	[0.046]	[0.035]	[0.027]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.002	-0.006	-0.006	-0.029***	0.021*	0.025	-0.014*	0.008	-0.003	0.003
	[0.010]	[0.011]	[0.010]	[0.009]	[0.011]	[0.038]	[0.008]	[0.012]	[0.009]	[0.007]
cgRelig_F	0.053	-0.023	-0.008	-0.085**	-0.160***	-0.103	-0.054	-0.086	-0.002	-0.143**
	[0.076]	[0.092]	[0.078]	[0.040]	[0.060]	[0.095]	[0.050]	[0.062]	[0.051]	[0.068]
cgRelig_Miss	0.413***	0.426***	0.323***	-0.343***	-0.313***	-0.883***	0.045	-0.158**	-0.146	-0.457***
	[0.123]	[0.143]	[0.117]	[0.104]	[0.097]	[0.217]	[0.150]	[0.080]	[0.111]	[0.084]
CAPI	0.056	0.102*	0.109**	-0.027	-0.070	0.094	0.100***	0.140***	-0.087**	-0.138**
	[0.049]	[0.059]	[0.053]	[0.032]	[0.048]	[0.150]	[0.035]	[0.041]	[0.035]	[0.056]
houseOwn_Miss	-0.299	-0.505**		-0.619***		-0.648***	-0.444**		-0.202	
	[0.201]	[0.240]		[0.080]		[0.214]	[0.181]		[0.250]	
Parma							-0.042			
							[0.044]			
Reggio								0.048		-0.023
								[0.064]		[0.061]
materna_Municipal								0.076		-0.017
								[0.047]		[0.048]
Padova									-0.058	
									[0.045]	
Constant	1.012**	1.251**	1.098**	0.427	-0.651	0.654	1.084***	1.544***	0.311	-0.343
	[0.445]	[0.521]	[0.445]	[0.305]	[0.492]	[1.432]	[0.350]	[0.389]	[0.324]	[0.442]
										
Observations	309	309	307	731	728	728	597	593	586	583
R-squared	0.119	-0.151	0.142	0.123	0.999	0.843	0.061	0.990	0.171	0.826
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.8	.8	.8	.8	.8	.8	.8	.8	.8	.8
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
