	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.045	-0.144	0.126	0.096***	0.128***	0.132***	0.033	0.040	0.054	0.137*
	[0.048]	[0.205]	[0.277]	[0.035]	[0.037]	[0.038]	[0.047]	[0.074]	[0.048]	[0.080]
unobs			-0.291							
			[0.383]							
unobs2			0.053							
			[0.156]							
unobs3			0.706*							
			[0.422]							
Age	-0.042	-0.039	-0.039	0.074*	0.083	0.103**	-0.036	-0.028	0.077*	0.081
	[0.064]	[0.066]	[0.064]	[0.045]	[0.055]	[0.051]	[0.050]	[0.054]	[0.046]	[0.055]
Male	0.030	0.034	0.035	-0.001	-0.046	-0.051	-0.023	-0.060	0.047	0.027
	[0.046]	[0.048]	[0.047]	[0.031]	[0.037]	[0.036]	[0.034]	[0.037]	[0.034]	[0.040]
poorBHealth	0.112*	0.123*	0.122*	0.037	-0.021	-0.001	0.049	0.006	0.096*	0.097
	[0.068]	[0.073]	[0.070]	[0.053]	[0.075]	[0.060]	[0.054]	[0.064]	[0.054]	[0.087]
oldsibs	0.128***	0.098	0.086	0.099	0.145***	0.103	0.129**	0.128**	0.133***	0.141***
	[0.049]	[0.067]	[0.060]	[0.061]	[0.051]	[0.068]	[0.055]	[0.054]	[0.046]	[0.048]
momMaxEdu_Uni_F	0.027	0.028	0.032	0.042	0.099**	0.065	0.059	0.102**	0.042	0.068
	[0.053]	[0.053]	[0.053]	[0.036]	[0.043]	[0.043]	[0.040]	[0.045]	[0.038]	[0.047]
dadMaxEdu_Uni_F	0.015	0.009	0.010	-0.029	-0.011	-0.028	-0.009	0.004	-0.016	-0.001
	[0.060]	[0.059]	[0.060]	[0.040]	[0.044]	[0.045]	[0.044]	[0.046]	[0.043]	[0.047]
momMaxEdu_Uni_Miss	0.157	0.132	0.111	0.165	0.228*	0.125	0.053	0.087	0.159	0.205
	[0.184]	[0.208]	[0.187]	[0.146]	[0.138]	[0.169]	[0.179]	[0.166]	[0.176]	[0.180]
dadMaxEdu_Uni_Miss	-0.072	-0.045	-0.045	-0.089	-0.180**	-0.105	-0.124*	-0.224***	-0.071	-0.130*
	[0.082]	[0.094]	[0.085]	[0.059]	[0.070]	[0.072]	[0.070]	[0.084]	[0.061]	[0.075]
HighInc_F	0.015	0.030	0.031	0.006	-0.037	-0.003	0.033	-0.003	0.023	0.000
	[0.056]	[0.058]	[0.056]	[0.042]	[0.051]	[0.050]	[0.044]	[0.053]	[0.044]	[0.051]
HighInc_Miss	-0.222***	-0.219***	-0.220***	-0.196***	-0.167***	-0.135***	-0.066	-0.029	-0.288***	-0.276***
	[0.063]	[0.064]	[0.063]	[0.042]	[0.049]	[0.047]	[0.046]	[0.048]	[0.044]	[0.051]
houseOwn_F	0.014	-0.004	-0.001	0.023	0.026	0.010	-0.021	-0.035	0.054	0.077**
	[0.046]	[0.052]	[0.052]	[0.033]	[0.039]	[0.038]	[0.036]	[0.040]	[0.035]	[0.038]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.002	-0.003	-0.002	-0.029***	-0.023**	-0.036***	-0.014*	-0.012	-0.003	-0.006
	[0.010]	[0.010]	[0.010]	[0.009]	[0.010]	[0.010]	[0.008]	[0.008]	[0.009]	[0.009]
cgRelig_F	0.052	0.019	0.032	-0.085**	-0.097*	-0.123**	-0.055	-0.069	-0.002	-0.014
	[0.075]	[0.084]	[0.082]	[0.040]	[0.054]	[0.049]	[0.050]	[0.059]	[0.051]	[0.062]
cgRelig_Miss	0.399***	0.407***	0.329***	-0.343***	-0.432***	-0.482***	0.032	-0.208	-0.152	-0.316***
	[0.118]	[0.118]	[0.123]	[0.104]	[0.096]	[0.108]	[0.145]	[0.158]	[0.110]	[0.093]
CAPI	0.057	0.076	0.080	-0.027	-0.048	-0.053	0.100***	0.091**	-0.086**	-0.106***
	[0.049]	[0.053]	[0.054]	[0.032]	[0.037]	[0.038]	[0.035]	[0.038]	[0.035]	[0.040]
houseOwn_Miss	-0.337*	-0.420**		-0.618***		-0.629***	-0.472***		-0.238	
	[0.176]	[0.205]		[0.080]		[0.079]	[0.157]		[0.220]	
Parma							-0.039			
							[0.045]			
Reggio								0.053		0.035
								[0.059]		[0.054]
materna_Municipal								0.023		-0.076
								[0.057]		[0.063]
Padova									-0.055	
									[0.045]	
Constant	0.993**	1.102**	0.933*	0.427	0.368	0.293	1.079***	0.996***	0.308	0.267
	[0.445]	[0.483]	[0.487]	[0.305]	[0.372]	[0.348]	[0.349]	[0.377]	[0.324]	[0.384]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.120	0.069	0.119	0.124	0.202	0.130	0.063	0.085	0.172	0.277
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.8	.8	.8	.8	.8	.8	.8	.8	.8	.8
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
