	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.031	0.992	0.076	-0.003	0.057	-0.019	-0.038	0.436*	-0.136	0.429
	[0.172]	[1.064]	[0.292]	[0.055]	[0.076]	[0.056]	[0.082]	[0.260]	[0.084]	[0.311]
asilo_Municipal								-0.210		-0.195
								[0.133]		[0.257]
nido	-0.061	-0.959	-0.141	0.077	0.080	0.123**	0.003	0.045	0.102	0.499**
	[0.174]	[0.995]	[0.187]	[0.047]	[0.077]	[0.050]	[0.063]	[0.126]	[0.066]	[0.242]
unobsA			0.143							
			[0.392]							
unobsA2			0.157							
			[0.175]							
unobsA3			-0.315							
			[0.577]							
Age	-0.140*	-0.095	-0.136	0.003	0.247***	-0.022	-0.018	0.258***	-0.067	-0.028
	[0.084]	[0.103]	[0.086]	[0.057]	[0.088]	[0.060]	[0.063]	[0.089]	[0.061]	[0.077]
Male	-0.096	-0.107*	-0.111*	-0.098**	-0.119**	-0.112***	-0.102**	-0.122**	-0.079*	-0.097*
	[0.059]	[0.064]	[0.060]	[0.039]	[0.056]	[0.041]	[0.043]	[0.059]	[0.042]	[0.053]
poorBHealth	-0.230**	-0.239**	-0.236**	-0.083	0.099	-0.081	-0.145**	0.086	-0.170**	-0.159*
	[0.103]	[0.107]	[0.109]	[0.065]	[0.105]	[0.073]	[0.073]	[0.112]	[0.073]	[0.087]
oldsibs	0.022	0.055	0.034	-0.022	-0.045	-0.015	-0.003	0.047	-0.002	-0.035
	[0.061]	[0.072]	[0.062]	[0.042]	[0.067]	[0.044]	[0.046]	[0.064]	[0.044]	[0.056]
momMaxEdu_Uni_F	0.012	0.052	0.019	0.050	0.089	0.067	-0.008	-0.016	0.075	0.109*
	[0.075]	[0.091]	[0.078]	[0.048]	[0.071]	[0.051]	[0.054]	[0.079]	[0.055]	[0.064]
dadMaxEdu_Uni_F	-0.067	-0.024	-0.047	0.004	-0.003	0.000	-0.054	-0.093	0.018	0.116
	[0.084]	[0.104]	[0.091]	[0.052]	[0.079]	[0.055]	[0.061]	[0.086]	[0.060]	[0.074]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.034	-0.129	-0.075	-0.039	-0.062	-0.039	-0.019	-0.046	-0.028	-0.002
	[0.085]	[0.116]	[0.097]	[0.063]	[0.097]	[0.068]	[0.063]	[0.099]	[0.068]	[0.081]
HighInc_F	0.115	0.010	0.078	0.003	0.066	0.003	0.083	0.182**	0.020	-0.021
	[0.073]	[0.104]	[0.079]	[0.052]	[0.077]	[0.055]	[0.055]	[0.080]	[0.058]	[0.072]
HighInc_Miss	0.251***	0.211***	0.229***	0.149***	0.160**	0.146***	0.204***	0.207**	0.152***	0.129**
	[0.071]	[0.075]	[0.077]	[0.047]	[0.077]	[0.050]	[0.053]	[0.085]	[0.051]	[0.063]
houseOwn_F	-0.145*	-0.149*	-0.195**	0.016	-0.030	0.017	-0.075	-0.131*	-0.046	-0.129**
	[0.074]	[0.084]	[0.076]	[0.053]	[0.070]	[0.055]	[0.056]	[0.069]	[0.054]	[0.061]
distCenter	0.006	0.006	0.006	0.006	-0.039**	0.009	0.007	-0.010	0.005	-0.026*
	[0.012]	[0.013]	[0.013]	[0.011]	[0.016]	[0.011]	[0.010]	[0.014]	[0.010]	[0.014]
cgRelig_F	0.068	0.120	0.069	0.053	0.041	0.026	0.041	0.020	0.043	0.125*
	[0.068]	[0.092]	[0.073]	[0.054]	[0.072]	[0.059]	[0.056]	[0.069]	[0.055]	[0.072]
cgRelig_Miss	-0.068	-0.090	-0.079	-0.178*	-0.199	-0.151	-0.103	-0.196	-0.154	-0.135
	[0.258]	[0.257]	[0.246]	[0.103]	[0.144]	[0.108]	[0.228]	[0.246]	[0.105]	[0.120]
CAPI	-0.066	-0.057	-0.078	0.002	0.147**	0.004	-0.006	0.082	-0.053	-0.002
	[0.058]	[0.065]	[0.060]	[0.039]	[0.057]	[0.042]	[0.043]	[0.059]	[0.043]	[0.053]
momMaxEdu_Uni_Miss	0.165			0.037		0.012	0.166		0.040	
	[0.179]			[0.129]		[0.133]	[0.130]		[0.138]	
Parma							-0.062			
							[0.058]			
Reggio								0.071		0.281***
								[0.084]		[0.072]
nidoXreggio								-0.344		-0.807***
								[0.256]		[0.299]
Padova									-0.122**	
									[0.055]	
Constant	3.290**	2.450	3.281**	0.388	-4.141**	0.850	0.969	-4.189**	1.877	0.980
	[1.580]	[1.977]	[1.627]	[1.081]	[1.662]	[1.125]	[1.178]	[1.685]	[1.162]	[1.449]
										
Observations	293	274	274	667	630	667	541	508	560	528
R-squared	0.102	-0.009	0.112	0.040	0.173	0.048	0.059	0.165	0.053	0.194
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.6	.6	.6	.6	.6	.6	.6	.6	.6	.6
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
