	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.001	0.107	0.403*	-0.024	0.015	-0.002	-0.012	-0.028	-0.002	0.080
	[0.057]	[0.202]	[0.230]	[0.044]	[0.065]	[0.071]	[0.057]	[0.115]	[0.057]	[0.085]
unobs			-0.894**							
			[0.370]							
unobs2			0.295							
			[0.216]							
unobs3			1.613***							
			[0.622]							
Age	-0.144*	-0.146*	-0.137*	0.097*	0.521***	0.047	-0.009	0.376***	0.007	-0.180**
	[0.085]	[0.085]	[0.082]	[0.054]	[0.160]	[0.177]	[0.062]	[0.074]	[0.058]	[0.090]
Male	0.010	0.008	0.029	-0.024	-0.026	0.198	-0.047	-0.109	0.012	0.082*
	[0.056]	[0.057]	[0.056]	[0.037]	[0.100]	[0.167]	[0.041]	[0.083]	[0.040]	[0.047]
poorBHealth	0.161*	0.155*	0.174*	0.139**	-0.173	0.378**	0.113*	0.085	0.184***	0.244***
	[0.089]	[0.091]	[0.090]	[0.060]	[0.235]	[0.178]	[0.067]	[0.071]	[0.065]	[0.076]
oldsibs	0.028	0.052	0.053	0.178*	0.142	0.781**	0.086	0.189	0.056	0.168
	[0.153]	[0.153]	[0.142]	[0.098]	[0.121]	[0.307]	[0.123]	[0.129]	[0.098]	[0.107]
momMaxEdu_Uni_F	0.080	0.078	0.066	0.086**	0.377**	-0.152	0.096**	0.281***	0.087*	-0.111
	[0.069]	[0.070]	[0.069]	[0.043]	[0.162]	[0.195]	[0.048]	[0.060]	[0.050]	[0.081]
dadMaxEdu_Uni_F	0.148**	0.152**	0.156**	0.079*	0.197	0.709***	0.090*	-0.027	0.096*	0.223***
	[0.073]	[0.074]	[0.071]	[0.045]	[0.192]	[0.117]	[0.051]	[0.062]	[0.051]	[0.075]
momMaxEdu_Uni_Miss	0.153	0.167	0.068	0.284	0.356	-0.057	0.116	0.125	0.175	0.232
	[0.229]	[0.215]	[0.220]	[0.199]	[0.296]	[0.313]	[0.185]	[0.193]	[0.212]	[0.222]
dadMaxEdu_Uni_Miss	0.039	0.024	0.059	-0.008	0.049	0.209**	-0.019	-0.293***	0.005	-0.084
	[0.105]	[0.107]	[0.107]	[0.066]	[0.162]	[0.099]	[0.079]	[0.097]	[0.071]	[0.087]
HighInc_F	0.008	-0.000	0.018	-0.015	-0.561***	-0.468*	0.053	-0.077	0.012	0.018
	[0.077]	[0.079]	[0.077]	[0.051]	[0.194]	[0.259]	[0.055]	[0.064]	[0.058]	[0.066]
HighInc_Miss	-0.076	-0.078	-0.086	-0.143***	0.011	0.153	0.013	0.370***	-0.197***	-0.210***
	[0.069]	[0.070]	[0.069]	[0.043]	[0.134]	[0.204]	[0.051]	[0.061]	[0.046]	[0.063]
houseOwn_F	0.079	0.089	0.056	0.051	-0.155	-0.062	0.037	-0.097**	0.090**	-0.023
	[0.058]	[0.061]	[0.062]	[0.039]	[0.132]	[0.090]	[0.044]	[0.049]	[0.041]	[0.030]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.009	0.010	0.011	-0.013	0.005	-0.115**	-0.001	-0.044***	0.002	0.005
	[0.012]	[0.012]	[0.012]	[0.010]	[0.022]	[0.056]	[0.009]	[0.011]	[0.010]	[0.011]
cgRelig_F	-0.193**	-0.175*	-0.208**	-0.150***	-0.017	0.049	-0.181***	-0.015	-0.124**	-0.131*
	[0.082]	[0.093]	[0.098]	[0.052]	[0.108]	[0.079]	[0.061]	[0.067]	[0.058]	[0.071]
cgRelig_Miss	0.069	0.066	0.293**	-0.240**	0.112	-0.667***	0.116	0.483***	-0.301***	-0.578***
	[0.201]	[0.203]	[0.121]	[0.107]	[0.166]	[0.249]	[0.151]	[0.095]	[0.111]	[0.087]
CAPI	-0.161***	-0.172***	-0.135**	-0.031	-0.550***	0.234**	-0.020	-0.038	-0.145***	-0.115**
	[0.059]	[0.063]	[0.063]	[0.037]	[0.165]	[0.112]	[0.041]	[0.067]	[0.040]	[0.050]
houseOwn_Miss	0.034	0.085		-0.066		-0.555	0.025		0.089	
	[0.485]	[0.494]		[0.319]		[0.548]	[0.323]		[0.275]	
Parma							-0.046			
							[0.052]			
Reggio								0.042		-0.128**
								[0.082]		[0.062]
materna_Municipal								0.040		-0.056
								[0.090]		[0.059]
Padova									0.065	
									[0.053]	
Constant	1.556***	1.497**	1.235**	-0.024	-2.708**	0.091	0.629	-1.994***	0.529	1.946***
	[0.585]	[0.597]	[0.593]	[0.368]	[1.130]	[1.056]	[0.429]	[0.552]	[0.405]	[0.615]
										
Observations	309	309	307	731	728	728	597	593	586	583
R-squared	0.113	0.103	0.144	0.078	0.998	0.768	0.054	0.999	0.128	0.675
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.47	.47	.47	.47	.47	.47	.47	.47	.47	.47
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
