	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.026	0.566**	0.609*	-0.029	-0.046	-0.075	-0.006	-0.017	-0.027	0.015
	[0.056]	[0.281]	[0.314]	[0.045]	[0.047]	[0.047]	[0.056]	[0.088]	[0.056]	[0.085]
unobs			-0.672							
			[0.459]							
unobs2			0.478**							
			[0.193]							
unobs3			0.098							
			[0.568]							
Age	0.045	0.036	0.042	0.062	0.081	0.078	0.049	0.046	0.076	0.121*
	[0.081]	[0.096]	[0.081]	[0.055]	[0.062]	[0.057]	[0.059]	[0.066]	[0.059]	[0.063]
Male	0.046	0.033	0.027	0.016	-0.012	0.002	0.049	0.035	-0.012	-0.018
	[0.056]	[0.066]	[0.055]	[0.036]	[0.039]	[0.038]	[0.040]	[0.044]	[0.041]	[0.043]
poorBHealth	0.013	-0.022	-0.020	-0.018	0.054	-0.026	-0.011	0.008	0.031	0.102
	[0.089]	[0.116]	[0.084]	[0.062]	[0.066]	[0.061]	[0.064]	[0.064]	[0.068]	[0.069]
oldsibs	-0.109	-0.015	0.040	0.038	-0.033	0.033	-0.071	-0.117	0.022	-0.009
	[0.091]	[0.136]	[0.104]	[0.084]	[0.084]	[0.086]	[0.080]	[0.085]	[0.076]	[0.079]
momMaxEdu_Uni_F	0.092	0.087	0.099	0.051	0.007	0.032	0.054	0.002	0.057	0.054
	[0.066]	[0.082]	[0.066]	[0.042]	[0.049]	[0.044]	[0.046]	[0.053]	[0.048]	[0.051]
dadMaxEdu_Uni_F	0.273***	0.293***	0.299***	0.006	0.023	0.011	0.116**	0.131**	0.073	0.073
	[0.071]	[0.089]	[0.072]	[0.044]	[0.048]	[0.046]	[0.049]	[0.055]	[0.051]	[0.052]
momMaxEdu_Uni_Miss	0.083	0.162	0.142	-0.183	-0.215	-0.234	-0.104	-0.164	0.045	-0.022
	[0.205]	[0.230]	[0.205]	[0.200]	[0.166]	[0.197]	[0.176]	[0.163]	[0.217]	[0.199]
dadMaxEdu_Uni_Miss	0.114	0.030	0.034	0.004	0.033	0.051	0.113	0.125*	0.016	0.019
	[0.102]	[0.137]	[0.103]	[0.063]	[0.064]	[0.066]	[0.075]	[0.076]	[0.069]	[0.069]
HighInc_F	0.062	0.018	0.018	0.014	-0.005	0.006	0.007	-0.016	0.086	0.074
	[0.074]	[0.090]	[0.077]	[0.051]	[0.055]	[0.052]	[0.053]	[0.057]	[0.060]	[0.061]
HighInc_Miss	-0.003	-0.015	-0.032	-0.146***	-0.204***	-0.152***	-0.039	-0.094	-0.071	-0.126**
	[0.071]	[0.085]	[0.069]	[0.045]	[0.053]	[0.049]	[0.051]	[0.060]	[0.048]	[0.053]
houseOwn_F	-0.101*	-0.044	-0.055	0.019	0.031	0.044	0.013	0.029	-0.090**	-0.083**
	[0.057]	[0.070]	[0.060]	[0.040]	[0.042]	[0.041]	[0.044]	[0.049]	[0.042]	[0.042]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.014	-0.009	-0.007	-0.005	-0.012	-0.006	0.000	-0.005	-0.028***	-0.025**
	[0.011]	[0.013]	[0.011]	[0.010]	[0.011]	[0.010]	[0.009]	[0.011]	[0.010]	[0.011]
cgRelig_F	-0.166**	-0.063	-0.095	-0.080	-0.086	-0.129**	-0.023	0.030	-0.203***	-0.241***
	[0.084]	[0.114]	[0.094]	[0.052]	[0.057]	[0.054]	[0.062]	[0.070]	[0.055]	[0.060]
cgRelig_Miss	0.105	0.079	0.288**	-0.294***	-0.392***	-0.485***	0.018	-0.253	-0.341***	-0.440***
	[0.187]	[0.278]	[0.130]	[0.112]	[0.100]	[0.120]	[0.192]	[0.249]	[0.112]	[0.089]
CAPI	-0.042	-0.104	-0.079	-0.041	-0.056	-0.034	-0.039	-0.040	-0.049	-0.069
	[0.058]	[0.076]	[0.062]	[0.037]	[0.039]	[0.038]	[0.040]	[0.043]	[0.041]	[0.044]
houseOwn_Miss	-0.024	0.234		-0.523***		-0.526***	-0.344		-0.076	
	[0.421]	[0.472]		[0.075]		[0.071]	[0.267]		[0.293]	
Parma							0.102**			
							[0.051]			
Reggio								-0.074		0.079
								[0.062]		[0.056]
materna_Municipal								-0.040		-0.077
								[0.065]		[0.062]
Padova									-0.072	
									[0.051]	
Constant	0.397	0.054	-0.105	0.284	0.232	0.245	0.200	0.345	0.369	0.071
	[0.554]	[0.673]	[0.574]	[0.373]	[0.425]	[0.385]	[0.409]	[0.452]	[0.407]	[0.426]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.133	-0.198	0.172	0.053	0.129	0.076	0.053	0.051	0.097	0.187
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
