	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.125**	0.291	0.462	-0.092**	-0.120***	-0.128***	-0.118**	-0.085	-0.131**	-0.093
	[0.056]	[0.265]	[0.342]	[0.043]	[0.044]	[0.046]	[0.054]	[0.088]	[0.054]	[0.098]
unobs			-0.710							
			[0.506]							
unobs2			0.065							
			[0.210]							
unobs3			0.315							
			[0.654]							
Age	-0.137*	-0.143*	-0.148*	-0.026	-0.069	0.002	-0.060	-0.050	-0.066	-0.090
	[0.077]	[0.084]	[0.078]	[0.053]	[0.066]	[0.060]	[0.058]	[0.062]	[0.057]	[0.070]
Male	-0.068	-0.077	-0.079	-0.021	-0.010	-0.021	-0.067*	-0.078*	-0.032	-0.025
	[0.054]	[0.060]	[0.055]	[0.036]	[0.043]	[0.042]	[0.040]	[0.044]	[0.039]	[0.046]
poorBHealth	0.129	0.105	0.102	0.015	0.052	0.008	0.056	0.041	0.043	0.069
	[0.089]	[0.093]	[0.089]	[0.062]	[0.078]	[0.065]	[0.065]	[0.073]	[0.070]	[0.092]
oldsibs	-0.152*	-0.086	-0.113	0.020	0.050	-0.029	-0.102	-0.078	-0.049	-0.032
	[0.079]	[0.074]	[0.088]	[0.088]	[0.102]	[0.091]	[0.078]	[0.099]	[0.074]	[0.091]
momMaxEdu_Uni_F	0.057	0.054	0.060	0.056	0.024	0.045	0.030	0.031	0.066	0.022
	[0.069]	[0.079]	[0.068]	[0.042]	[0.050]	[0.048]	[0.047]	[0.052]	[0.050]	[0.059]
dadMaxEdu_Uni_F	0.145**	0.159*	0.159**	0.079*	0.085*	0.075	0.191***	0.191***	0.067	0.060
	[0.073]	[0.086]	[0.073]	[0.045]	[0.050]	[0.048]	[0.050]	[0.054]	[0.052]	[0.057]
momMaxEdu_Uni_Miss	-0.166	-0.111	-0.123	0.027	-0.068	0.014	-0.240	-0.253**	-0.046	-0.156
	[0.179]	[0.164]	[0.185]	[0.193]	[0.157]	[0.199]	[0.146]	[0.115]	[0.189]	[0.139]
dadMaxEdu_Uni_Miss	0.226**	0.167	0.163	0.082	0.042	0.028	0.155*	0.077	0.109	0.097
	[0.102]	[0.116]	[0.109]	[0.067]	[0.085]	[0.084]	[0.080]	[0.093]	[0.071]	[0.085]
HighInc_F	-0.054	-0.085	-0.088	-0.072	-0.039	-0.081	-0.084	-0.086	-0.034	-0.024
	[0.076]	[0.087]	[0.079]	[0.051]	[0.058]	[0.055]	[0.053]	[0.061]	[0.060]	[0.064]
HighInc_Miss	-0.085	-0.093	-0.093	-0.143***	-0.092*	-0.102*	-0.119**	-0.079	-0.105**	-0.068
	[0.066]	[0.075]	[0.066]	[0.042]	[0.053]	[0.055]	[0.049]	[0.056]	[0.046]	[0.056]
houseOwn_F	0.072	0.112*	0.119**	0.068*	0.059	0.113***	0.090**	0.077	0.039	0.053
	[0.055]	[0.065]	[0.058]	[0.038]	[0.048]	[0.044]	[0.042]	[0.049]	[0.041]	[0.049]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.015	0.019	0.020*	0.007	0.003	0.002	0.014*	0.003	0.003	0.005
	[0.011]	[0.012]	[0.011]	[0.010]	[0.011]	[0.011]	[0.008]	[0.010]	[0.010]	[0.011]
cgRelig_F	-0.040	0.033	0.051	-0.095*	-0.078	-0.161**	-0.048	-0.019	-0.102*	-0.115*
	[0.083]	[0.100]	[0.093]	[0.054]	[0.062]	[0.069]	[0.061]	[0.069]	[0.061]	[0.069]
cgRelig_Miss	0.411	0.392	0.241	0.169	0.197	-0.072	0.058	-0.215	0.338**	0.308**
	[0.307]	[0.363]	[0.325]	[0.132]	[0.143]	[0.172]	[0.234]	[0.222]	[0.132]	[0.140]
CAPI	-0.035	-0.078	-0.080	-0.016	0.025	0.001	-0.048	-0.038	-0.012	0.029
	[0.056]	[0.067]	[0.061]	[0.036]	[0.044]	[0.042]	[0.040]	[0.044]	[0.040]	[0.048]
houseOwn_Miss	0.207	0.389		-0.315***		-0.341***	-0.049		-0.018	
	[0.366]	[0.381]		[0.079]		[0.067]	[0.258]		[0.191]	
Parma							-0.008			
							[0.050]			
Reggio								-0.029		0.070
								[0.066]		[0.061]
materna_Municipal								-0.060		-0.055
								[0.065]		[0.079]
Padova									-0.086*	
									[0.051]	
Constant	1.304**	1.063*	0.970*	0.608*	0.882**	0.497	0.814**	0.803*	0.933**	1.010**
	[0.539]	[0.597]	[0.583]	[0.360]	[0.446]	[0.401]	[0.401]	[0.433]	[0.398]	[0.479]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.115	-0.062	0.129	0.057	0.058	0.058	0.096	0.086	0.064	0.095
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.35	.35	.35	.35	.35	.35	.35	.35	.35	.35
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
