	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.002	0.025	0.068	-0.010	-0.013	-0.015	0.010	-0.056	-0.004	-0.017
	[0.040]	[0.123]	[0.138]	[0.030]	[0.031]	[0.036]	[0.040]	[0.058]	[0.040]	[0.053]
unobs			-0.148							
			[0.232]							
unobs2			-0.002							
			[0.146]							
unobs3			0.251							
			[0.376]							
Age	-0.016	-0.016	-0.015	0.077**	0.081***	0.252***	-0.006	0.030	0.075**	0.100**
	[0.056]	[0.056]	[0.056]	[0.034]	[0.030]	[0.082]	[0.038]	[0.038]	[0.038]	[0.044]
Male	0.174***	0.174***	0.177***	0.144***	0.073***	0.209***	0.159***	0.080**	0.160***	0.129***
	[0.040]	[0.041]	[0.041]	[0.026]	[0.026]	[0.045]	[0.029]	[0.035]	[0.029]	[0.029]
poorBHealth	-0.002	-0.006	-0.001	0.019	-0.055	-0.003	0.004	-0.067	0.046	0.047
	[0.083]	[0.087]	[0.085]	[0.039]	[0.086]	[0.070]	[0.048]	[0.087]	[0.045]	[0.040]
oldsibs	0.158***	0.163***	0.149**	0.047	0.053	0.071	0.149***	0.124***	0.047	0.040
	[0.052]	[0.060]	[0.059]	[0.061]	[0.049]	[0.049]	[0.036]	[0.041]	[0.063]	[0.048]
momMaxEdu_Uni_F	0.019	0.020	0.017	-0.011	0.019	0.175***	0.003	-0.010	-0.010	0.043
	[0.049]	[0.049]	[0.051]	[0.028]	[0.023]	[0.053]	[0.034]	[0.033]	[0.032]	[0.043]
dadMaxEdu_Uni_F	-0.065	-0.064	-0.064	-0.017	-0.054**	-0.162**	0.006	-0.037	-0.078**	-0.116***
	[0.056]	[0.057]	[0.057]	[0.028]	[0.024]	[0.071]	[0.035]	[0.034]	[0.035]	[0.037]
momMaxEdu_Uni_Miss	0.108*	0.113*	0.096	0.151***	0.147***	0.166	0.149***	0.143***	0.106**	0.124**
	[0.063]	[0.063]	[0.063]	[0.042]	[0.034]	[0.115]	[0.046]	[0.054]	[0.047]	[0.048]
dadMaxEdu_Uni_Miss	-0.075	-0.078	-0.073	-0.010	-0.060*	-0.391***	-0.068	-0.111	-0.027	-0.087
	[0.088]	[0.086]	[0.083]	[0.047]	[0.033]	[0.078]	[0.065]	[0.068]	[0.050]	[0.054]
HighInc_F	0.044	0.044	0.044	0.019	-0.025	-0.003	0.022	0.034	0.047	0.048
	[0.053]	[0.053]	[0.054]	[0.032]	[0.021]	[0.042]	[0.035]	[0.037]	[0.039]	[0.038]
HighInc_Miss	0.006	0.005	0.005	-0.064*	-0.065***	0.092	-0.026	-0.012	-0.034	-0.016
	[0.060]	[0.061]	[0.060]	[0.033]	[0.020]	[0.076]	[0.038]	[0.031]	[0.037]	[0.037]
houseOwn_F	-0.024	-0.021	-0.026	0.033	0.075***	0.102**	0.005	0.064**	0.018	0.038
	[0.045]	[0.049]	[0.049]	[0.028]	[0.029]	[0.041]	[0.033]	[0.030]	[0.031]	[0.026]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.005	0.005	0.005	0.001	0.011**	0.018*	0.007	0.017**	0.002	0.008
	[0.008]	[0.008]	[0.009]	[0.006]	[0.006]	[0.011]	[0.006]	[0.007]	[0.007]	[0.006]
cgRelig_F	-0.081**	-0.077**	-0.076**	-0.036	-0.045	-0.050	-0.035	-0.017	-0.063**	-0.078**
	[0.040]	[0.034]	[0.038]	[0.031]	[0.036]	[0.038]	[0.035]	[0.043]	[0.031]	[0.035]
cgRelig_Miss	0.094	0.093	0.088	0.147***	0.138***	0.225**	0.136**	0.226***	0.112**	0.068
	[0.082]	[0.077]	[0.077]	[0.047]	[0.047]	[0.099]	[0.055]	[0.078]	[0.050]	[0.047]
CAPI	0.009	0.006	0.010	-0.011	-0.025	0.178***	-0.019	-0.048	0.005	0.036
	[0.044]	[0.046]	[0.045]	[0.025]	[0.023]	[0.049]	[0.028]	[0.034]	[0.029]	[0.034]
houseOwn_Miss	0.022	0.036		0.196***		0.179*	0.142*		0.101*	
	[0.060]	[0.091]		[0.049]		[0.099]	[0.075]		[0.053]	
Parma							0.015			
							[0.036]			
Reggio								0.012		-0.029
								[0.049]		[0.041]
materna_Municipal								0.063		0.020
								[0.041]		[0.033]
Padova									0.015	
									[0.037]	
Constant	0.957**	0.934**	0.912**	0.317	0.312	-1.098*	0.840***	0.581**	0.338	0.166
	[0.375]	[0.406]	[0.401]	[0.233]	[0.231]	[0.576]	[0.252]	[0.250]	[0.261]	[0.339]
										
Observations	265	265	264	636	634	634	515	513	500	498
R-squared	0.110	0.109	0.111	0.077	0.159	0.794	0.083	0.186	0.100	0.158
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.88	.88	.88	.88	.88	.88	.88	.88	.88	.88
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
