	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.049*	-0.037	-0.017	-0.038**	-0.024	-0.016	-0.058**	0.060	-0.054*	-0.042
	[0.027]	[0.057]	[0.073]	[0.018]	[0.029]	[0.031]	[0.028]	[0.062]	[0.028]	[0.040]
unobs			-0.057							
			[0.131]							
unobs2			0.002							
			[0.100]							
unobs3			0.076							
			[0.191]							
Age	0.029	0.029	0.029	0.004	0.006	-0.379***	0.047*	0.031	-0.013	-0.055
	[0.039]	[0.038]	[0.039]	[0.023]	[0.067]	[0.089]	[0.027]	[0.054]	[0.024]	[0.041]
Male	-0.033	-0.033	-0.032	-0.030	-0.089*	-0.257***	-0.035	-0.008	-0.034*	-0.054**
	[0.025]	[0.025]	[0.025]	[0.019]	[0.049]	[0.060]	[0.021]	[0.036]	[0.021]	[0.024]
poorBHealth	0.100	0.099	0.100	0.039	0.090	0.004	0.056	0.126	0.023	0.002
	[0.069]	[0.070]	[0.070]	[0.035]	[0.104]	[0.119]	[0.044]	[0.110]	[0.038]	[0.036]
oldsibs	-0.074**	-0.072**	-0.075*	-0.050***	-0.011	-0.155*	-0.052**	-0.014	-0.060***	-0.059**
	[0.035]	[0.036]	[0.038]	[0.014]	[0.084]	[0.094]	[0.020]	[0.067]	[0.016]	[0.023]
momMaxEdu_Uni_F	0.006	0.006	0.005	0.001	0.134**	-0.087	-0.005	0.034	0.011	-0.005
	[0.041]	[0.041]	[0.043]	[0.023]	[0.057]	[0.066]	[0.028]	[0.040]	[0.028]	[0.049]
dadMaxEdu_Uni_F	0.072	0.073	0.073	0.014	0.060	0.091	0.054*	0.084**	0.025	0.022
	[0.046]	[0.046]	[0.046]	[0.024]	[0.055]	[0.075]	[0.031]	[0.043]	[0.030]	[0.034]
momMaxEdu_Uni_Miss	-0.019	-0.017	-0.021	-0.036	0.131	-0.068	-0.057**	0.034	-0.034	-0.028
	[0.038]	[0.036]	[0.041]	[0.024]	[0.130]	[0.102]	[0.029]	[0.064]	[0.028]	[0.038]
dadMaxEdu_Uni_Miss	-0.054*	-0.055*	-0.055*	-0.016	-0.124*	0.322***	-0.027	-0.302***	-0.023	0.007
	[0.030]	[0.030]	[0.030]	[0.027]	[0.068]	[0.076]	[0.030]	[0.078]	[0.026]	[0.054]
HighInc_F	-0.013	-0.014	-0.014	0.024	-0.067	0.061	0.015	-0.195***	0.004	0.005
	[0.039]	[0.039]	[0.039]	[0.026]	[0.052]	[0.045]	[0.029]	[0.047]	[0.031]	[0.033]
HighInc_Miss	-0.032	-0.032	-0.032	0.000	-0.304***	0.096	-0.000	-0.205***	-0.016	0.010
	[0.039]	[0.039]	[0.039]	[0.022]	[0.062]	[0.117]	[0.027]	[0.044]	[0.024]	[0.045]
houseOwn_F	-0.059*	-0.058*	-0.059*	-0.029	-0.280***	-0.076	-0.058**	-0.165***	-0.036	-0.065**
	[0.032]	[0.033]	[0.035]	[0.020]	[0.055]	[0.050]	[0.025]	[0.036]	[0.022]	[0.028]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.002	0.002	0.002	-0.009**	-0.012	-0.016	-0.004	-0.020**	-0.002	-0.006
	[0.004]	[0.004]	[0.005]	[0.004]	[0.009]	[0.012]	[0.003]	[0.008]	[0.004]	[0.004]
cgRelig_F	0.042***	0.044**	0.045**	-0.015	0.033	-0.087*	0.018	0.017	0.000	-0.022
	[0.015]	[0.017]	[0.020]	[0.026]	[0.051]	[0.047]	[0.024]	[0.049]	[0.025]	[0.038]
cgRelig_Miss	0.017	0.017	0.015	0.030	0.435***	-0.302***	0.123	0.445***	-0.029	-0.051
	[0.042]	[0.043]	[0.043]	[0.095]	[0.098]	[0.104]	[0.130]	[0.096]	[0.033]	[0.049]
CAPI	-0.053*	-0.054*	-0.054*	0.019	0.042	-0.187***	0.004	0.158***	-0.019	-0.058*
	[0.030]	[0.030]	[0.030]	[0.018]	[0.047]	[0.056]	[0.021]	[0.040]	[0.021]	[0.034]
houseOwn_Miss	-0.108**	-0.102**		-0.075***		-0.170	-0.095***		-0.060**	
	[0.047]	[0.048]		[0.025]		[0.128]	[0.035]		[0.028]	
Parma							-0.017			
							[0.030]			
Reggio								-0.035		0.019
								[0.050]		[0.032]
materna_Municipal								-0.120**		-0.008
								[0.052]		[0.027]
Padova									-0.026	
									[0.029]	
Constant	-0.089	-0.100	-0.109	0.085	0.264	2.957***	-0.206	0.060	0.221	0.559
	[0.263]	[0.259]	[0.271]	[0.167]	[0.483]	[0.613]	[0.185]	[0.374]	[0.186]	[0.344]
										
Observations	265	265	264	636	634	634	515	513	500	498
R-squared	0.104	0.104	0.105	0.030	0.774	0.800	0.061	0.873	0.036	0.099
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.05	.05	.05	.05	.05	.05	.05	.05	.05	.05
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
