	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.006	0.190	-0.056	0.026	0.015	-0.016	-0.024	0.169*	-0.002	-0.248*
	[0.057]	[0.200]	[0.206]	[0.045]	[0.055]	[0.062]	[0.057]	[0.101]	[0.057]	[0.132]
unobs			0.211							
			[0.327]							
unobs2			-0.267							
			[0.208]							
unobs3			-0.573							
			[0.577]							
Age	0.013	0.010	0.011	0.031	-0.384***	-0.004	0.041	-0.162**	0.027	-0.243*
	[0.082]	[0.082]	[0.082]	[0.054]	[0.101]	[0.107]	[0.061]	[0.080]	[0.058]	[0.134]
Male	-0.120**	-0.122**	-0.126**	-0.208***	-0.298***	-0.468***	-0.191***	-0.350***	-0.158***	-0.202
	[0.059]	[0.060]	[0.060]	[0.037]	[0.085]	[0.116]	[0.041]	[0.051]	[0.042]	[0.142]
poorBHealth	-0.038	-0.050	-0.050	0.100	0.104	0.197*	0.016	-0.013	0.015	-0.031
	[0.095]	[0.093]	[0.096]	[0.063]	[0.090]	[0.115]	[0.068]	[0.077]	[0.071]	[0.137]
oldsibs	-0.012	0.025	0.020	0.012	0.081	-0.191	-0.030	0.046	0.018	-0.051
	[0.135]	[0.142]	[0.143]	[0.106]	[0.115]	[0.278]	[0.112]	[0.122]	[0.104]	[0.119]
momMaxEdu_Uni_F	0.086	0.084	0.083	0.057	-0.346***	0.083	0.031	-0.205***	0.146***	-0.156
	[0.070]	[0.072]	[0.070]	[0.043]	[0.100]	[0.095]	[0.047]	[0.056]	[0.050]	[0.127]
dadMaxEdu_Uni_F	-0.068	-0.065	-0.067	0.100**	0.357***	0.064	-0.007	0.230***	0.034	0.144
	[0.077]	[0.077]	[0.079]	[0.046]	[0.101]	[0.167]	[0.052]	[0.060]	[0.055]	[0.139]
momMaxEdu_Uni_Miss	-0.092	-0.067	-0.047	-0.182	-0.308*	-0.246	-0.064	-0.049	-0.029	-0.164
	[0.208]	[0.240]	[0.215]	[0.168]	[0.167]	[0.249]	[0.176]	[0.165]	[0.212]	[0.263]
dadMaxEdu_Uni_Miss	-0.108	-0.136	-0.129	-0.132**	0.122	-0.274**	-0.071	0.183**	-0.130*	-0.100
	[0.104]	[0.114]	[0.107]	[0.062]	[0.201]	[0.138]	[0.076]	[0.074]	[0.071]	[0.184]
HighInc_F	-0.065	-0.082	-0.077	0.003	0.228*	0.719***	0.048	0.142*	-0.090	-0.080
	[0.081]	[0.086]	[0.085]	[0.053]	[0.132]	[0.139]	[0.056]	[0.077]	[0.062]	[0.100]
HighInc_Miss	0.185**	0.177**	0.184**	0.211***	0.039	0.563***	0.206***	-0.093	0.187***	0.148**
	[0.073]	[0.074]	[0.072]	[0.044]	[0.090]	[0.087]	[0.052]	[0.060]	[0.049]	[0.068]
houseOwn_F	-0.113*	-0.095	-0.092	-0.042	0.054	-0.057	-0.087**	0.160**	-0.034	-0.206*
	[0.060]	[0.064]	[0.065]	[0.039]	[0.088]	[0.098]	[0.044]	[0.064]	[0.043]	[0.106]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.018	0.020*	0.017	-0.005	0.046**	-0.053*	0.005	0.027**	0.011	0.070***
	[0.011]	[0.012]	[0.012]	[0.010]	[0.018]	[0.029]	[0.009]	[0.011]	[0.010]	[0.026]
cgRelig_F	-0.173*	-0.140	-0.138	-0.130**	-0.157**	-0.112	-0.151**	-0.210***	-0.162***	-0.131
	[0.088]	[0.100]	[0.095]	[0.053]	[0.076]	[0.079]	[0.063]	[0.064]	[0.060]	[0.098]
cgRelig_Miss	0.400***	0.433***	0.380**	-0.097	-0.357**	0.688***	0.022	-0.499***	0.022	-0.162
	[0.134]	[0.117]	[0.150]	[0.180]	[0.144]	[0.208]	[0.207]	[0.111]	[0.198]	[0.225]
CAPI	-0.131**	-0.160**	-0.158**	-0.022	0.101*	0.218**	-0.025	0.082*	-0.111**	-0.019
	[0.061]	[0.067]	[0.066]	[0.037]	[0.060]	[0.096]	[0.041]	[0.049]	[0.043]	[0.073]
houseOwn_Miss	-0.727***	-0.641***		-0.647***		-0.822***	-0.641***		-0.590***	
	[0.093]	[0.129]		[0.057]		[0.098]	[0.080]		[0.081]	
Parma							-0.024			
							[0.052]			
Reggio								-0.094		0.135*
								[0.082]		[0.071]
materna_Municipal								-0.198***		0.231**
								[0.072]		[0.117]
Padova									-0.057	
									[0.053]	
Constant	0.610	0.505	0.684	0.362	3.006***	0.544	0.378	1.761***	0.446	2.085**
	[0.570]	[0.576]	[0.581]	[0.362]	[0.680]	[0.781]	[0.419]	[0.596]	[0.403]	[0.951]
										
Observations	296	296	295	676	675	674	575	573	534	533
R-squared	0.127	0.090	0.131	0.107	0.998	0.874	0.084	0.999	0.110	0.210
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.43	.43	.43	.43	.43	.43	.43	.43	.43	.43
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
