	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.060	0.084	-0.005	0.014	-0.004	0.030	-0.065	0.024	-0.053	0.011
	[0.057]	[0.217]	[0.253]	[0.044]	[0.059]	[0.061]	[0.056]	[0.087]	[0.056]	[0.087]
unobs			0.086							
			[0.396]							
unobs2			0.165							
			[0.220]							
unobs3			-0.470							
			[0.613]							
Age	-0.180**	-0.183**	-0.184**	0.005	0.405***	0.285*	-0.051	0.035	-0.111*	0.025
	[0.078]	[0.079]	[0.078]	[0.052]	[0.101]	[0.151]	[0.058]	[0.082]	[0.057]	[0.091]
Male	-0.082	-0.085	-0.092	0.000	0.016	-0.022	-0.072*	0.154***	-0.010	-0.043
	[0.057]	[0.058]	[0.058]	[0.035]	[0.065]	[0.115]	[0.039]	[0.044]	[0.040]	[0.065]
poorBHealth	0.159*	0.150	0.148	0.149**	0.366**	-0.221	0.144**	0.125	0.171**	0.279*
	[0.094]	[0.096]	[0.095]	[0.063]	[0.155]	[0.180]	[0.066]	[0.106]	[0.072]	[0.165]
oldsibs	0.162	0.195	0.215	-0.028	0.022	0.201	0.147	0.216*	0.031	0.051
	[0.135]	[0.149]	[0.144]	[0.094]	[0.105]	[0.208]	[0.113]	[0.126]	[0.096]	[0.128]
momMaxEdu_Uni_F	-0.039	-0.041	-0.031	0.038	0.423***	0.428***	0.034	0.424***	-0.023	-0.103
	[0.069]	[0.069]	[0.070]	[0.041]	[0.099]	[0.164]	[0.045]	[0.062]	[0.049]	[0.078]
dadMaxEdu_Uni_F	-0.048	-0.043	-0.042	-0.030	0.098	0.287	-0.008	0.140*	-0.053	0.001
	[0.073]	[0.074]	[0.074]	[0.043]	[0.107]	[0.207]	[0.048]	[0.072]	[0.051]	[0.061]
momMaxEdu_Uni_Miss	0.004	0.023	0.046	-0.001	0.443	0.217	-0.097	0.050	-0.048	0.052
	[0.209]	[0.189]	[0.212]	[0.184]	[0.293]	[0.323]	[0.167]	[0.224]	[0.174]	[0.275]
dadMaxEdu_Uni_Miss	0.002	-0.019	-0.030	-0.058	-0.134	-0.087	-0.041	0.025	-0.003	0.083
	[0.106]	[0.111]	[0.107]	[0.064]	[0.118]	[0.082]	[0.076]	[0.072]	[0.074]	[0.146]
HighInc_F	0.025	0.015	0.012	-0.016	0.443***	-0.136	0.006	0.101	0.049	0.057
	[0.078]	[0.080]	[0.078]	[0.049]	[0.158]	[0.097]	[0.051]	[0.081]	[0.059]	[0.075]
HighInc_Miss	0.011	0.008	0.007	0.076*	-0.063	-0.031	0.021	0.079*	0.042	-0.033
	[0.070]	[0.070]	[0.071]	[0.044]	[0.112]	[0.145]	[0.049]	[0.044]	[0.048]	[0.066]
houseOwn_F	-0.080	-0.066	-0.063	-0.088**	-0.272**	-0.365**	-0.139***	-0.269***	-0.038	0.069
	[0.059]	[0.062]	[0.063]	[0.039]	[0.113]	[0.153]	[0.043]	[0.061]	[0.043]	[0.049]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.005	0.007	0.008	-0.003	0.034	-0.011	0.000	0.022*	-0.003	-0.035**
	[0.012]	[0.012]	[0.012]	[0.009]	[0.022]	[0.022]	[0.008]	[0.012]	[0.010]	[0.016]
cgRelig_F	-0.051	-0.026	-0.043	0.008	0.031	0.145	-0.044	-0.111	0.016	0.108
	[0.084]	[0.089]	[0.088]	[0.050]	[0.080]	[0.102]	[0.058]	[0.070]	[0.059]	[0.078]
cgRelig_Miss	-0.387***	-0.391***	-0.359***	-0.193*	0.181	-0.018	-0.172	-0.028	-0.273***	-0.087
	[0.101]	[0.100]	[0.104]	[0.100]	[0.148]	[0.147]	[0.136]	[0.101]	[0.105]	[0.110]
CAPI	0.093	0.077	0.077	0.033	0.017	-0.175	0.088**	0.145**	0.035	-0.068
	[0.059]	[0.063]	[0.062]	[0.035]	[0.158]	[0.150]	[0.039]	[0.056]	[0.041]	[0.071]
houseOwn_Miss	-0.315***	-0.245*		0.271		-0.057	-0.018		0.122	
	[0.091]	[0.136]		[0.261]		[0.471]	[0.277]		[0.358]	
Parma							-0.097*			
							[0.049]			
Reggio								0.117		0.049
								[0.075]		[0.063]
materna_Municipal								-0.116**		-0.090
								[0.055]		[0.062]
Padova									-0.039	
									[0.051]	
Constant	1.694***	1.614***	1.642***	0.311	-2.643***	-1.539*	0.833**	-0.104	1.144***	0.229
	[0.541]	[0.556]	[0.552]	[0.352]	[0.744]	[0.930]	[0.398]	[0.601]	[0.394]	[0.618]
										
Observations	308	308	307	729	726	726	595	592	584	582
R-squared	0.073	0.052	0.078	0.031	0.998	0.596	0.059	0.986	0.034	0.377
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.38	.38	.38	.38	.38	.38	.38	.38	.38	.38
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
