	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.028	0.045	-0.138	0.028	0.029	0.027	0.025	0.096*	0.022	-0.021
	[0.031]	[0.200]	[0.300]	[0.023]	[0.025]	[0.023]	[0.031]	[0.057]	[0.031]	[0.046]
unobsM			0.288							
			[0.435]							
unobsM2			-0.064							
			[0.155]							
unobsM3			-0.396							
			[0.496]							
Age	0.055	0.056	0.050	0.017	0.009	0.011	0.030	0.023	0.018	0.020
	[0.059]	[0.058]	[0.059]	[0.031]	[0.036]	[0.031]	[0.039]	[0.042]	[0.035]	[0.038]
Male	0.001	0.002	-0.002	0.031	0.021	0.033	0.010	0.002	0.028	0.024
	[0.031]	[0.030]	[0.031]	[0.022]	[0.028]	[0.022]	[0.024]	[0.029]	[0.023]	[0.028]
poorBHealth	0.094***	0.096***	0.087***	0.024	0.028	0.019	0.046	0.037	0.049	0.056*
	[0.024]	[0.032]	[0.033]	[0.036]	[0.034]	[0.039]	[0.035]	[0.035]	[0.031]	[0.029]
oldsibs	0.035	0.035	0.034	0.035*	0.042*	0.038*	0.025	0.033	0.051**	0.057**
	[0.032]	[0.032]	[0.032]	[0.021]	[0.024]	[0.021]	[0.025]	[0.029]	[0.021]	[0.023]
momMaxEdu_Uni_F	-0.007	-0.005	-0.013	0.024	-0.012	0.024	0.030	0.005	-0.005	-0.025
	[0.041]	[0.049]	[0.052]	[0.029]	[0.040]	[0.030]	[0.034]	[0.043]	[0.029]	[0.034]
dadMaxEdu_Uni_F	0.074*	0.073	0.077	0.031	0.065	0.030	0.024	0.056	0.069**	0.082***
	[0.043]	[0.047]	[0.048]	[0.030]	[0.041]	[0.031]	[0.035]	[0.044]	[0.029]	[0.031]
momMaxEdu_Uni_Miss	-0.226	-0.226	-0.226	-0.079	-0.072	-0.073	-0.127	-0.208	-0.170	-0.173
	[0.178]	[0.178]	[0.182]	[0.105]	[0.094]	[0.104]	[0.143]	[0.171]	[0.117]	[0.119]
dadMaxEdu_Uni_Miss	-0.028	-0.030	-0.025	-0.003	0.028	-0.003	-0.045	-0.003	0.005	0.021
	[0.050]	[0.050]	[0.049]	[0.036]	[0.037]	[0.037]	[0.040]	[0.041]	[0.038]	[0.037]
HighInc_F	-0.044	-0.045	-0.039	-0.021	-0.033	-0.017	-0.027	-0.031	-0.033	-0.020
	[0.041]	[0.043]	[0.043]	[0.028]	[0.038]	[0.028]	[0.032]	[0.040]	[0.032]	[0.031]
HighInc_Miss	-0.001	-0.002	0.006	-0.041	-0.023	-0.041	-0.036	-0.024	-0.021	-0.012
	[0.040]	[0.039]	[0.039]	[0.028]	[0.028]	[0.029]	[0.033]	[0.034]	[0.029]	[0.029]
houseOwn_F	0.000	-0.000	0.005	0.025	0.025	0.024	0.010	-0.006	0.021	0.041
	[0.047]	[0.047]	[0.047]	[0.033]	[0.035]	[0.034]	[0.037]	[0.039]	[0.034]	[0.038]
distCenter	-0.007	-0.007	-0.009	0.010*	0.011	0.011*	-0.003	-0.003	0.003	0.008
	[0.009]	[0.009]	[0.009]	[0.006]	[0.007]	[0.006]	[0.006]	[0.007]	[0.007]	[0.007]
cgRelig_F	0.018	0.023	0.010	-0.004	-0.030	-0.009	-0.005	-0.024	0.004	-0.025
	[0.041]	[0.072]	[0.070]	[0.030]	[0.033]	[0.030]	[0.032]	[0.041]	[0.032]	[0.029]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.006	-0.008	-0.004	-0.024	-0.019	-0.025	-0.023	-0.031	-0.015	0.003
	[0.033]	[0.038]	[0.038]	[0.022]	[0.026]	[0.023]	[0.024]	[0.027]	[0.023]	[0.025]
cgRelig_Miss	0.047	0.043		0.110***		0.107***	0.057		0.087**	
	[0.063]	[0.082]		[0.033]		[0.033]	[0.044]		[0.037]	
Parma							-0.024			
							[0.030]			
Reggio								-0.004		0.008
								[0.035]		[0.032]
materna_Municipal								-0.076		0.043
								[0.047]		[0.035]
Padova									-0.005	
									[0.029]	
Constant	-0.124	-0.162	0.083	0.522	0.687	0.641	0.353	0.519	0.520	0.463
	[1.116]	[1.131]	[1.148]	[0.591]	[0.691]	[0.589]	[0.746]	[0.803]	[0.665]	[0.727]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.059	0.058	0.062	0.035	0.026	0.036	0.026	0.037	0.049	0.051
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.92	.92	.92	.92	.92	.92	.92	.92	.92	.92
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
