	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.067**	0.032	-0.225	-0.019	-0.046	-0.022	-0.038	-0.393***	0.006	-0.020
	[0.032]	[0.490]	[0.162]	[0.029]	[0.045]	[0.030]	[0.039]	[0.139]	[0.039]	[0.052]
asilo_Municipal								0.323**		-0.038
								[0.126]		[0.038]
nido	0.077**	-0.022	0.075*	0.002	0.065	0.006	0.044	-0.154	-0.000	0.029
	[0.033]	[0.461]	[0.038]	[0.021]	[0.046]	[0.023]	[0.029]	[0.132]	[0.026]	[0.031]
unobsA			0.246							
			[0.245]							
unobsA2			-0.065							
			[0.094]							
unobsA3			-0.237							
			[0.316]							
Age	-0.143**	-0.107*	-0.115**	-0.014	-0.130**	-0.007	-0.051	-0.139**	-0.061**	-0.077**
	[0.057]	[0.061]	[0.057]	[0.031]	[0.061]	[0.034]	[0.040]	[0.060]	[0.030]	[0.033]
Male	0.015	0.006	0.005	0.011	0.030	0.014	0.008	0.017	0.023	0.012
	[0.032]	[0.032]	[0.033]	[0.018]	[0.034]	[0.020]	[0.024]	[0.034]	[0.019]	[0.022]
poorBHealth	-0.045	-0.048	-0.048	-0.009	-0.259**	-0.003	-0.052	-0.378***	-0.003	-0.013
	[0.065]	[0.071]	[0.071]	[0.034]	[0.114]	[0.033]	[0.047]	[0.110]	[0.036]	[0.031]
oldsibs	0.008	0.011	0.004	0.026	0.029	0.023	0.006	0.043	0.022	0.025
	[0.034]	[0.030]	[0.031]	[0.019]	[0.021]	[0.019]	[0.024]	[0.029]	[0.020]	[0.017]
momMaxEdu_Uni_F	-0.015	-0.003	-0.006	0.001	0.030	0.003	-0.007	0.021	-0.007	-0.002
	[0.042]	[0.045]	[0.042]	[0.023]	[0.031]	[0.026]	[0.030]	[0.035]	[0.027]	[0.028]
dadMaxEdu_Uni_F	0.023	0.026	0.024	-0.015	0.025	-0.006	0.004	0.007	0.009	0.030
	[0.048]	[0.048]	[0.046]	[0.025]	[0.028]	[0.027]	[0.030]	[0.033]	[0.029]	[0.032]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	0.006	0.004	0.018	-0.047	-0.150**	-0.052	-0.048	-0.123**	-0.017	-0.009
	[0.055]	[0.068]	[0.063]	[0.036]	[0.073]	[0.040]	[0.044]	[0.058]	[0.039]	[0.041]
HighInc_F	-0.035	-0.025	-0.008	0.008	0.026	0.009	0.001	0.035	-0.025	-0.023
	[0.042]	[0.062]	[0.049]	[0.026]	[0.028]	[0.027]	[0.029]	[0.033]	[0.032]	[0.034]
HighInc_Miss	0.028	0.024	0.010	0.017	0.003	0.015	-0.018	-0.022	0.033	0.039*
	[0.044]	[0.044]	[0.044]	[0.023]	[0.042]	[0.025]	[0.032]	[0.050]	[0.024]	[0.021]
houseOwn_F	-0.031	-0.041	-0.033	-0.017	-0.073	-0.005	-0.008	-0.077	-0.027	-0.002
	[0.044]	[0.045]	[0.042]	[0.026]	[0.055]	[0.033]	[0.035]	[0.058]	[0.026]	[0.030]
distCenter	-0.022**	-0.023**	-0.027***	-0.002	0.008	-0.003	-0.008	-0.003	-0.017**	-0.012**
	[0.009]	[0.009]	[0.010]	[0.005]	[0.006]	[0.007]	[0.006]	[0.006]	[0.007]	[0.006]
cgRelig_F	0.071	0.070	0.054	0.047	0.034	0.042	0.054	0.051	0.061*	0.024
	[0.046]	[0.050]	[0.047]	[0.030]	[0.055]	[0.032]	[0.036]	[0.055]	[0.031]	[0.030]
cgRelig_Miss	0.050	0.067	0.091	0.046	0.061	0.048	0.095**	0.025	0.029	-0.001
	[0.073]	[0.071]	[0.073]	[0.041]	[0.080]	[0.040]	[0.046]	[0.072]	[0.040]	[0.038]
CAPI	0.010	0.032	0.033	0.017	-0.071**	0.017	0.013	-0.031	-0.001	-0.011
	[0.033]	[0.035]	[0.033]	[0.019]	[0.034]	[0.020]	[0.025]	[0.030]	[0.021]	[0.021]
momMaxEdu_Uni_Miss	-0.332*			-0.191*		-0.239*	-0.251*		-0.265**	
	[0.176]			[0.110]		[0.129]	[0.148]		[0.113]	
Parma							-0.012			
							[0.030]			
Reggio								0.066		-0.041
								[0.047]		[0.030]
nidoXreggio								0.231		0.035
								[0.144]		[0.038]
Padova									0.032	
									[0.025]	
Constant	3.625***	2.965**	3.212***	1.169**	3.371***	1.027	1.873**	3.517***	2.070***	2.405***
	[1.053]	[1.144]	[1.076]	[0.590]	[1.160]	[0.643]	[0.740]	[1.134]	[0.557]	[0.632]
										
Observations	292	273	273	671	633	671	537	504	567	534
R-squared	0.114	0.079	0.092	0.037	0.312	0.038	0.043	0.406	0.092	0.059
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.91	.91	.91	.91	.91	.91	.91	.91	.91	.91
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
