	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.042	0.190	0.096	0.184***	0.190***	0.164***	0.017	0.154*	0.025	-0.064
	[0.058]	[0.253]	[0.347]	[0.045]	[0.046]	[0.047]	[0.057]	[0.084]	[0.057]	[0.097]
unobs			0.016							
			[0.506]							
unobs2			-0.342*							
			[0.202]							
unobs3			-0.316							
			[0.612]							
Age	-0.095	-0.097	-0.101	-0.097*	-0.076	-0.052	-0.066	-0.080	-0.080	-0.049
	[0.080]	[0.080]	[0.079]	[0.054]	[0.067]	[0.064]	[0.058]	[0.062]	[0.060]	[0.075]
Male	0.030	0.027	0.031	-0.025	-0.056	-0.068*	-0.016	-0.026	0.002	-0.043
	[0.058]	[0.059]	[0.058]	[0.035]	[0.041]	[0.039]	[0.039]	[0.041]	[0.041]	[0.048]
poorBHealth	0.054	0.045	0.043	0.128**	0.093	0.130*	0.151**	0.153**	0.037	-0.003
	[0.095]	[0.098]	[0.096]	[0.063]	[0.075]	[0.068]	[0.071]	[0.076]	[0.069]	[0.077]
oldsibs	0.148	0.171	0.147	-0.092	-0.072	-0.084	0.104	0.042	0.060	0.003
	[0.115]	[0.133]	[0.121]	[0.069]	[0.085]	[0.074]	[0.095]	[0.114]	[0.074]	[0.087]
momMaxEdu_Uni_F	-0.029	-0.030	-0.039	0.025	0.022	0.011	-0.006	-0.023	0.022	0.029
	[0.075]	[0.075]	[0.075]	[0.041]	[0.050]	[0.045]	[0.047]	[0.050]	[0.050]	[0.058]
dadMaxEdu_Uni_F	0.130	0.135	0.132*	0.082*	0.099*	0.091*	0.146***	0.138**	0.061	0.089
	[0.081]	[0.082]	[0.080]	[0.044]	[0.051]	[0.047]	[0.051]	[0.055]	[0.053]	[0.060]
momMaxEdu_Uni_Miss	-0.276*	-0.256	-0.237*	-0.240	-0.303*	-0.261*	-0.200	-0.253*	-0.275**	-0.315**
	[0.153]	[0.175]	[0.140]	[0.176]	[0.158]	[0.158]	[0.156]	[0.153]	[0.132]	[0.136]
dadMaxEdu_Uni_Miss	-0.145	-0.166	-0.172	-0.067	-0.068	-0.024	-0.037	0.054	-0.144**	-0.137*
	[0.103]	[0.114]	[0.109]	[0.061]	[0.070]	[0.073]	[0.077]	[0.078]	[0.067]	[0.078]
HighInc_F	-0.060	-0.071	-0.074	0.054	0.049	0.050	0.045	0.076	-0.039	-0.091
	[0.081]	[0.084]	[0.082]	[0.051]	[0.057]	[0.054]	[0.055]	[0.059]	[0.061]	[0.063]
HighInc_Miss	0.183***	0.180**	0.192***	0.120***	0.111**	0.153***	0.156***	0.154***	0.114**	0.099*
	[0.070]	[0.070]	[0.069]	[0.043]	[0.050]	[0.053]	[0.050]	[0.053]	[0.047]	[0.055]
houseOwn_F	-0.045	-0.030	-0.022	-0.059	-0.004	-0.024	-0.071*	-0.038	-0.047	-0.023
	[0.059]	[0.064]	[0.063]	[0.038]	[0.045]	[0.043]	[0.043]	[0.045]	[0.042]	[0.050]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.024**	-0.023**	-0.024**	0.004	-0.009	-0.002	-0.009	-0.016*	-0.013	-0.017
	[0.011]	[0.011]	[0.011]	[0.009]	[0.011]	[0.010]	[0.008]	[0.009]	[0.010]	[0.011]
cgRelig_F	0.182**	0.208**	0.233**	0.003	-0.074	-0.129*	0.038	-0.068	0.090	0.024
	[0.083]	[0.093]	[0.096]	[0.053]	[0.062]	[0.077]	[0.061]	[0.065]	[0.060]	[0.069]
cgRelig_Miss	0.315	0.309	0.205	-0.095	-0.202*	-0.261**	-0.028	-0.376***	0.112	-0.068
	[0.336]	[0.354]	[0.386]	[0.116]	[0.111]	[0.125]	[0.183]	[0.119]	[0.134]	[0.131]
CAPI	0.001	-0.014	-0.034	0.075**	0.071*	0.054	0.035	0.033	0.039	0.040
	[0.059]	[0.065]	[0.064]	[0.036]	[0.040]	[0.040]	[0.040]	[0.042]	[0.041]	[0.047]
houseOwn_Miss	-0.240	-0.176		-0.407***		-0.390***	-0.228		-0.216	
	[0.284]	[0.304]		[0.062]		[0.064]	[0.172]		[0.242]	
Parma							-0.178***			
							[0.050]			
Reggio								0.083		0.180***
								[0.065]		[0.060]
materna_Municipal								-0.127**		0.091
								[0.058]		[0.077]
Padova									-0.175***	
									[0.052]	
Constant	0.983*	0.897	1.037*	0.891**	0.846*	0.731*	0.860**	0.951**	0.959**	0.651
	[0.550]	[0.563]	[0.573]	[0.368]	[0.449]	[0.411]	[0.401]	[0.430]	[0.417]	[0.507]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.104	0.083	0.111	0.073	0.070	0.077	0.099	0.109	0.071	0.073
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.49	.49	.49	.49	.49	.49	.49	.49	.49	.49
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
