	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.051	0.293	0.125	-0.019	0.005	0.324	-0.139**	-0.032	-0.136**	-0.074
	[0.075]	[0.575]	[0.207]	[0.045]	[0.052]	[0.203]	[0.062]	[0.151]	[0.060]	[0.128]
asilo_Municipal								-0.052		-0.014
								[0.109]		[0.090]
nido	-0.014	-0.300	-0.030	0.024	-0.003	-0.659***	0.051	0.049	0.049	0.052
	[0.081]	[0.476]	[0.082]	[0.043]	[0.056]	[0.189]	[0.051]	[0.119]	[0.047]	[0.079]
unobs			-0.259							
			[0.314]							
unobs2			0.000							
			[0.140]							
unobs3			0.230							
			[0.440]							
Age	-0.076	-0.071	-0.075	0.022	0.055	0.960***	0.009	0.021	-0.025	0.005
	[0.070]	[0.073]	[0.071]	[0.052]	[0.066]	[0.343]	[0.057]	[0.075]	[0.052]	[0.068]
Male	-0.085*	-0.087*	-0.098*	-0.082**	-0.084**	-0.027	-0.072*	-0.059	-0.081**	-0.085**
	[0.049]	[0.051]	[0.050]	[0.035]	[0.039]	[0.174]	[0.038]	[0.045]	[0.036]	[0.041]
poorBHealth	-0.121	-0.133	-0.144	0.012	0.071	0.110	-0.009	0.053	-0.070	0.079
	[0.085]	[0.092]	[0.090]	[0.055]	[0.077]	[0.181]	[0.064]	[0.097]	[0.064]	[0.063]
oldsibs	-0.013	0.064	-0.019	-0.032	-0.115	-0.330	-0.056	-0.049	-0.056	-0.123
	[0.145]	[0.181]	[0.149]	[0.097]	[0.139]	[0.488]	[0.117]	[0.124]	[0.096]	[0.127]
momMaxEdu_Uni_F	-0.002	-0.007	-0.008	0.025	0.006	-0.189	0.055	0.028	-0.017	-0.061
	[0.061]	[0.063]	[0.064]	[0.040]	[0.052]	[0.201]	[0.044]	[0.061]	[0.046]	[0.054]
dadMaxEdu_Uni_F	0.079	0.120	0.087	-0.021	-0.008	0.283**	-0.034	-0.017	0.036	0.081
	[0.059]	[0.089]	[0.061]	[0.042]	[0.057]	[0.125]	[0.045]	[0.066]	[0.045]	[0.054]
momMaxEdu_Uni_Miss	0.260**	0.257*	0.271**	-0.062	-0.041	0.247	0.127	0.125	0.162	0.125
	[0.132]	[0.140]	[0.130]	[0.216]	[0.228]	[0.402]	[0.149]	[0.141]	[0.117]	[0.170]
dadMaxEdu_Uni_Miss	-0.333***	-0.357***	-0.342***	-0.189***	-0.237***	-0.848***	-0.319***	-0.399***	-0.159**	-0.112
	[0.096]	[0.104]	[0.097]	[0.068]	[0.079]	[0.207]	[0.077]	[0.094]	[0.068]	[0.084]
HighInc_F	0.002	0.015	0.007	0.025	-0.094	-0.897***	0.049	-0.066	0.002	-0.065
	[0.067]	[0.073]	[0.068]	[0.048]	[0.081]	[0.128]	[0.050]	[0.084]	[0.052]	[0.070]
HighInc_Miss	0.115*	0.133*	0.143*	0.057	0.025	-0.682**	0.096**	0.054	0.043	0.037
	[0.061]	[0.068]	[0.074]	[0.043]	[0.057]	[0.299]	[0.048]	[0.055]	[0.044]	[0.049]
houseOwn_F	0.012	0.027	0.022	-0.058	-0.133***	1.009***	-0.038	-0.105**	-0.023	-0.015
	[0.052]	[0.059]	[0.054]	[0.037]	[0.047]	[0.205]	[0.041]	[0.052]	[0.038]	[0.049]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.023**	-0.023**	-0.023**	0.001	0.015	-0.170***	-0.008	0.011	-0.016*	-0.015
	[0.010]	[0.010]	[0.010]	[0.009]	[0.013]	[0.043]	[0.008]	[0.013]	[0.009]	[0.011]
cgRelig_F	-0.007	-0.014	0.005	-0.088*	-0.183***	-1.726***	-0.036	-0.145*	-0.063	-0.133**
	[0.076]	[0.081]	[0.078]	[0.049]	[0.063]	[0.178]	[0.057]	[0.084]	[0.052]	[0.064]
cgRelig_Miss	0.224	0.283	0.078	-0.123	-0.300**	-0.979***	-0.003	-0.190	-0.009	-0.170
	[0.143]	[0.212]	[0.106]	[0.114]	[0.139]	[0.349]	[0.152]	[0.151]	[0.116]	[0.175]
CAPI	-0.034	-0.039	-0.038	0.053	0.055	-0.444**	0.019	0.031	0.001	-0.029
	[0.051]	[0.054]	[0.052]	[0.035]	[0.050]	[0.178]	[0.038]	[0.055]	[0.036]	[0.048]
houseOwn_Miss	-0.332	-0.254		-0.712***		-0.207	-0.495***		-0.424	
	[0.308]	[0.386]		[0.050]		[0.298]	[0.187]		[0.267]	
Parma							-0.202***			
							[0.050]			
Reggio								0.121		0.040
								[0.087]		[0.062]
nidoXreggio								-0.037		-0.035
								[0.166]		[0.126]
Padova									-0.061	
									[0.045]	
Constant	1.417***	1.360***	1.312**	0.645*	0.574	-3.331	0.813**	0.714	1.120***	0.941**
	[0.487]	[0.510]	[0.509]	[0.351]	[0.462]	[2.176]	[0.392]	[0.546]	[0.359]	[0.453]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.144	0.095	0.144	0.040	0.106	0.940	0.082	0.132	0.050	0.053
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.74	.74	.74	.74	.74	.74	.74	.74	.74	.74
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
