	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.048	-0.122	-0.099	0.001	-0.042	0.040	-0.070	0.020	-0.075	-0.187
	[0.050]	[0.171]	[0.198]	[0.041]	[0.063]	[0.063]	[0.049]	[0.088]	[0.049]	[0.155]
unobs			0.018							
			[0.320]							
unobs2			-0.303							
			[0.191]							
unobs3			0.072							
			[0.536]							
Age	-0.073	-0.072	-0.075	0.050	0.350*	-0.404***	0.013	0.007	-0.014	0.089
	[0.070]	[0.071]	[0.071]	[0.052]	[0.184]	[0.080]	[0.057]	[0.073]	[0.052]	[0.159]
Male	-0.091*	-0.089*	-0.088*	-0.066*	-0.344***	-0.390***	-0.075**	-0.022	-0.081**	-0.307***
	[0.049]	[0.049]	[0.050]	[0.034]	[0.130]	[0.094]	[0.038]	[0.040]	[0.036]	[0.110]
poorBHealth	-0.133	-0.128	-0.132	0.030	0.219**	0.288***	-0.020	0.031	-0.074	0.009
	[0.084]	[0.085]	[0.085]	[0.056]	[0.100]	[0.100]	[0.064]	[0.082]	[0.064]	[0.106]
oldsibs	-0.017	-0.034	-0.076	-0.055	-0.030	-0.539*	-0.047	-0.075	-0.047	-0.073
	[0.145]	[0.153]	[0.156]	[0.100]	[0.134]	[0.291]	[0.115]	[0.138]	[0.095]	[0.110]
momMaxEdu_Uni_F	-0.009	-0.008	-0.015	0.045	0.170	-0.000	0.053	0.093**	-0.016	0.065
	[0.060]	[0.061]	[0.061]	[0.039]	[0.151]	[0.111]	[0.044]	[0.047]	[0.045]	[0.155]
dadMaxEdu_Uni_F	0.080	0.077	0.074	-0.025	0.177	-0.312*	-0.028	-0.006	0.041	0.108
	[0.058]	[0.059]	[0.058]	[0.042]	[0.175]	[0.173]	[0.045]	[0.051]	[0.045]	[0.140]
momMaxEdu_Uni_Miss	0.265*	0.256*	0.256*	0.002	0.259	0.186	0.127	0.217	0.170	0.346**
	[0.136]	[0.136]	[0.145]	[0.198]	[0.274]	[0.372]	[0.156]	[0.134]	[0.122]	[0.159]
dadMaxEdu_Uni_Miss	-0.330***	-0.319***	-0.317***	-0.148**	-0.507***	-0.653***	-0.315***	-0.503***	-0.156**	-0.163
	[0.098]	[0.101]	[0.101]	[0.067]	[0.133]	[0.052]	[0.078]	[0.079]	[0.070]	[0.188]
HighInc_F	0.006	0.012	0.008	0.042	0.208	-0.065	0.054	-0.089	0.007	-0.043
	[0.068]	[0.068]	[0.067]	[0.048]	[0.288]	[0.084]	[0.051]	[0.055]	[0.052]	[0.100]
HighInc_Miss	0.132**	0.134**	0.139**	0.079*	-0.095	-0.264***	0.107**	-0.130**	0.046	0.154*
	[0.060]	[0.060]	[0.059]	[0.041]	[0.119]	[0.084]	[0.048]	[0.065]	[0.043]	[0.086]
houseOwn_F	0.012	0.005	0.014	-0.072**	-0.110	0.102	-0.039	-0.102***	-0.021	0.152
	[0.053]	[0.055]	[0.055]	[0.036]	[0.130]	[0.136]	[0.041]	[0.039]	[0.038]	[0.115]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.024**	-0.024**	-0.026**	0.004	-0.047**	-0.090***	-0.008	0.009	-0.017*	-0.116***
	[0.010]	[0.010]	[0.010]	[0.009]	[0.023]	[0.022]	[0.008]	[0.008]	[0.009]	[0.032]
cgRelig_F	-0.011	-0.024	0.011	-0.069	-0.257**	-0.353***	-0.042	-0.204***	-0.069	0.082
	[0.075]	[0.083]	[0.087]	[0.049]	[0.128]	[0.076]	[0.057]	[0.054]	[0.051]	[0.112]
cgRelig_Miss	0.208	0.210	0.032	-0.125	-0.387*	0.058	-0.003	-0.174**	-0.028	-0.121
	[0.143]	[0.141]	[0.102]	[0.114]	[0.204]	[0.096]	[0.156]	[0.085]	[0.116]	[0.157]
CAPI	-0.031	-0.023	-0.035	0.055	0.270***	0.039	0.018	0.168***	-0.002	-0.084
	[0.052]	[0.056]	[0.055]	[0.034]	[0.085]	[0.086]	[0.038]	[0.044]	[0.036]	[0.069]
houseOwn_Miss	-0.328	-0.363		-0.730***		-0.442**	-0.493**		-0.416	
	[0.308]	[0.315]		[0.054]		[0.224]	[0.196]		[0.284]	
Parma							-0.165***			
							[0.045]			
Reggio								0.076		0.106
								[0.066]		[0.075]
materna_Municipal								-0.064		0.144
								[0.064]		[0.142]
Padova									-0.037	
									[0.043]	
Constant	1.392***	1.432***	1.491***	0.429	-1.243	4.364***	0.787**	0.838*	1.045***	0.385
	[0.482]	[0.493]	[0.485]	[0.347]	[1.326]	[0.502]	[0.390]	[0.483]	[0.356]	[1.130]
										
Observations	309	309	307	731	728	728	597	593	586	583
R-squared	0.142	0.136	0.149	0.039	0.997	0.974	0.078	0.988	0.046	0.691
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.74	.74	.74	.74	.74	.74	.74	.74	.74	.74
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
