	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.044	-0.368	-0.307	0.025	0.009	0.144	-0.004	-0.113	0.003	-0.008
	[0.097]	[0.731]	[0.234]	[0.049]	[0.056]	[0.159]	[0.070]	[0.154]	[0.071]	[0.136]
asilo_Municipal								0.062		-0.079
								[0.116]		[0.096]
nido	0.043	0.311	0.054	-0.054	-0.014	-0.254	-0.005	-0.048	-0.029	-0.027
	[0.101]	[0.605]	[0.102]	[0.045]	[0.062]	[0.155]	[0.053]	[0.130]	[0.055]	[0.085]
unobs			0.454							
			[0.348]							
unobs2			-0.073							
			[0.171]							
unobs3			-0.519							
			[0.485]							
Age	0.066	0.060	0.058	0.078	0.037	0.631**	0.035	-0.019	0.103*	0.133*
	[0.082]	[0.085]	[0.083]	[0.054]	[0.073]	[0.316]	[0.060]	[0.081]	[0.058]	[0.074]
Male	-0.025	-0.023	-0.011	-0.077**	-0.085*	0.128	-0.064	-0.049	-0.046	-0.047
	[0.059]	[0.061]	[0.062]	[0.037]	[0.044]	[0.130]	[0.041]	[0.051]	[0.042]	[0.046]
poorBHealth	-0.036	-0.025	-0.010	0.068	0.091	0.246*	0.030	0.045	0.038	0.173**
	[0.096]	[0.102]	[0.101]	[0.060]	[0.084]	[0.143]	[0.068]	[0.104]	[0.069]	[0.070]
oldsibs	-0.110	-0.182	-0.150	0.032	0.056	-0.083	-0.026	0.196*	-0.023	-0.004
	[0.159]	[0.244]	[0.169]	[0.100]	[0.139]	[0.411]	[0.120]	[0.116]	[0.099]	[0.123]
momMaxEdu_Uni_F	0.114	0.118	0.119	0.031	0.025	0.016	0.098**	0.091	0.037	0.015
	[0.072]	[0.073]	[0.075]	[0.043]	[0.060]	[0.147]	[0.048]	[0.070]	[0.051]	[0.059]
dadMaxEdu_Uni_F	-0.047	-0.086	-0.059	-0.007	0.074	0.455***	-0.026	0.073	-0.017	0.016
	[0.078]	[0.115]	[0.079]	[0.046]	[0.062]	[0.109]	[0.052]	[0.075]	[0.054]	[0.063]
momMaxEdu_Uni_Miss	-0.278	-0.275	-0.281	0.251	0.050	0.200	-0.072	-0.043	-0.175	-0.127
	[0.190]	[0.189]	[0.198]	[0.169]	[0.275]	[0.318]	[0.187]	[0.233]	[0.197]	[0.189]
dadMaxEdu_Uni_Miss	-0.034	-0.012	-0.019	-0.028	-0.101	-1.099***	-0.052	-0.182*	-0.075	-0.009
	[0.105]	[0.118]	[0.107]	[0.067]	[0.084]	[0.209]	[0.079]	[0.096]	[0.074]	[0.087]
HighInc_F	0.004	-0.007	0.000	0.022	-0.095	-1.169***	0.062	-0.067	-0.020	-0.050
	[0.081]	[0.088]	[0.081]	[0.053]	[0.085]	[0.102]	[0.056]	[0.087]	[0.061]	[0.072]
HighInc_Miss	0.066	0.050	0.041	0.004	-0.030	-0.432***	0.093*	0.038	-0.020	-0.064
	[0.074]	[0.087]	[0.087]	[0.047]	[0.062]	[0.158]	[0.053]	[0.061]	[0.051]	[0.058]
houseOwn_F	-0.100*	-0.115*	-0.109*	-0.108***	-0.150***	0.597***	-0.104**	-0.144**	-0.093**	-0.100*
	[0.060]	[0.069]	[0.062]	[0.040]	[0.053]	[0.159]	[0.044]	[0.058]	[0.043]	[0.052]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.006	-0.006	-0.007	-0.001	0.024*	-0.109***	-0.001	0.019	0.004	0.008
	[0.012]	[0.012]	[0.012]	[0.010]	[0.014]	[0.035]	[0.009]	[0.013]	[0.010]	[0.012]
cgRelig_F	0.005	0.011	-0.007	-0.094*	-0.154**	-1.380***	-0.062	-0.123	-0.032	-0.051
	[0.084]	[0.088]	[0.084]	[0.053]	[0.070]	[0.181]	[0.062]	[0.080]	[0.059]	[0.070]
cgRelig_Miss	0.038	-0.018	0.049	-0.216*	-0.233	-1.192***	-0.135	-0.184	-0.058	-0.094
	[0.270]	[0.256]	[0.320]	[0.126]	[0.149]	[0.225]	[0.178]	[0.175]	[0.139]	[0.174]
CAPI	0.020	0.025	0.023	0.027	0.033	0.103	0.024	0.037	0.008	-0.027
	[0.059]	[0.060]	[0.059]	[0.038]	[0.054]	[0.157]	[0.041]	[0.057]	[0.042]	[0.051]
houseOwn_Miss	0.338**	0.265		-0.279		-0.072	0.139		0.029	
	[0.162]	[0.226]		[0.250]		[0.479]	[0.223]		[0.280]	
Parma							-0.053			
							[0.057]			
Reggio								0.028		-0.087
								[0.097]		[0.071]
nidoXreggio								0.101		0.123
								[0.172]		[0.131]
Padova									0.002	
									[0.054]	
Constant	0.195	0.249	0.411	0.238	0.520	-2.210	0.446	0.792	0.014	-0.112
	[0.572]	[0.595]	[0.604]	[0.369]	[0.504]	[1.970]	[0.418]	[0.585]	[0.404]	[0.497]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.039	0.003	0.040	0.033	0.090	0.961	0.033	0.091	0.022	0.057
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.6	.6	.6	.6	.6	.6	.6	.6	.6	.6
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
