	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.043	0.215	-0.157	0.058	0.043	0.085	0.037	0.045	0.008	-0.099
	[0.085]	[0.554]	[0.194]	[0.045]	[0.053]	[0.240]	[0.066]	[0.123]	[0.064]	[0.122]
asilo_Municipal								-0.148		-0.025
								[0.096]		[0.100]
nido	0.124	-0.089	0.126	-0.027	-0.074	-0.699***	0.028	0.066	0.048	-0.047
	[0.087]	[0.468]	[0.087]	[0.043]	[0.062]	[0.213]	[0.051]	[0.111]	[0.051]	[0.089]
unobs			0.462							
			[0.289]							
unobs2			-0.340**							
			[0.149]							
unobs3			-1.035**							
			[0.420]							
Age	-0.007	-0.003	-0.014	0.022	0.096	0.837***	-0.038	-0.087	0.002	0.115
	[0.078]	[0.079]	[0.076]	[0.053]	[0.077]	[0.298]	[0.058]	[0.085]	[0.056]	[0.077]
Male	-0.072	-0.073	-0.083	-0.038	-0.023	-0.016	-0.094**	-0.077	-0.029	0.004
	[0.054]	[0.054]	[0.054]	[0.035]	[0.044]	[0.156]	[0.039]	[0.048]	[0.039]	[0.047]
poorBHealth	0.088	0.079	0.052	0.009	-0.004	-0.038	0.045	-0.010	0.021	0.078
	[0.086]	[0.084]	[0.087]	[0.055]	[0.082]	[0.221]	[0.059]	[0.097]	[0.065]	[0.068]
oldsibs	-0.091	-0.034	-0.128	0.203***	0.119	0.060	0.032	0.158	0.050	0.022
	[0.142]	[0.179]	[0.154]	[0.069]	[0.141]	[0.391]	[0.107]	[0.103]	[0.088]	[0.131]
momMaxEdu_Uni_F	-0.008	-0.012	-0.046	0.018	0.097*	0.046	0.045	0.126**	-0.036	-0.001
	[0.065]	[0.066]	[0.067]	[0.041]	[0.056]	[0.241]	[0.046]	[0.064]	[0.046]	[0.056]
dadMaxEdu_Uni_F	0.134**	0.166*	0.148**	-0.032	0.007	0.473***	0.032	0.049	0.072	0.084
	[0.067]	[0.095]	[0.065]	[0.043]	[0.064]	[0.157]	[0.049]	[0.074]	[0.048]	[0.061]
momMaxEdu_Uni_Miss	-0.136	-0.138	-0.056	-0.080	-0.172	-0.186	-0.140	-0.178	-0.129	-0.254
	[0.200]	[0.201]	[0.194]	[0.212]	[0.222]	[0.279]	[0.173]	[0.192]	[0.181]	[0.173]
dadMaxEdu_Uni_Miss	0.024	0.007	0.026	-0.036	-0.088	0.108	-0.061	-0.118	0.033	0.075
	[0.103]	[0.111]	[0.099]	[0.064]	[0.084]	[0.168]	[0.074]	[0.086]	[0.066]	[0.081]
HighInc_F	0.020	0.029	0.028	0.004	-0.083	-0.615***	0.000	-0.050	0.032	-0.010
	[0.070]	[0.073]	[0.070]	[0.049]	[0.084]	[0.122]	[0.053]	[0.088]	[0.054]	[0.069]
HighInc_Miss	-0.066	-0.053	-0.015	-0.063	-0.094	-0.459***	-0.009	-0.061	-0.076	-0.131**
	[0.068]	[0.074]	[0.077]	[0.045]	[0.061]	[0.151]	[0.050]	[0.061]	[0.049]	[0.057]
houseOwn_F	-0.071	-0.059	-0.049	-0.112***	-0.192***	0.516**	-0.114***	-0.206***	-0.061	-0.071
	[0.054]	[0.059]	[0.055]	[0.037]	[0.053]	[0.213]	[0.040]	[0.052]	[0.040]	[0.048]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.002	0.002	-0.004	-0.016*	0.005	-0.245***	-0.013	0.003	-0.002	0.002
	[0.010]	[0.011]	[0.010]	[0.009]	[0.015]	[0.048]	[0.008]	[0.014]	[0.009]	[0.012]
cgRelig_F	0.028	0.023	0.043	-0.003	-0.036	-0.546***	0.071	-0.029	-0.022	0.017
	[0.077]	[0.079]	[0.077]	[0.051]	[0.074]	[0.181]	[0.059]	[0.098]	[0.053]	[0.065]
cgRelig_Miss	0.116	0.160	-0.072	-0.211*	-0.219	-0.465*	-0.105	-0.238*	-0.098	-0.065
	[0.312]	[0.365]	[0.330]	[0.126]	[0.148]	[0.275]	[0.180]	[0.135]	[0.142]	[0.182]
CAPI	-0.085	-0.088	-0.092*	0.085**	0.130**	-0.196	0.023	0.065	0.002	-0.002
	[0.056]	[0.056]	[0.055]	[0.035]	[0.053]	[0.168]	[0.039]	[0.057]	[0.039]	[0.052]
houseOwn_Miss	-0.181	-0.123		-0.019		-0.200	0.131		-0.311	
	[0.367]	[0.431]		[0.281]		[0.337]	[0.225]		[0.285]	
Parma							-0.073			
							[0.053]			
Reggio								-0.015		-0.110
								[0.091]		[0.067]
nidoXreggio								0.084		0.221*
								[0.140]		[0.116]
Padova									0.012	
									[0.050]	
Constant	0.765	0.722	0.940*	0.648*	0.160	-3.262*	0.989**	1.383**	0.729*	-0.006
	[0.535]	[0.549]	[0.539]	[0.354]	[0.516]	[1.921]	[0.402]	[0.583]	[0.387]	[0.523]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.063	0.038	0.094	0.049	0.102	0.937	0.051	0.136	0.031	0.060
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001	.7000000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
