	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.129**	-0.667	-0.216	0.013	-0.003	0.275**	-0.060	-0.303**	-0.121**	-0.108
	[0.051]	[0.551]	[0.165]	[0.040]	[0.045]	[0.135]	[0.049]	[0.138]	[0.049]	[0.096]
asilo_Municipal								0.180		-0.042
								[0.123]		[0.084]
nido	0.080	0.526	0.087	-0.013	-0.002	-0.346***	-0.017	-0.159	0.058	0.056
	[0.051]	[0.469]	[0.054]	[0.037]	[0.046]	[0.130]	[0.039]	[0.123]	[0.041]	[0.072]
unobs			0.052							
			[0.247]							
unobs2			-0.128							
			[0.135]							
unobs3			0.115							
			[0.376]							
Age	0.002	-0.008	-0.005	0.036	0.094	0.731***	-0.037	-0.032	0.051	0.167***
	[0.064]	[0.072]	[0.065]	[0.046]	[0.059]	[0.230]	[0.049]	[0.053]	[0.045]	[0.064]
Male	0.026	0.028	0.036	0.041	0.039	-0.295**	0.026	0.017	0.032	0.050
	[0.044]	[0.048]	[0.046]	[0.031]	[0.039]	[0.123]	[0.033]	[0.040]	[0.032]	[0.040]
poorBHealth	-0.108	-0.089	-0.088	-0.003	0.077	0.100	0.009	0.078	-0.067	-0.010
	[0.082]	[0.085]	[0.091]	[0.050]	[0.048]	[0.112]	[0.052]	[0.050]	[0.061]	[0.070]
oldsibs	0.126	0.007	0.090	0.026	-0.101	-0.488**	0.158**	0.068	-0.023	-0.226*
	[0.088]	[0.187]	[0.086]	[0.083]	[0.138]	[0.219]	[0.061]	[0.145]	[0.087]	[0.132]
momMaxEdu_Uni_F	-0.083	-0.076	-0.073	-0.045	-0.010	0.144	-0.066	-0.034	-0.056	-0.032
	[0.061]	[0.065]	[0.061]	[0.039]	[0.053]	[0.139]	[0.043]	[0.058]	[0.043]	[0.052]
dadMaxEdu_Uni_F	0.116**	0.051	0.113**	0.088**	0.116**	0.355***	0.098**	0.104**	0.100**	0.129***
	[0.054]	[0.087]	[0.054]	[0.038]	[0.048]	[0.093]	[0.040]	[0.049]	[0.040]	[0.048]
momMaxEdu_Uni_Miss	-0.351*	-0.346	-0.357*	-0.205	-0.184	0.129	-0.337**	-0.284	-0.314*	-0.368
	[0.201]	[0.212]	[0.200]	[0.206]	[0.239]	[0.495]	[0.171]	[0.177]	[0.187]	[0.248]
dadMaxEdu_Uni_Miss	-0.054	-0.018	-0.047	-0.033	-0.048	0.414**	-0.058	-0.191*	-0.028	0.009
	[0.091]	[0.103]	[0.092]	[0.059]	[0.078]	[0.165]	[0.069]	[0.098]	[0.060]	[0.073]
HighInc_F	-0.014	-0.033	-0.008	0.016	0.007	-0.220**	0.019	0.034	0.019	-0.022
	[0.056]	[0.063]	[0.057]	[0.043]	[0.050]	[0.105]	[0.043]	[0.043]	[0.044]	[0.057]
HighInc_Miss	0.022	-0.005	-0.002	0.037	0.073	-0.330*	0.042	0.100**	0.021	0.006
	[0.052]	[0.065]	[0.069]	[0.037]	[0.058]	[0.174]	[0.039]	[0.044]	[0.039]	[0.048]
houseOwn_F	0.025	0.001	0.019	-0.009	-0.039	0.626***	0.001	-0.034	0.012	0.005
	[0.044]	[0.052]	[0.045]	[0.034]	[0.047]	[0.145]	[0.035]	[0.047]	[0.034]	[0.043]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.009	0.009	0.008	0.005	0.016*	-0.090***	0.006	0.011	0.011	0.017
	[0.008]	[0.009]	[0.009]	[0.008]	[0.010]	[0.034]	[0.007]	[0.007]	[0.008]	[0.011]
cgRelig_F	0.038	0.048	0.038	-0.007	-0.031	-0.744***	0.025	0.007	0.006	-0.049
	[0.064]	[0.074]	[0.066]	[0.044]	[0.050]	[0.132]	[0.049]	[0.053]	[0.047]	[0.056]
cgRelig_Miss	0.280**	0.189	0.223**	-0.231*	-0.353**	0.024	0.076	-0.223	-0.168	-0.277*
	[0.131]	[0.251]	[0.110]	[0.123]	[0.167]	[0.229]	[0.129]	[0.258]	[0.134]	[0.160]
CAPI	-0.025	-0.018	-0.024	-0.047	-0.009	-0.732***	-0.028	-0.001	-0.046	-0.063
	[0.043]	[0.048]	[0.043]	[0.031]	[0.043]	[0.211]	[0.032]	[0.041]	[0.032]	[0.044]
houseOwn_Miss	-0.656***	-0.778***		-0.193		0.230	-0.177		-0.563*	
	[0.224]	[0.200]		[0.295]		[0.209]	[0.245]		[0.298]	
Parma							-0.077**			
							[0.037]			
Reggio								0.011		0.032
								[0.065]		[0.061]
nidoXreggio								0.260*		0.072
								[0.142]		[0.086]
Padova									-0.102***	
									[0.037]	
Constant	0.774*	0.863*	0.889*	0.537*	0.107	-2.987**	1.066***	0.960**	0.474	-0.353
	[0.442]	[0.506]	[0.469]	[0.317]	[0.410]	[1.349]	[0.339]	[0.379]	[0.313]	[0.430]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.096	-0.070	0.091	0.027	0.111	0.944	0.048	0.147	0.063	0.110
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
